trial,plan iters,plan time,best cost
0,1500,150,inf
1,10,0.20017528533935547,17.0
1,20,0.44280338287353516,8.0
1,30,0.5115630626678467,6.0
1,1500,150,6.0
2,1500,150,inf
3,1500,150,inf
4,1500,150,inf
5,10,0.03495669364929199,25.0
5,20,0.062135934829711914,8.0
5,60,1.6072685718536377,1.0
5,1500,150,1.0
6,1500,150,inf
7,1500,150,inf
8,1500,150,inf
9,1500,150,inf
10,1500,150,inf
11,1380,76.29152727127075,60.0
11,1500,150,60.0
12,1500,150,inf
13,1500,150,inf
14,1500,150,inf
15,1500,150,inf
16,1090,63.28086543083191,58.0
16,1190,69.1432523727417,41.0
16,1200,69.67956185340881,39.0
16,1500,150,39.0
17,1020,51.57465648651123,41.0
17,1500,150,41.0
18,80,3.3568029403686523,56.0
18,1500,150,56.0
19,1500,150,inf
20,1500,150,inf
