trial,plan iters,plan time,best cost
0,60,0.7572510242462158,10.0
0,80,1.065316915512085,9.0
0,2000,200,9.0
1,10,0.05541491508483887,5.0
1,2000,200,5.0
2,490,10.448589563369751,24.0
2,1370,39.497939109802246,22.0
2,2000,200,22.0
3,40,0.42394042015075684,16.0
3,390,7.696477651596069,14.0
3,640,13.870016098022461,13.0
3,2000,200,13.0
4,620,12.893733501434326,25.0
4,2000,200,25.0
5,10,0.006376028060913086,1.0
5,2000,200,1.0
6,150,2.5024986267089844,25.0
6,160,2.602837562561035,17.0
6,210,3.4181957244873047,15.0
6,2000,200,15.0
7,20,0.33901381492614746,13.0
7,130,2.020678758621216,12.0
7,2000,200,12.0
8,140,2.2752721309661865,20.0
8,230,3.9422011375427246,18.0
8,280,4.980467081069946,17.0
8,350,6.25760817527771,16.0
8,710,14.819923639297485,15.0
8,2000,200,15.0
9,90,1.218449592590332,13.0
9,690,14.705677509307861,10.0
9,2000,200,10.0
10,30,0.42307257652282715,18.0
10,60,0.9212779998779297,13.0
10,440,8.267650604248047,8.0
10,2000,200,8.0
11,180,3.327615976333618,13.0
11,2000,200,13.0
12,70,1.0690548419952393,18.0
12,300,5.776072978973389,9.0
12,420,8.379253387451172,8.0
12,2000,200,8.0
13,500,10.376560688018799,26.0
13,920,22.58828639984131,25.0
13,2000,200,25.0
14,200,3.3817973136901855,20.0
14,810,18.79877543449402,17.0
14,2000,200,17.0
15,560,11.661536931991577,27.0
15,1200,30.877735137939453,26.0
15,1630,46.20718026161194,25.0
15,2000,200,25.0
16,60,0.916649580001831,16.0
16,230,4.144735336303711,13.0
16,2000,200,13.0
17,610,12.818611860275269,21.0
17,2000,200,21.0
18,20,0.3379552364349365,10.0
18,1100,26.503946542739868,9.0
18,2000,200,9.0
19,40,0.6846239566802979,12.0
19,160,3.0574772357940674,8.0
19,2000,200,8.0
20,460,9.534632682800293,27.0
20,510,10.715267181396484,24.0
20,520,10.88720417022705,22.0
20,550,11.609941244125366,21.0
20,2000,200,21.0
21,50,0.7888929843902588,13.0
21,2000,200,13.0
22,120,2.097743511199951,21.0
22,150,2.6446876525878906,17.0
22,170,2.8492422103881836,13.0
22,280,4.892852783203125,11.0
22,1800,56.404027223587036,10.0
22,2000,200,10.0
23,10,0.15643644332885742,9.0
23,20,0.19832682609558105,7.0
23,2000,200,7.0
24,160,2.475616216659546,27.0
24,400,7.426373481750488,25.0
24,500,9.943073511123657,23.0
24,540,10.719666481018066,20.0
24,2000,200,20.0
25,20,0.28458595275878906,12.0
25,30,0.3927433490753174,11.0
25,2000,200,11.0
26,120,1.836500644683838,22.0
26,130,1.9977869987487793,19.0
26,220,3.5881433486938477,18.0
26,340,6.044776201248169,17.0
26,370,6.656381607055664,15.0
26,600,11.989046573638916,14.0
26,2000,200,14.0
27,1550,45.63354754447937,22.0
27,2000,200,22.0
28,10,0.006566286087036133,1.0
28,2000,200,1.0
29,140,2.086392879486084,26.0
29,390,6.941659688949585,18.0
29,870,19.421538829803467,17.0
29,1380,36.60988807678223,16.0
29,2000,200,16.0
30,120,1.8035829067230225,11.0
30,2000,200,11.0
31,40,0.5644392967224121,11.0
31,480,8.74921441078186,9.0
31,2000,200,9.0
32,350,6.720627546310425,33.0
32,1050,26.760281562805176,31.0
32,1200,31.983027696609497,28.0
32,2000,200,28.0
33,60,0.7610495090484619,16.0
33,130,1.9476642608642578,10.0
33,2000,200,10.0
34,10,0.13509297370910645,10.0
34,2000,200,10.0
35,50,0.7709102630615234,22.0
35,60,0.7976648807525635,20.0
35,70,0.8343322277069092,11.0
35,2000,200,11.0
36,10,0.005997419357299805,3.0
36,470,8.053614616394043,1.0
36,2000,200,1.0
37,1010,25.674968242645264,40.0
37,1340,36.99205732345581,38.0
37,1550,44.86825633049011,35.0
37,1650,48.6001935005188,32.0
37,1970,63.15045404434204,31.0
37,2000,200,31.0
38,310,5.778477191925049,25.0
38,1670,49.8968505859375,24.0
38,2000,200,24.0
39,70,1.0418734550476074,22.0
39,120,1.968040943145752,16.0
39,260,4.3105628490448,13.0
39,2000,200,13.0
40,150,2.3432774543762207,32.0
40,580,12.722182989120483,30.0
40,930,23.68085265159607,19.0
40,1110,29.62537431716919,18.0
40,2000,200,18.0
41,100,1.929232120513916,17.0
41,330,6.7765278816223145,14.0
41,350,7.12248682975769,13.0
41,610,13.617161989212036,12.0
41,2000,200,12.0
42,10,0.1136329174041748,9.0
42,2000,200,9.0
43,120,2.073023796081543,25.0
43,230,3.8279876708984375,20.0
43,580,11.99724006652832,19.0
43,2000,200,19.0
44,120,1.8652656078338623,28.0
44,190,2.992196559906006,21.0
44,380,7.0021750926971436,15.0
44,2000,200,15.0
45,10,0.013166666030883789,3.0
45,20,0.04097342491149902,1.0
45,2000,200,1.0
46,70,1.0071735382080078,14.0
46,80,1.1476359367370605,9.0
46,2000,200,9.0
47,10,0.0064661502838134766,1.0
47,2000,200,1.0
48,1630,51.508638858795166,21.0
48,2000,200,21.0
49,50,0.75069260597229,13.0
49,340,6.1072704792022705,12.0
49,2000,200,12.0
Num trials: 50
Success rate: 1.0
Average cost: 13.48
Cost STD: 7.236684323638831
Cost CI: 2.0468434234205604
