trial,plan iters,plan time,best cost
0,20,0.16217350959777832,33.0
0,560,6.613427400588989,26.0
0,1370,25.983946084976196,22.0
0,2000,200,22.0
1,10,0.038382530212402344,9.0
1,2000,200,9.0
2,10,0.005355358123779297,1.0
2,2000,200,1.0
3,2000,200,inf
4,10,0.04340767860412598,8.0
4,2000,200,8.0
5,10,0.061841487884521484,11.0
5,2000,200,11.0
6,10,0.11631488800048828,19.0
6,2000,200,19.0
7,10,0.005156040191650391,1.0
7,2000,200,1.0
8,20,0.19277667999267578,34.0
8,230,2.2215847969055176,21.0
8,2000,200,21.0
9,10,0.09037327766418457,17.0
9,2000,200,17.0
10,2000,200,inf
11,10,0.00551152229309082,1.0
11,2000,200,1.0
12,10,0.05233502388000488,11.0
12,2000,200,11.0
13,2000,200,inf
14,10,0.1402130126953125,18.0
14,2000,200,18.0
15,10,0.030222654342651367,7.0
15,2000,200,7.0
16,1040,18.470043897628784,34.0
16,2000,200,34.0
17,20,0.20746254920959473,38.0
17,180,1.5490622520446777,28.0
17,2000,200,28.0
18,10,0.02255392074584961,5.0
18,2000,200,5.0
19,10,0.09312176704406738,17.0
19,2000,200,17.0
20,790,11.9789879322052,25.0
20,1270,22.9934298992157,18.0
20,2000,200,18.0
21,130,1.59625244140625,20.0
21,1850,44.49281144142151,11.0
21,2000,200,11.0
22,1650,34.582000732421875,30.0
22,1930,44.42025637626648,24.0
22,2000,200,24.0
23,2000,200,inf
24,10,0.08684229850769043,15.0
24,2000,200,15.0
25,10,0.08858537673950195,11.0
25,2000,200,11.0
26,1870,47.36717224121094,16.0
26,2000,200,16.0
27,2000,200,inf
28,2000,200,inf
29,10,0.09706616401672363,21.0
29,1830,40.039881467819214,19.0
29,2000,200,19.0
30,10,0.0063440799713134766,1.0
30,2000,200,1.0
31,480,7.854519367218018,15.0
31,2000,200,15.0
32,2000,200,inf
33,2000,200,inf
34,10,0.06532096862792969,15.0
34,2000,200,15.0
35,10,0.12155747413635254,22.0
35,220,2.073256254196167,21.0
35,2000,200,21.0
36,470,6.522405624389648,19.0
36,1740,41.10219192504883,17.0
36,2000,200,17.0
37,10,0.059365272521972656,12.0
37,2000,200,12.0
38,130,1.6578543186187744,13.0
38,510,6.780956983566284,12.0
38,2000,200,12.0
39,10,0.08724093437194824,16.0
39,2000,200,16.0
40,2000,200,inf
41,10,0.06156420707702637,12.0
41,2000,200,12.0
42,1930,48.07189154624939,51.0
42,2000,200,51.0
43,280,3.3463120460510254,39.0
43,490,6.3267364501953125,36.0
43,790,12.249270915985107,31.0
43,850,13.46225619316101,21.0
43,1720,38.08204388618469,14.0
43,2000,200,14.0
44,10,0.03427290916442871,6.0
44,2000,200,6.0
45,10,0.005285024642944336,1.0
45,2000,200,1.0
46,10,0.0879514217376709,13.0
46,2000,200,13.0
47,1000,17.027259588241577,39.0
47,2000,200,39.0
48,10,0.040158748626708984,9.0
48,2000,200,9.0
49,2000,200,inf
Num trials: 50
Success rate: 0.8
Average cost: 14.95
Cost STD: 10.136444149700623
Cost CI: 3.205425088814274
