trial,plan iters,plan time,best cost
0,1500,150,inf
1,1500,150,inf
2,10,0.07089734077453613,13.0
2,1500,150,13.0
3,1500,150,inf
4,1500,150,inf
5,10,0.005261898040771484,1.0
5,1500,150,1.0
6,1500,150,inf
7,1500,150,inf
8,1500,150,inf
9,1500,150,inf
10,1500,150,inf
11,10,0.1564023494720459,32.0
11,1500,150,32.0
12,1500,150,inf
13,1500,150,inf
14,1500,150,inf
15,1500,150,inf
16,1500,150,inf
17,1500,150,inf
18,1500,150,inf
19,10,0.1656053066253662,25.0
19,1500,150,25.0
20,1500,150,inf
21,1500,150,inf
22,1500,150,inf
23,1500,150,inf
24,1500,150,inf
25,30,0.37848615646362305,76.0
25,1500,150,76.0
26,10,0.13688898086547852,27.0
26,1500,150,27.0
27,1500,150,inf
28,1500,150,inf
29,10,0.04384970664978027,9.0
29,1500,150,9.0
30,1500,150,inf
31,10,0.05646109580993652,11.0
31,1500,150,11.0
32,1500,150,inf
33,1500,150,inf
34,1500,150,inf
35,10,0.08078980445861816,17.0
35,1500,150,17.0
36,10,0.006249904632568359,1.0
36,1500,150,1.0
37,10,0.1317124366760254,28.0
37,1500,150,28.0
38,10,0.06514573097229004,12.0
38,1500,150,12.0
39,10,0.06571626663208008,11.0
39,1500,150,11.0
40,1500,150,inf
41,1500,150,inf
42,1500,150,inf
43,1500,150,inf
44,1500,150,inf
45,1500,150,inf
46,1500,150,inf
47,1500,150,inf
48,1500,150,inf
49,1500,150,inf
Num trials: 50
Success rate: 0.26
Average cost: 20.23076923076923
Cost STD: 18.6965807081807
Cost CI: 10.370996987568669
