trial,plan iters,plan time,best cost
0,1500,150,inf
1,1260,5.453130006790161,22.0
1,1500,150,22.0
2,1500,150,inf
3,1500,150,inf
4,1270,6.186037063598633,35.0
4,1500,150,35.0
5,30,0.07809090614318848,1.0
5,1500,150,1.0
6,960,4.25618839263916,14.0
6,1500,150,14.0
7,1500,150,inf
8,1040,4.150097608566284,25.0
8,1500,150,25.0
9,1500,150,inf
10,330,1.2065634727478027,19.0
10,1030,4.877225399017334,10.0
10,1500,150,10.0
11,1500,150,inf
12,1500,150,inf
13,1500,150,inf
14,1400,8.349077463150024,23.0
14,1500,150,23.0
15,10,0.009465217590332031,2.0
15,20,0.14713454246520996,1.0
15,1500,150,1.0
16,1500,150,inf
17,520,2.124781370162964,11.0
17,1500,150,11.0
18,860,3.916471481323242,15.0
18,920,4.284117698669434,14.0
18,1000,4.7089080810546875,10.0
18,1500,150,10.0
19,170,0.9288408756256104,12.0
19,410,2.572678804397583,11.0
19,860,5.088370084762573,10.0
19,1500,150,10.0
20,720,2.809429168701172,16.0
20,1500,150,16.0
21,1500,150,inf
22,670,3.281942844390869,14.0
22,940,4.511906385421753,13.0
22,1500,150,13.0
23,1500,150,inf
24,920,4.289052963256836,27.0
24,1500,150,27.0
25,1500,150,inf
26,1500,150,inf
27,510,2.6711623668670654,12.0
27,1500,150,12.0
28,1500,150,inf
29,810,4.202023983001709,25.0
29,1500,150,25.0
30,1460,7.931436061859131,32.0
30,1500,150,32.0
31,560,2.1444344520568848,10.0
31,600,2.2766950130462646,9.0
31,1080,4.135710716247559,8.0
31,1500,150,8.0
32,260,0.9804890155792236,7.0
32,1500,150,7.0
33,1500,150,inf
34,1500,150,inf
35,20,0.024221420288085938,3.0
35,50,0.08262205123901367,2.0
35,1500,150,2.0
36,1500,150,inf
37,1150,4.1298933029174805,18.0
37,1500,150,18.0
38,1180,4.8524816036224365,18.0
38,1220,5.022399187088013,13.0
38,1500,150,13.0
39,1500,150,inf
40,1500,150,inf
41,570,2.1221699714660645,28.0
41,1500,150,28.0
42,1010,5.229957818984985,10.0
42,1300,6.8019232749938965,7.0
42,1500,150,7.0
43,1500,150,inf
44,1500,150,inf
45,1500,150,inf
46,20,0.05312657356262207,3.0
46,40,0.12085413932800293,1.0
46,1500,150,1.0
47,1500,150,inf
48,200,0.7263994216918945,13.0
48,790,2.680820941925049,12.0
48,1150,4.400597095489502,11.0
48,1500,150,11.0
49,1500,150,inf
Num trials: 50
Success rate: 0.52
Average cost: 14.692307692307692
Cost STD: 9.57066523999741
Cost CI: 3.7539237551393057
