trial,plan iters,plan time,best cost
0,1500,150,inf
1,1500,150,inf
2,80,0.5287609100341797,33.0
2,840,11.967393398284912,31.0
2,1500,150,31.0
3,1500,150,inf
4,10,0.007426261901855469,4.0
4,20,0.030886411666870117,1.0
4,1500,150,1.0
5,1500,150,inf
6,1500,150,inf
7,1500,150,inf
8,1500,150,inf
9,1500,150,inf
10,180,2.340055465698242,20.0
10,920,15.748734474182129,18.0
10,1500,150,18.0
11,110,1.075145959854126,9.0
11,1500,150,9.0
12,1500,150,inf
13,1500,150,inf
14,1100,17.773940563201904,37.0
14,1500,150,37.0
15,1500,150,inf
16,1500,150,inf
17,1500,150,inf
18,1500,150,inf
19,1500,150,inf
20,1500,150,inf
21,1500,150,inf
22,960,14.947030782699585,23.0
22,1500,150,23.0
23,510,6.235287189483643,36.0
23,1500,150,36.0
24,1500,150,inf
25,1500,150,inf
26,1500,150,inf
27,1500,150,inf
28,1500,150,inf
29,1500,150,inf
30,1500,150,inf
31,1500,150,inf
32,1500,150,inf
33,1500,150,inf
34,1500,150,inf
35,360,3.538644790649414,34.0
35,1500,150,34.0
36,1500,150,inf
37,1500,150,inf
38,1500,150,inf
39,1500,150,inf
40,310,3.2048492431640625,29.0
40,520,6.26287317276001,22.0
40,570,7.063096284866333,18.0
40,1500,150,18.0
41,1500,150,inf
42,1500,150,inf
43,1500,150,inf
44,1500,150,inf
45,10,0.009803533554077148,5.0
45,20,0.01623678207397461,4.0
45,1500,150,4.0
46,180,1.509338617324829,27.0
46,1500,150,27.0
47,1500,150,inf
48,1500,150,inf
49,1500,150,inf
Num trials: 50
Success rate: 0.22
Average cost: 21.636363636363637
Cost STD: 12.197412000261869
Cost CI: 7.355316185135811
