trial,plan iters,plan time,best cost
0,3000,300,inf
1,3000,300,inf
2,3000,300,inf
3,3000,300,inf
4,3000,300,inf
5,3000,300,inf
6,220,7.968823194503784,10.0
6,3000,300,10.0
7,3000,300,inf
8,3000,300,inf
9,510,26.36008620262146,42.0
9,3000,300,42.0
10,3000,300,inf
11,3000,300,inf
12,1090,54.71700668334961,45.0
12,2780,174.6396255493164,41.0
12,3000,300,41.0
13,3000,300,inf
14,2380,142.43397545814514,55.0
14,3000,300,55.0
15,1390,73.00181603431702,69.0
15,3000,300,69.0
16,3000,300,inf
17,3000,300,inf
18,3000,300,inf
19,3000,300,inf
20,3000,300,inf
21,3000,300,inf
22,3000,300,inf
23,3000,300,inf
24,1890,104.0813136100769,30.0
24,3000,300,30.0
25,3000,300,inf
26,470,20.359912157058716,65.0
26,710,32.41006803512573,52.0
26,2050,114.01518869400024,50.0
26,2210,125.4368851184845,47.0
26,3000,300,47.0
27,3000,300,inf
28,720,32.42007899284363,41.0
28,2140,122.90218210220337,31.0
28,3000,300,31.0
29,3000,300,inf
30,2370,142.20701003074646,56.0
30,3000,300,56.0
31,940,44.822919845581055,26.0
31,3000,300,26.0
32,3000,300,inf
33,3000,300,inf
34,3000,300,inf
35,2890,185.8627004623413,59.0
35,3000,300,59.0
36,3000,300,inf
37,3000,300,inf
38,3000,300,inf
39,3000,300,inf
40,3000,300,inf
41,3000,300,inf
42,3000,300,inf
43,3000,300,inf
44,3000,300,inf
45,3000,300,inf
46,3000,300,inf
47,3000,300,inf
48,30,1.1689307689666748,38.0
48,3000,300,38.0
49,3000,300,inf
Num trials: 50
Success rate: 0.24
Average cost: 42.0
Cost STD: 15.732132722552274
Cost CI: 9.082951062292477
