trial,plan iters,plan time,best cost
0,3000,300,inf
1,2340,202.3095383644104,65.0
1,3000,300,65.0
2,3000,300,inf
3,10,0.04979133605957031,12.0
3,3000,300,12.0
4,620,55.114264249801636,40.0
4,2960,325.54907608032227,23.0
4,3000,300,23.0
5,10,0.10722589492797852,9.0
5,3000,300,9.0
6,3000,300,inf
7,3000,300,inf
8,3000,300,inf
9,300,24.379604816436768,40.0
9,970,125.32693934440613,23.0
9,3000,300,23.0
10,10,0.3243372440338135,26.0
10,20,0.5177550315856934,19.0
10,30,0.8854115009307861,8.0
10,3000,300,8.0
11,3000,300,inf
12,20,0.4336874485015869,21.0
12,30,0.9676954746246338,15.0
12,40,1.4488346576690674,13.0
12,3000,300,13.0
13,10,0.3206343650817871,24.0
13,40,1.367753028869629,22.0
13,60,2.1131768226623535,20.0
13,110,4.050160646438599,17.0
13,120,4.5995025634765625,14.0
13,1390,80.83967304229736,13.0
13,3000,300,13.0
14,10,0.2055213451385498,9.0
14,3000,300,9.0
15,10,0.3362116813659668,58.0
15,20,0.476914644241333,51.0
15,30,0.5606153011322021,32.0
15,50,1.1948957443237305,11.0
15,3000,300,11.0
16,10,0.03251457214355469,5.0
16,3000,300,5.0
17,3000,300,inf
18,30,1.4217188358306885,15.0
18,2280,173.6852250099182,14.0
18,3000,300,14.0
19,10,0.22669458389282227,6.0
19,3000,300,6.0
20,540,48.50792741775513,50.0
20,2080,216.72619032859802,49.0
20,3000,300,49.0
21,20,0.7770195007324219,16.0
21,110,4.174804210662842,11.0
21,3000,300,11.0
22,10,0.10484671592712402,16.0
22,90,3.9843366146087646,14.0
22,270,12.298490762710571,13.0
22,3000,300,13.0
23,10,0.18915700912475586,9.0
23,200,8.07360291481018,8.0
23,3000,300,8.0
24,10,0.17070746421813965,15.0
24,30,0.8109838962554932,13.0
24,3000,300,13.0
25,10,0.05927777290344238,10.0
25,3000,300,10.0
26,10,0.09538030624389648,11.0
26,3000,300,11.0
27,2920,315.2054650783539,72.0
27,3000,300,72.0
28,10,0.06966495513916016,12.0
28,30,0.6687936782836914,9.0
28,3000,300,9.0
29,10,0.2820620536804199,27.0
29,40,1.6591734886169434,25.0
29,60,2.3174190521240234,20.0
29,120,4.5460898876190186,18.0
29,370,15.59222960472107,15.0
29,490,21.429064989089966,11.0
29,1310,67.84615063667297,10.0
29,3000,300,10.0
30,3000,300,inf
31,10,0.11790919303894043,28.0
31,30,0.7766156196594238,25.0
31,40,0.9305927753448486,15.0
31,80,2.7106070518493652,13.0
31,110,3.768402338027954,9.0
31,1770,95.78835105895996,8.0
31,3000,300,8.0
32,20,0.5435988903045654,11.0
32,100,4.083366632461548,10.0
32,3000,300,10.0
33,3000,300,inf
34,20,0.5231187343597412,30.0
34,30,0.5749940872192383,8.0
34,820,34.627602338790894,7.0
34,3000,300,7.0
35,3000,300,inf
36,10,0.1131901741027832,18.0
36,20,0.19176149368286133,10.0
36,3000,300,10.0
37,3000,300,inf
38,10,0.08692002296447754,26.0
38,20,0.3495800495147705,12.0
38,2150,126.26217699050903,11.0
38,3000,300,11.0
39,3000,300,inf
40,10,0.023702144622802734,8.0
40,20,0.14599871635437012,1.0
40,3000,300,1.0
41,10,0.22583699226379395,15.0
41,20,0.8369064331054688,13.0
41,30,1.0815179347991943,11.0
41,3000,300,11.0
42,3000,300,inf
43,10,0.11693096160888672,16.0
43,20,0.23071646690368652,9.0
43,150,5.621382474899292,6.0
43,2260,124.40057754516602,5.0
43,3000,300,5.0
44,10,0.026957273483276367,1.0
44,3000,300,1.0
45,470,41.47462582588196,36.0
45,1390,133.1874077320099,30.0
45,1550,148.90919280052185,28.0
45,1630,157.5135200023651,27.0
45,3000,300,27.0
46,10,0.13030266761779785,10.0
46,30,0.7593295574188232,9.0
46,250,12.154852867126465,8.0
46,3000,300,8.0
47,10,0.21793460845947266,5.0
47,3000,300,5.0
48,10,0.056739091873168945,12.0
48,20,0.38388824462890625,11.0
48,3000,300,11.0
49,3000,300,inf
Num trials: 50
Success rate: 0.72
Average cost: 14.777777777777779
Cost STD: 15.400416861441538
Cost CI: 5.133472287147179
