trial,plan iters,plan time,best cost
0,70,4.976460218429565,10.0
0,3000,300,10.0
1,100,4.024515390396118,29.0
1,260,11.735305309295654,26.0
1,470,21.96244239807129,15.0
1,3000,300,15.0
2,10,0.12295985221862793,17.0
2,20,0.1965806484222412,9.0
2,910,37.1520516872406,8.0
2,3000,300,8.0
3,10,0.03200244903564453,6.0
3,3000,300,6.0
4,270,19.162051677703857,32.0
4,340,23.501726627349854,31.0
4,410,28.106231212615967,29.0
4,490,32.36980676651001,27.0
4,770,50.71470665931702,22.0
4,3000,300,22.0
5,1300,93.59166169166565,31.0
5,1580,115.5286328792572,30.0
5,3000,300,30.0
6,10,0.12065982818603516,7.0
6,100,2.3451292514801025,5.0
6,3000,300,5.0
7,3000,300,inf
8,10,0.20168542861938477,10.0
8,3000,300,10.0
9,3000,300,inf
10,1490,113.0160551071167,44.0
10,3000,300,44.0
11,2020,150.28583097457886,26.0
11,3000,300,26.0
12,10,0.03444361686706543,8.0
12,3000,300,8.0
13,3000,300,inf
14,10,0.029697656631469727,11.0
14,20,0.16591572761535645,6.0
14,30,0.2889697551727295,5.0
14,3000,300,5.0
15,10,0.03427720069885254,6.0
15,3000,300,6.0
16,20,0.3635094165802002,11.0
16,3000,300,11.0
17,160,6.294154405593872,64.0
17,440,17.949232578277588,49.0
17,3000,300,49.0
18,10,0.1188499927520752,12.0
18,20,0.15919184684753418,11.0
18,3000,300,11.0
19,3000,300,inf
20,10,0.009485960006713867,6.0
20,20,0.07327795028686523,1.0
20,3000,300,1.0
21,3000,300,inf
22,3000,300,inf
23,3000,300,inf
24,10,0.08141827583312988,5.0
24,3000,300,5.0
25,10,0.02361273765563965,6.0
25,3000,300,6.0
26,10,0.10370016098022461,11.0
26,200,4.894127607345581,9.0
26,3000,300,9.0
27,90,5.405339956283569,10.0
27,3000,300,10.0
28,3000,300,inf
29,2400,185.85096740722656,33.0
29,3000,300,33.0
30,3000,300,inf
31,10,0.052838802337646484,7.0
31,20,0.09127330780029297,5.0
31,3000,300,5.0
32,3000,300,inf
33,10,0.05429792404174805,14.0
33,1410,51.54851150512695,11.0
33,3000,300,11.0
34,3000,300,inf
35,10,0.07917952537536621,7.0
35,3000,300,7.0
36,10,0.047168731689453125,9.0
36,20,0.07992959022521973,8.0
36,3000,300,8.0
37,10,0.1509251594543457,23.0
37,30,0.4953296184539795,10.0
37,40,0.6987013816833496,9.0
37,3000,300,9.0
38,3000,300,inf
39,10,0.11208653450012207,11.0
39,3000,300,11.0
40,20,0.46312880516052246,19.0
40,30,0.543870210647583,12.0
40,3000,300,12.0
41,3000,300,inf
42,3000,300,inf
43,410,30.8855037689209,47.0
43,3000,300,47.0
44,10,0.05084800720214844,10.0
44,20,0.18149733543395996,9.0
44,3000,300,9.0
45,3000,300,inf
46,3000,300,inf
47,3000,300,inf
48,10,0.06283330917358398,30.0
48,20,0.2535281181335449,8.0
48,40,0.6440215110778809,6.0
48,3000,300,6.0
49,10,0.1708970069885254,8.0
49,3000,300,8.0
Num trials: 50
Success rate: 0.66
Average cost: 14.030303030303031
Cost STD: 12.48631941908605
Cost CI: 4.347178431977221
