gradient_descent_sst best cost max,gradient_descent_sst best cost mean,gradient_descent_sst best cost min,gradient_descent_sst best cost std,gradient_descent_sst success fraction,gradient_descent_sst time,policy_guided_gradient_descent_sst best cost max,policy_guided_gradient_descent_sst best cost mean,policy_guided_gradient_descent_sst best cost min,policy_guided_gradient_descent_sst best cost std,policy_guided_gradient_descent_sst success fraction,policy_guided_gradient_descent_sst time,policy_guided_sst best cost max,policy_guided_sst best cost mean,policy_guided_sst best cost min,policy_guided_sst best cost std,policy_guided_sst success fraction,policy_guided_sst time,rl best cost max,rl best cost mean,rl best cost min,rl best cost std,rl success fraction,rl time,rl_rrt best cost max,rl_rrt best cost mean,rl_rrt best cost min,rl_rrt best cost std,rl_rrt success fraction,rl_rrt time,stable_sparse_rrt best cost max,stable_sparse_rrt best cost mean,stable_sparse_rrt best cost min,stable_sparse_rrt best cost std,stable_sparse_rrt success fraction,stable_sparse_rrt time
inf,52.05555555555556,20.0,19.23385967570449,0.0,0,inf,23.0,3.0,17.18203195847983,0.0,0,inf,17.575757575757574,5.0,13.997900931449866,0.0,0,inf,8.833333333333334,1.0,4.249182927993987,0.0,0,inf,40.666666666666664,8.0,23.612614331233114,0.0,0,inf,45.25,13.0,20.136720189742917,0.0,0
inf,51.0,1.0,21.367160680716463,0.02,0.1,inf,22.89498929718398,1.0,17.257002830938998,0.24,0.1,inf,17.113720776971707,1.0,14.166247464151414,0.26,0.1,inf,8.833333333333334,1.0,4.249182927993987,0.46,0.1,inf,40.666666666666664,8.0,23.612614331233114,0.05,0.1,inf,44.236274050398436,5.402387092812624,21.744541765413107,0.06,0.1
inf,51.0,1.0,21.367160680716463,0.02,0.2,inf,22.047682932502383,1.0,17.394786666020916,0.44,0.2,inf,16.331088150921005,1.0,14.207929997102847,0.4,0.2,inf,8.833333333333334,1.0,4.249182927993987,0.48,0.2,inf,40.666666666666664,8.0,23.612614331233114,0.05,0.2,inf,44.16157975431598,4.773773278793214,21.866771203497628,0.06,0.2
inf,51.0,1.0,21.367160680716463,0.02,0.30000000000000004,inf,21.110825093092885,1.0,16.497273156677775,0.5,0.30000000000000004,inf,15.9962014109108,1.0,14.272882513673412,0.42,0.30000000000000004,inf,8.833333333333334,1.0,4.249182927993987,0.48,0.30000000000000004,inf,40.666666666666664,8.0,23.612614331233114,0.05,0.30000000000000004,inf,44.105389055661526,4.515231413333728,21.956622941504413,0.06,0.30000000000000004
inf,51.0,1.0,21.367160680716463,0.02,0.4,inf,19.16431247444202,1.0,14.839991206345061,0.54,0.4,inf,15.862050042546171,1.0,14.287841829602916,0.44,0.4,inf,8.833333333333334,1.0,4.249182927993987,0.48,0.4,inf,40.666666666666664,8.0,23.612614331233114,0.05,0.4,inf,44.04919835700707,4.256689547874242,22.047257413940226,0.06,0.4
inf,51.0,1.0,21.367160680716463,0.02,0.5,inf,17.153435505018347,1.0,13.550235303523081,0.54,0.5,inf,15.63567807298093,1.0,14.318755333261356,0.46,0.5,inf,8.833333333333334,1.0,4.249182927993987,0.48,0.5,inf,40.666666666666664,8.0,23.612614331233114,0.05,0.5,inf,43.9928965632344,3.9959257800504226,22.13886571194289,0.06,0.5
inf,51.0,1.0,21.367160680716463,0.02,0.6,inf,16.377208601439392,1.0,13.582916987272828,0.54,0.6,inf,15.485754770731516,1.0,14.350161044624606,0.46,0.6,inf,8.833333333333334,1.0,4.249182927993987,0.48,0.6,inf,40.666666666666664,8.0,23.612614331233114,0.05,0.6,inf,43.92119948525493,3.4272563280906283,22.25916147419941,0.06,0.6
inf,51.0,1.0,21.367160680716463,0.02,0.7,inf,16.062404078278593,1.0,13.634872889471279,0.54,0.7,inf,15.459967441362682,1.0,14.363165743154415,0.46,0.7,inf,8.833333333333334,1.0,4.249182927993987,0.48,0.7,inf,40.666666666666664,8.0,23.612614331233114,0.05,0.7,inf,43.849502407275466,2.8585868761308335,22.380426992387203,0.06,0.7
inf,51.0,1.0,21.367160680716463,0.02,0.7999999999999999,inf,15.837250713523831,1.0,13.686875194510089,0.54,0.7999999999999999,inf,15.455719233341997,1.0,14.365349056125332,0.46,0.7999999999999999,inf,8.833333333333334,1.0,4.249182927993987,0.48,0.7999999999999999,inf,40.666666666666664,8.0,23.612614331233114,0.05,0.7999999999999999,inf,43.777805329295994,2.2899174241710387,22.502646588628465,0.06,0.7999999999999999
inf,51.0,1.0,21.367160680716463,0.02,0.8999999999999999,inf,15.579713565890286,1.0,13.775475350464037,0.54,0.8999999999999999,inf,15.451471025321311,1.0,14.367551594029758,0.46,0.8999999999999999,inf,8.833333333333334,1.0,4.249182927993987,0.48,0.8999999999999999,inf,40.666666666666664,8.0,23.612614331233114,0.05,0.8999999999999999,inf,43.72001162719902,1.9993154898611996,22.600071971424953,0.06,0.8999999999999999
inf,50.96844347168395,1.0,21.404287980837665,0.06,0.9999999999999999,inf,15.505269301446766,1.0,13.808499950637142,0.54,0.9999999999999999,inf,15.447222817300627,1.0,14.369773348027552,0.46,0.9999999999999999,inf,8.833333333333334,1.0,4.249182927993987,0.48,0.9999999999999999,inf,40.666666666666664,8.0,23.612614331233114,0.05,0.9999999999999999,inf,43.67667819990296,1.9979190515695018,22.67157058294951,0.06,0.9999999999999999
inf,50.894336570848075,1.0,21.494023879377,0.06,1.0999999999999999,inf,15.462671378538927,1.0,13.824299620830423,0.54,1.0999999999999999,inf,15.442974609279942,1.0,14.372014309206921,0.46,1.0999999999999999,inf,8.833333333333334,1.0,4.249182927993987,0.48,1.0999999999999999,inf,40.666666666666664,8.0,23.612614331233114,0.05,1.0999999999999999,inf,43.63334477260689,1.996522613277804,22.74386747359312,0.06,1.0999999999999999
inf,50.820229670012196,1.0,21.587644735887547,0.06,1.2,inf,15.427658122119134,1.0,13.837289370211106,0.54,1.2,inf,15.438726401259256,1.0,14.374274468584623,0.46,1.2,inf,8.833333333333334,1.0,4.249182927993987,0.48,1.2,inf,40.666666666666664,8.0,23.612614331233114,0.05,1.2,inf,43.5943677722506,1.9951261749861062,22.809574706675466,0.06,1.2
inf,50.74612276917631,1.0,21.68510023296239,0.06,1.3,inf,15.392644865699342,1.0,13.852058077018514,0.54,1.3,inf,15.43447819323857,1.0,14.376553817106128,0.46,1.3,inf,8.833333333333334,1.0,4.249182927993987,0.48,1.3,inf,40.666666666666664,8.0,23.612614331233114,0.05,1.3,inf,43.55883797277705,1.9937297366944084,22.870252870017033,0.06,1.3
inf,50.67201586834043,1.0,21.78633891087315,0.06,1.4000000000000001,inf,15.366292777990074,1.0,13.863904056196347,0.54,1.4000000000000001,inf,15.430229985217887,1.0,14.378852345645793,0.46,1.4000000000000001,inf,8.833333333333334,1.0,4.249182927993987,0.48,1.4000000000000001,inf,40.666666666666664,8.0,23.612614331233114,0.05,1.4000000000000001,inf,43.523308173303505,1.9923332984027107,22.931743193470748,0.06,1.4000000000000001
inf,50.59790896750455,1.0,21.891308282519187,0.06,1.5000000000000002,inf,15.357766882593303,1.0,13.866711605294325,0.54,1.5000000000000002,inf,15.425981777197201,1.0,14.381170045007046,0.46,1.5000000000000002,inf,8.833333333333334,1.0,4.249182927993987,0.48,1.5000000000000002,inf,40.666666666666664,8.0,23.612614331233114,0.05,1.5000000000000002,inf,43.49539001248218,1.990936860111013,22.98060585420703,0.06,1.5000000000000002
inf,50.52380206666867,1.0,21.999954946686337,0.06,1.6000000000000003,inf,15.34924098719653,1.0,13.86956614713327,0.54,1.6000000000000003,inf,15.421733569176515,1.0,14.383506905922564,0.46,1.6000000000000003,inf,8.833333333333334,1.0,4.249182927993987,0.48,1.6000000000000003,inf,40.666666666666664,8.0,23.612614331233114,0.05,1.6000000000000003,inf,43.49390176214879,1.9895404218193151,22.98313578000756,0.06,1.6000000000000003
