trial,plan iters,plan time,best cost
0,3000,300,inf
1,3000,300,inf
2,280,8.372896194458008,41.0
2,1710,72.96179151535034,36.0
2,3000,300,36.0
3,3000,300,inf
4,3000,300,inf
5,3000,300,inf
6,3000,300,inf
7,3000,300,inf
8,890,34.42729663848877,64.0
8,1550,66.47275495529175,52.0
8,3000,300,52.0
9,460,15.97606635093689,30.0
9,3000,300,30.0
10,3000,300,inf
11,1250,50.43996286392212,56.0
11,3000,300,56.0
12,3000,300,inf
13,380,12.358172178268433,77.0
13,710,25.12432050704956,72.0
13,930,34.65757870674133,67.0
13,1270,50.64545559883118,66.0
13,3000,300,66.0
14,2320,112.38930296897888,50.0
14,2500,123.99010181427002,39.0
14,3000,300,39.0
15,3000,300,inf
16,10,0.004907369613647461,1.0
16,3000,300,1.0
17,3000,300,inf
18,1180,46.23100018501282,28.0
18,3000,300,28.0
19,690,24.577565908432007,46.0
19,3000,300,46.0
20,3000,300,inf
21,30,1.0499372482299805,37.0
21,3000,300,37.0
22,1360,56.64748191833496,53.0
22,2170,102.67682528495789,43.0
22,2570,129.50595903396606,40.0
22,3000,300,40.0
23,3000,300,inf
24,3000,300,inf
25,3000,300,inf
26,60,1.637406349182129,40.0
26,100,2.897568464279175,30.0
26,3000,300,30.0
27,780,30.51990270614624,57.0
27,1330,57.809237480163574,50.0
27,3000,300,50.0
28,1800,78.33531737327576,81.0
28,3000,300,81.0
29,3000,300,inf
30,10,0.02778172492980957,18.0
30,20,0.0662984848022461,15.0
30,30,0.335315465927124,5.0
30,40,0.37389588356018066,2.0
30,3000,300,2.0
31,3000,300,inf
32,3000,300,inf
33,3000,300,inf
34,420,13.60409665107727,37.0
34,3000,300,37.0
35,1580,66.73008179664612,31.0
35,3000,300,31.0
36,3000,300,inf
37,1350,53.92424702644348,44.0
37,2120,96.69197869300842,36.0
37,3000,300,36.0
38,3000,300,inf
39,3000,300,inf
40,3000,300,inf
41,10,0.04646420478820801,8.0
41,20,0.054065704345703125,3.0
41,3000,300,3.0
42,3000,300,inf
43,400,13.430765867233276,58.0
43,900,33.703115463256836,57.0
43,1030,39.24682068824768,51.0
43,1040,39.35174632072449,48.0
43,1790,76.57509756088257,42.0
43,3000,300,42.0
44,10,0.006395816802978516,2.0
44,30,0.39554882049560547,1.0
44,3000,300,1.0
45,3000,300,inf
46,3000,300,inf
47,3000,300,inf
48,2300,114.47605395317078,61.0
48,2810,149.68633008003235,46.0
48,3000,300,46.0
49,580,20.39127254486084,46.0
49,3000,300,46.0
Num trials: 50
Success rate: 0.46
Average cost: 36.34782608695652
Cost STD: 19.773958930771585
Cost CI: 8.246310920076995
