trial,plan iters,plan time,best cost
0,10,0.16161203384399414,17.0
0,60,1.5864903926849365,15.0
0,850,29.824308395385742,13.0
0,1020,36.795053482055664,12.0
0,1390,52.691359758377075,11.0
0,3000,300,11.0
1,30,1.0093004703521729,33.0
1,80,2.9224047660827637,20.0
1,1150,55.0851845741272,17.0
1,3000,300,17.0
2,10,0.15443062782287598,12.0
2,410,13.998235940933228,11.0
2,3000,300,11.0
3,10,0.05990314483642578,13.0
3,3000,300,13.0
4,10,0.19827961921691895,12.0
4,3000,300,12.0
5,10,0.11647582054138184,32.0
5,20,0.48604846000671387,22.0
5,70,2.587205648422241,18.0
5,190,7.036539316177368,13.0
5,770,31.366118907928467,11.0
5,3000,300,11.0
6,10,0.05419588088989258,18.0
6,20,0.25154829025268555,11.0
6,30,0.40724658966064453,10.0
6,50,1.1238067150115967,8.0
6,410,13.024696350097656,7.0
6,3000,300,7.0
7,10,0.020348310470581055,12.0
7,20,0.04955410957336426,8.0
7,30,0.05870175361633301,1.0
7,3000,300,1.0
8,10,0.34656190872192383,23.0
8,270,10.225332021713257,18.0
8,390,14.96957278251648,17.0
8,3000,300,17.0
9,10,0.18095040321350098,22.0
9,40,1.0159969329833984,7.0
9,2300,108.770498752594,5.0
9,3000,300,5.0
10,10,0.03505373001098633,8.0
10,160,4.862458944320679,7.0
10,3000,300,7.0
11,10,0.0597386360168457,15.0
11,20,0.3565657138824463,11.0
11,970,40.23137021064758,10.0
11,1650,73.82315301895142,9.0
11,3000,300,9.0
12,10,0.10042786598205566,17.0
12,60,1.8058388233184814,7.0
12,3000,300,7.0
13,10,0.11725473403930664,21.0
13,20,0.13996529579162598,4.0
13,3000,300,4.0
14,30,0.989753007888794,26.0
14,40,1.0930559635162354,13.0
14,3000,300,13.0
15,10,0.12749361991882324,9.0
15,3000,300,9.0
16,10,0.30347776412963867,23.0
16,20,0.3617830276489258,15.0
16,30,0.3987720012664795,12.0
16,40,0.5904858112335205,7.0
16,3000,300,7.0
17,10,0.3382453918457031,12.0
17,3000,300,12.0
18,10,0.05944490432739258,14.0
18,20,0.2018280029296875,11.0
18,3000,300,11.0
19,10,0.0709383487701416,19.0
19,150,5.179776430130005,17.0
19,250,9.32638931274414,15.0
19,3000,300,15.0
20,10,0.025789260864257812,14.0
20,20,0.08497428894042969,1.0
20,3000,300,1.0
21,10,0.049231767654418945,8.0
21,3000,300,8.0
22,20,0.47367143630981445,34.0
22,230,8.490889072418213,33.0
22,240,8.709248065948486,31.0
22,300,11.134638786315918,30.0
22,520,20.1349618434906,18.0
22,2670,139.00011110305786,15.0
22,3000,300,15.0
23,10,0.14699792861938477,32.0
23,50,1.2487452030181885,30.0
23,90,2.445530891418457,16.0
23,140,4.275029897689819,12.0
23,2730,131.7587537765503,7.0
