trial,plan iters,plan time,best cost
0,10,0.06269288063049316,13.0
0,60,1.3368685245513916,12.0
0,440,12.543177127838135,11.0
0,3000,300,11.0
1,10,0.2907681465148926,42.0
1,30,0.9186859130859375,16.0
1,80,2.4373059272766113,13.0
1,3000,300,13.0
2,20,0.4739189147949219,32.0
2,50,1.4604487419128418,27.0
2,60,1.789848804473877,22.0
2,90,2.4948675632476807,15.0
2,1590,58.8936767578125,12.0
2,3000,300,12.0
3,10,0.20819687843322754,35.0
3,20,0.5167636871337891,28.0
3,30,0.5960164070129395,6.0
3,3000,300,6.0
4,10,0.060178279876708984,13.0
4,30,0.4720494747161865,12.0
4,3000,300,12.0
5,10,0.034879446029663086,10.0
5,3000,300,10.0
6,10,0.035883188247680664,8.0
6,3000,300,8.0
7,10,0.05050253868103027,11.0
7,3000,300,11.0
8,10,0.04340243339538574,20.0
8,20,0.05023670196533203,1.0
8,3000,300,1.0
9,10,0.10585379600524902,23.0
9,140,4.131223678588867,19.0
9,3000,300,19.0
10,10,0.12241792678833008,10.0
10,3000,300,10.0
11,20,0.3383207321166992,22.0
11,40,0.7490701675415039,19.0
11,50,0.9112753868103027,16.0
11,80,1.7921488285064697,13.0
11,220,6.002654790878296,12.0
11,3000,300,12.0
12,10,0.23535394668579102,11.0
12,3000,300,11.0
13,10,0.09496665000915527,12.0
13,70,1.7077429294586182,9.0
13,3000,300,9.0
14,20,0.3299088478088379,51.0
14,30,0.5188190937042236,13.0
14,100,2.6335902214050293,11.0
14,880,29.988609790802002,10.0
14,3000,300,10.0
15,10,0.08435440063476562,12.0
15,3000,300,12.0
16,10,0.08942699432373047,16.0
16,40,0.7632284164428711,11.0
16,90,1.8312389850616455,8.0
16,3000,300,8.0
17,10,0.258281946182251,38.0
17,30,0.5249545574188232,15.0
17,40,0.704688549041748,9.0
17,3000,300,9.0
18,10,0.05752205848693848,10.0
18,20,0.1016995906829834,9.0
18,3000,300,9.0
19,10,0.07021784782409668,13.0
19,310,10.283596992492676,12.0
19,3000,300,12.0
20,10,0.12411022186279297,10.0
20,3000,300,10.0
21,10,0.04744410514831543,11.0
21,3000,300,11.0
22,20,0.4567551612854004,58.0
22,30,0.6838617324829102,45.0
22,40,0.9772350788116455,13.0
22,3000,300,13.0
23,10,0.09311389923095703,14.0
23,20,0.11916613578796387,5.0
23,3000,300,5.0
24,10,0.017332077026367188,12.0
24,20,0.03143930435180664,10.0
24,30,0.08865189552307129,1.0
24,3000,300,1.0
25,10,0.08968806266784668,14.0
25,30,0.43644142150878906,8.0
25,3000,300,8.0
26,30,0.5802302360534668,33.0
26,50,1.2653024196624756,17.0
26,110,3.2174015045166016,15.0
26,3000,300,15.0
27,10,0.04755043983459473,15.0
27,20,0.25568604469299316,13.0
27,3000,300,13.0
28,10,0.04799199104309082,13.0
28,3000,300,13.0
29,20,0.4145796298980713,24.0
29,30,0.4646174907684326,14.0
29,1400,51.75494909286499,12.0
29,3000,300,12.0
30,10,0.03405189514160156,9.0
30,3000,300,9.0
31,10,0.12008190155029297,21.0
31,20,0.26769042015075684,16.0
31,90,2.072237491607666,15.0
31,2360,86.36959910392761,14.0
31,3000,300,14.0
32,10,0.0635993480682373,17.0
32,20,0.1639242172241211,1.0
32,3000,300,1.0
33,10,0.2113018035888672,15.0
33,840,23.879629135131836,14.0
33,2200,79.1801016330719,13.0
33,3000,300,13.0
34,10,0.039984703063964844,14.0
34,20,0.06547284126281738,6.0
34,60,0.8452010154724121,5.0
34,3000,300,5.0
35,10,0.10596990585327148,14.0
35,2650,93.57177186012268,12.0
35,3000,300,12.0
36,10,0.16724205017089844,19.0
36,60,1.422468662261963,11.0
36,290,7.718533515930176,10.0
36,3000,300,10.0
37,10,0.09831619262695312,30.0
37,20,0.17140436172485352,16.0
37,3000,300,16.0
38,10,0.05791282653808594,9.0
38,3000,300,9.0
39,20,0.300370454788208,26.0
39,100,2.2667365074157715,21.0
39,120,2.821632146835327,17.0
39,230,5.841816425323486,14.0
39,3000,300,14.0
40,10,0.14855742454528809,10.0
40,30,0.5423851013183594,9.0
40,3000,300,9.0
41,10,0.040354251861572266,11.0
41,110,2.817640542984009,10.0
41,3000,300,10.0
42,10,0.07780933380126953,7.0
42,3000,300,7.0
43,10,0.22494912147521973,18.0
43,880,31.2938175201416,16.0
43,3000,300,16.0
44,20,0.30164194107055664,30.0
44,30,0.5214924812316895,13.0
44,530,14.585165023803711,11.0
44,620,17.233086109161377,10.0
44,3000,300,10.0
45,20,0.4429440498352051,42.0
45,30,0.6798605918884277,28.0
45,50,1.0883030891418457,19.0
45,80,1.8421247005462646,18.0
45,100,2.19008469581604,15.0
45,1490,52.19084906578064,14.0
45,3000,300,14.0
46,10,0.2585270404815674,36.0
46,20,0.32020998001098633,29.0
46,40,0.7398462295532227,9.0
46,3000,300,9.0
47,10,0.06061887741088867,17.0
47,20,0.30449461936950684,16.0
47,60,1.4186267852783203,15.0
47,270,7.661479949951172,13.0
47,3000,300,13.0
48,10,0.012995004653930664,8.0
48,20,0.04671645164489746,1.0
48,3000,300,1.0
49,20,0.3478200435638428,24.0
49,40,0.9129550457000732,17.0
49,100,2.546525716781616,15.0
49,1120,35.86968803405762,14.0
49,3000,300,14.0
Num trials: 50
Success rate: 1.0
Average cost: 10.24
Cost STD: 3.855178335693435
Cost CI: 1.0904090975409184
