trial,plan iters,plan time,best cost
0,10,0.13446450233459473,31.0
0,3000,300,31.0
1,3000,300,inf
2,10,0.04254436492919922,10.0
2,3000,300,10.0
3,10,0.08155417442321777,17.0
3,3000,300,17.0
4,10,0.06190657615661621,14.0
4,3000,300,14.0
5,10,0.023819923400878906,5.0
5,3000,300,5.0
6,10,0.0791010856628418,16.0
6,3000,300,16.0
7,10,0.05682492256164551,13.0
7,3000,300,13.0
8,10,0.03699898719787598,9.0
8,3000,300,9.0
9,10,0.046837568283081055,11.0
9,3000,300,11.0
10,10,0.05418825149536133,11.0
10,3000,300,11.0
11,10,0.0374302864074707,8.0
11,3000,300,8.0
12,10,0.08985757827758789,10.0
12,3000,300,10.0
13,10,0.0663297176361084,16.0
13,3000,300,16.0
14,10,0.06936025619506836,15.0
14,3000,300,15.0
15,10,0.054604291915893555,12.0
15,3000,300,12.0
16,10,0.03639864921569824,7.0
16,3000,300,7.0
17,10,0.05689740180969238,12.0
17,3000,300,12.0
18,10,0.023045063018798828,6.0
18,3000,300,6.0
19,10,0.057344913482666016,13.0
19,3000,300,13.0
20,10,0.05321645736694336,12.0
20,3000,300,12.0
21,10,0.0944831371307373,18.0
21,3000,300,18.0
22,10,0.02938222885131836,8.0
22,3000,300,8.0
23,10,0.053966522216796875,13.0
23,3000,300,13.0
24,10,0.05431723594665527,10.0
24,3000,300,10.0
25,10,0.08232641220092773,20.0
25,3000,300,20.0
26,10,0.0705873966217041,15.0
26,3000,300,15.0
27,10,0.09657406806945801,18.0
27,3000,300,18.0
28,10,0.07430386543273926,18.0
28,3000,300,18.0
29,10,0.04106283187866211,10.0
29,3000,300,10.0
30,10,0.04125237464904785,9.0
30,3000,300,9.0
31,10,0.062055349349975586,16.0
31,3000,300,16.0
32,10,0.058185577392578125,12.0
32,3000,300,12.0
33,10,0.04277348518371582,9.0
33,3000,300,9.0
34,10,0.07049250602722168,12.0
34,3000,300,12.0
35,10,0.04310297966003418,11.0
35,3000,300,11.0
36,10,0.032911062240600586,9.0
36,3000,300,9.0
37,10,0.047043800354003906,8.0
37,3000,300,8.0
38,10,0.041700124740600586,11.0
38,3000,300,11.0
39,10,0.039591073989868164,11.0
39,3000,300,11.0
40,10,0.07982277870178223,17.0
40,3000,300,17.0
41,10,0.05906105041503906,11.0
41,3000,300,11.0
42,10,0.02707052230834961,7.0
42,3000,300,7.0
43,10,0.03765559196472168,8.0
43,3000,300,8.0
44,10,0.04728984832763672,11.0
44,3000,300,11.0
45,10,0.024321794509887695,6.0
45,3000,300,6.0
46,10,0.021949052810668945,5.0
46,3000,300,5.0
47,10,0.06272697448730469,14.0
47,3000,300,14.0
48,10,0.04684782028198242,9.0
48,3000,300,9.0
49,10,0.040619611740112305,10.0
49,3000,300,10.0
Num trials: 50
Success rate: 0.98
Average cost: 11.918367346938776
Cost STD: 4.552804628743167
Cost CI: 1.3008013224980477
