trial,plan iters,plan time,best cost
0,1050,30.772851705551147,29.0
0,3000,300,29.0
1,3000,300,inf
2,3000,300,inf
3,3000,300,inf
4,10,0.03635454177856445,18.0
4,20,0.05487251281738281,11.0
4,30,0.06793713569641113,9.0
4,2340,87.94896197319031,6.0
4,3000,300,6.0
5,230,5.126569032669067,49.0
5,1450,47.121663331985474,41.0
5,3000,300,41.0
6,1290,41.52604293823242,54.0
6,1640,56.25555062294006,52.0
6,3000,300,52.0
7,3000,300,inf
8,1820,62.2200026512146,38.0
8,1900,65.61181497573853,29.0
8,2160,78.01847004890442,27.0
8,3000,300,27.0
9,3000,300,inf
10,3000,300,inf
11,3000,300,inf
12,250,6.942020893096924,53.0
12,660,19.31601643562317,40.0
12,730,21.809582710266113,39.0
12,3000,300,39.0
13,10,0.015248537063598633,9.0
13,20,0.0958714485168457,7.0
13,130,2.5846264362335205,4.0
13,360,8.40177059173584,3.0
13,3000,300,3.0
14,3000,300,inf
15,3000,300,inf
16,3000,300,inf
17,1400,44.48461365699768,27.0
17,2880,118.52188515663147,26.0
17,3000,300,26.0
18,2410,92.97537231445312,33.0
18,2830,115.70524191856384,24.0
18,3000,300,24.0
19,1870,65.97245359420776,57.0
19,2220,83.39695906639099,56.0
19,2330,88.47184729576111,51.0
19,2730,110.18825626373291,48.0
19,3000,300,48.0
20,10,0.012381553649902344,7.0
20,20,0.04550433158874512,4.0
20,940,26.90166997909546,3.0
20,3000,300,3.0
21,3000,300,inf
22,2010,74.18199515342712,54.0
22,2470,98.40199112892151,43.0
22,3000,300,43.0
23,3000,300,inf
24,3000,300,inf
25,3000,300,inf
26,3000,300,inf
27,3000,300,inf
28,3000,300,inf
29,450,11.573019981384277,53.0
29,530,13.706796169281006,47.0
29,1000,28.810688972473145,42.0
29,1390,43.62308669090271,28.0
29,3000,300,28.0
30,2940,122.31815361976624,82.0
30,3000,300,82.0
31,1340,41.75650501251221,35.0
31,1790,60.84157705307007,33.0
31,2180,79.22785496711731,32.0
31,2270,83.88614964485168,28.0
31,3000,300,28.0
32,3000,300,inf
33,3000,300,inf
34,3000,300,inf
35,3000,300,inf
36,3000,300,inf
37,3000,300,inf
38,3000,300,inf
39,3000,300,inf
40,3000,300,inf
41,380,9.310704946517944,60.0
41,920,25.920019388198853,57.0
41,1020,29.426318883895874,51.0
41,2160,78.85050630569458,40.0
41,3000,300,40.0
42,3000,300,inf
43,1150,35.41423749923706,54.0
43,3000,300,54.0
44,3000,300,inf
45,3000,300,inf
46,3000,300,inf
47,2310,85.82308149337769,43.0
47,2740,108.83535408973694,40.0
47,3000,300,40.0
48,10,0.0160677433013916,10.0
48,50,0.9458980560302734,6.0
48,270,6.141015291213989,3.0
48,3000,300,3.0
49,840,23.211647748947144,54.0
49,1020,29.50821328163147,43.0
49,1890,66.04796934127808,37.0
49,3000,300,37.0
Num trials: 50
Success rate: 0.4
Average cost: 32.65
Cost STD: 19.236098876851305
Cost CI: 8.602644942109373
