gradient_descent_sst best cost ci,gradient_descent_sst best cost max,gradient_descent_sst best cost mean,gradient_descent_sst best cost min,gradient_descent_sst best cost std,gradient_descent_sst success fraction,gradient_descent_sst success fraction ci,gradient_descent_sst time,policy_guided_gradient_descent_sst best cost ci,policy_guided_gradient_descent_sst best cost max,policy_guided_gradient_descent_sst best cost mean,policy_guided_gradient_descent_sst best cost min,policy_guided_gradient_descent_sst best cost std,policy_guided_gradient_descent_sst success fraction,policy_guided_gradient_descent_sst success fraction ci,policy_guided_gradient_descent_sst time,policy_guided_sst best cost ci,policy_guided_sst best cost max,policy_guided_sst best cost mean,policy_guided_sst best cost min,policy_guided_sst best cost std,policy_guided_sst success fraction,policy_guided_sst success fraction ci,policy_guided_sst time,rl best cost ci,rl best cost max,rl best cost mean,rl best cost min,rl best cost std,rl success fraction,rl success fraction ci,rl time,stable_sparse_rrt best cost ci,stable_sparse_rrt best cost max,stable_sparse_rrt best cost mean,stable_sparse_rrt best cost min,stable_sparse_rrt best cost std,stable_sparse_rrt success fraction,stable_sparse_rrt success fraction ci,stable_sparse_rrt time
"(33.296525257703564, 50.703474742296436, 42.0)",inf,42.0,1.0,20.870199265730655,0.0,"[9.771663301804058e-06, 0.04875845944407136, 0.0]",0,"(16.022530705011945, 21.697469294988053, 18.86)",43.0,18.86,1.0,10.031968899473323,0.0,"[9.771663301804058e-06, 0.04875845944407136, 0.0]",0,"(16.334650093599173, 22.985349906400828, 19.66)",58.0,19.66,7.0,11.756887343170387,0.0,"[9.771663301804058e-06, 0.04875845944407136, 0.0]",0,"(10.617566024440729, 13.219168669436824, 11.918367346938776)",inf,11.918367346938776,5.0,4.552804628743167,0.0,"[9.771663301804058e-06, 0.04875845944407136, 0.0]",0,"(32.31927001928574, 49.58072998071427, 40.95)",inf,40.95,7.0,19.298898932322537,0.0,"[9.771663301804058e-06, 0.04875845944407136, 0.0]",0
"(32.62583054122863, 50.548665244819055, 41.58724789302384)",inf,41.58724789302384,1.0,21.488723914650528,0.08,"[0.027607090992212306, 0.1790661496180137, 0.08]",0.1,"(15.251592184956626, 21.251388329253263, 18.251490257104944)",43.0,18.251490257104944,1.0,10.606241348422632,0.36,"[0.2377994265655445, 0.49789030613500207, 0.36]",0.1,"(14.975807758098329, 22.120410635603342, 18.548109196850834)",58.0,18.548109196850834,1.0,12.629992858921787,0.52,"[0.3836705340928139, 0.654087371951928, 0.52]",0.1,"(10.617566024440729, 13.219168669436824, 11.918367346938776)",inf,11.918367346938776,5.0,4.552804628743167,0.96,"[0.8778210644127505, 0.991595964861054, 0.96]",0.1,"(31.120963012908454, 49.342120469106966, 40.23154174100771)",inf,40.23154174100771,3.9979708321311938,20.37187335039351,0.08,"[0.027607090992212306, 0.1790661496180137, 0.08]",0.1
"(32.35208356156717, 50.47682911161709, 41.41445633659213)",inf,41.41445633659213,1.0,21.73080651523783,0.08,"[0.027607090992212306, 0.1790661496180137, 0.08]",0.2,"(14.096072459533234, 19.904332696442516, 17.000202577987874)",43.0,17.000202577987874,1.0,10.26765050103684,0.72,"[0.5857873201503483, 0.8295717146394466, 0.72]",0.2,"(14.148989271553438, 21.419286115686234, 17.784137693619837)",58.0,17.784137693619837,1.0,12.852190499313643,0.66,"[0.5226459236571401, 0.7794249068986814, 0.66]",0.2,"(10.617566024440729, 13.219168669436824, 11.918367346938776)",inf,11.918367346938776,5.0,4.552804628743167,0.98,"[0.910319648943036, 0.9978335058247063, 0.98]",0.2,"(31.07388098283078, 49.333415952811784, 40.20364846782128)",inf,40.20364846782128,3.9942472923931494,20.414780715206053,0.08,"[0.027607090992212306, 0.1790661496180137, 0.08]",0.2
"(32.068563945472576, 50.41476561484828, 41.24166478016043)",inf,41.24166478016043,1.0,21.99632307476111,0.08,"[0.027607090992212306, 0.1790661496180137, 0.08]",0.30000000000000004,"(13.443246007434583, 19.140673469218903, 16.291959738326742)",43.0,16.291959738326742,1.0,10.071723983865377,0.74,"[0.607392071520054, 0.8457328386136523, 0.74]",0.30000000000000004,"(13.857957198505401, 20.983098761149115, 17.42052797982726)",58.0,17.42052797982726,1.0,12.595589789648713,0.8,"[0.6741731038857685, 0.8922659692341358, 0.8]",0.30000000000000004,"(10.617566024440729, 13.219168669436824, 11.918367346938776)",inf,11.918367346938776,5.0,4.552804628743167,0.98,"[0.910319648943036, 0.9978335058247063, 0.98]",0.30000000000000004,"(31.026638023879144, 49.32487236539056, 40.17575519463485)",inf,40.17575519463485,3.9905237526551045,20.45804792792032,0.08,"[0.027607090992212306, 0.1790661496180137, 0.08]",0.30000000000000004
"(31.731836860407114, 50.35511966133201, 41.04347826086956)",inf,41.04347826086956,1.0,22.328531681060806,0.08,"[0.027607090992212306, 0.1790661496180137, 0.08]",0.4,"(12.948827282393095, 18.472126601841858, 15.710476942117477)",43.0,15.710476942117477,1.0,9.763906008263161,0.88,"[0.7692894857626692, 0.9483257754897259, 0.88]",0.4,"(13.24227423814372, 19.658706571852836, 16.450490404998277)",58.0,16.450490404998277,1.0,11.342757035475849,0.9,"[0.7946451719769523, 0.9608056356058162, 0.9]",0.4,"(10.617566024440729, 13.219168669436824, 11.918367346938776)",inf,11.918367346938776,5.0,4.552804628743167,0.98,"[0.910319648943036, 0.9978335058247063, 0.98]",0.4,"(30.979235154937736, 49.31648868795911, 40.147861921448424)",inf,40.147861921448424,3.98680021291706,20.50167271024199,0.08,"[0.027607090992212306, 0.1790661496180137, 0.08]",0.4
"(31.731836860407114, 50.35511966133201, 41.04347826086956)",inf,41.04347826086956,1.0,22.328531681060806,0.08,"[0.027607090992212306, 0.1790661496180137, 0.08]",0.5,"(12.545452232091304, 17.88435298490086, 15.214902608496082)",43.0,15.214902608496082,1.0,9.437932315984005,0.92,"[0.8209338503819863, 0.9723929090077877, 0.92]",0.5,"(12.2127321088381, 17.92878857990666, 15.07076034437238)",55.52458548281777,15.07076034437238,1.0,10.104655730844565,0.98,"[0.910319648943036, 0.9978335058247063, 0.98]",0.5,"(10.617566024440729, 13.219168669436824, 11.918367346938776)",inf,11.918367346938776,5.0,4.552804628743167,0.98,"[0.910319648943036, 0.9978335058247063, 0.98]",0.5,"(30.931673394621768, 49.30826390190222, 40.119968648261995)",inf,40.119968648261995,3.9830766731790153,20.54565278447822,0.08,"[0.027607090992212306, 0.1790661496180137, 0.08]",0.5
"(31.731836860407114, 50.35511966133201, 41.04347826086956)",inf,41.04347826086956,1.0,22.328531681060806,0.08,"[0.027607090992212306, 0.1790661496180137, 0.08]",0.6,"(12.206168761928216, 17.43472127500466, 14.820445018466437)",42.88981469420193,14.820445018466437,1.0,9.242862344465792,0.94,"[0.8484674369723397, 0.9828133509288488, 0.94]",0.6,"(11.352947486771289, 16.448894641856487, 13.900921064313888)",49.800400607209674,13.900921064313888,1.0,9.008446974822599,1.0,"[0.9512415405559287, 0.9999902283366982, 1.0]",0.6,"(10.617566024440729, 13.219168669436824, 11.918367346938776)",inf,11.918367346938776,5.0,4.552804628743167,0.98,"[0.910319648943036, 0.9978335058247063, 0.98]",0.6,"(30.883953761103975, 49.30019698904716, 40.09207537507557)",inf,40.09207537507557,3.979353133440971,20.589985873925563,0.08,"[0.027607090992212306, 0.1790661496180137, 0.08]",0.6
"(31.731836860407114, 50.35511966133201, 41.04347826086956)",inf,41.04347826086956,1.0,22.328531681060806,0.08,"[0.027607090992212306, 0.1790661496180137, 0.08]",0.7,"(11.878207527707358, 17.019625230542616, 14.448916379124988)",42.69257351921128,14.448916379124988,1.0,9.088828306468432,0.94,"[0.8484674369723397, 0.9828133509288488, 0.94]",0.7,"(11.002261160304917, 15.55069235964025, 13.276476759972583)",43.23970184405164,13.276476759972583,1.0,8.040566362026187,1.0,"[0.9512415405559287, 0.9999902283366982, 1.0]",0.7,"(10.617566024440729, 13.219168669436824, 11.918367346938776)",inf,11.918367346938776,5.0,4.552804628743167,0.98,"[0.910319648943036, 0.9978335058247063, 0.98]",0.7,"(30.836077271944564, 49.2922869318337, 40.06418210188913)",inf,40.06418210188913,3.975629593702926,20.63466970325019,0.08,"[0.027607090992212306, 0.1790661496180137, 0.08]",0.7
"(31.731836860407114, 50.35511966133201, 41.04347826086956)",inf,41.04347826086956,1.0,22.328531681060806,0.08,"[0.027607090992212306, 0.1790661496180137, 0.08]",0.7999999999999999,"(11.695492686242826, 16.786505211331477, 14.240998948787151)",42.49533234422063,14.240998948787151,1.0,8.999723698989586,0.94,"[0.8484674369723397, 0.9828133509288488, 0.94]",0.7999999999999999,"(10.76379157719104, 14.71070691901981, 12.737249248105424)",32.33209881860745,12.737249248105424,1.0,6.977226507440861,1.0,"[0.9512415405559287, 0.9999902283366982, 1.0]",0.7999999999999999,"(10.617566024440729, 13.219168669436824, 11.918367346938776)",inf,11.918367346938776,5.0,4.552804628743167,0.98,"[0.910319648943036, 0.9978335058247063, 0.98]",0.7999999999999999,"(30.788044943924696, 49.284532713480694, 40.036288828702695)",inf,40.036288828702695,3.9719060539648816,20.67970199886034,0.08,"[0.027607090992212306, 0.1790661496180137, 0.08]",0.7999999999999999
"(31.731836860407114, 50.35511966133201, 41.04347826086956)",inf,41.04347826086956,1.0,22.328531681060806,0.08,"[0.027607090992212306, 0.1790661496180137, 0.08]",0.8999999999999999,"(11.553055044918619, 16.6083369803688, 14.08069601264371)",42.29809116922998,14.08069601264371,1.0,8.936560343416694,0.94,"[0.8484674369723397, 0.9828133509288488, 0.94]",0.8999999999999999,"(10.495576116300107, 13.975199496553014, 12.23538780642656)",29.840505813950678,12.23538780642656,1.0,6.151163220380217,1.0,"[0.9512415405559287, 0.9999902283366982, 1.0]",0.8999999999999999,"(10.617566024440729, 13.219168669436824, 11.918367346938776)",inf,11.918367346938776,5.0,4.552804628743167,0.98,"[0.910319648943036, 0.9978335058247063, 0.98]",0.8999999999999999,"(30.739857792883313, 49.27693331814923, 40.00839555551627)",inf,40.00839555551627,3.9681825142268368,20.72508048927111,0.08,"[0.027607090992212306, 0.1790661496180137, 0.08]",0.8999999999999999
