trial,plan iters,plan time,best cost
0,50,1.9368321895599365,28.0
0,200,7.687280178070068,11.0
0,1200,120,11.0
1,50,1.7600889205932617,46.0
1,400,14.882080078125,25.0
1,1200,120,25.0
2,40,1.2561686038970947,8.0
2,1130,44.39674425125122,7.0
2,1200,120,7.0
3,140,6.471575975418091,5.0
3,1200,120,5.0
4,520,19.508381605148315,46.0
4,1040,42.104127645492554,26.0
4,1200,120,26.0
5,270,9.208166122436523,36.0
5,540,19.830276489257812,31.0
5,810,31.296544551849365,20.0
5,1200,120,20.0
6,1200,120,inf
7,440,19.363091230392456,42.0
7,580,25.92249369621277,28.0
7,1200,120,28.0
8,900,33.34707236289978,12.0
8,1200,120,12.0
9,290,9.931413173675537,20.0
9,1110,44.79025435447693,14.0
9,1200,120,14.0
10,240,9.002179861068726,68.0
10,320,11.902137756347656,33.0
10,1200,120,33.0
11,80,3.19681453704834,25.0
11,630,24.093634128570557,13.0
11,1200,120,13.0
12,200,7.019508600234985,30.0
12,760,28.570011138916016,26.0
12,1200,120,26.0
13,50,1.3988134860992432,39.0
13,440,15.283589601516724,33.0
13,780,27.99675726890564,27.0
13,940,34.49125123023987,16.0
13,1120,41.73763394355774,7.0
13,1200,120,7.0
14,20,0.4365553855895996,16.0
14,90,2.500638723373413,13.0
14,1200,120,13.0
15,290,10.560267210006714,36.0
15,550,23.507780075073242,25.0
15,1200,120,25.0
16,200,5.895667791366577,14.0
16,1200,120,14.0
17,280,9.826880931854248,36.0
17,360,12.834015369415283,32.0
17,960,36.838000774383545,31.0
17,1200,120,31.0
18,470,18.296658515930176,45.0
18,1040,44.79006385803223,31.0
18,1200,120,31.0
19,100,3.004671335220337,39.0
19,1200,120,39.0
20,1130,41.47801947593689,31.0
20,1170,43.2485146522522,17.0
20,1200,120,17.0
21,40,1.3936519622802734,7.0
21,1200,120,7.0
22,120,4.149293899536133,35.0
22,290,11.156056880950928,18.0
22,1200,120,18.0
23,1200,120,inf
24,310,12.651962280273438,59.0
24,420,17.25977635383606,37.0
24,1200,120,37.0
25,400,14.38280701637268,13.0
25,1200,120,13.0
26,160,6.1872570514678955,37.0
26,720,28.72455668449402,26.0
26,1200,120,26.0
27,140,6.685577392578125,31.0
27,1200,120,31.0
28,30,0.5591189861297607,10.0
28,430,17.763782024383545,7.0
28,1200,120,7.0
29,180,5.673760414123535,18.0
29,1200,120,18.0
30,920,37.02231049537659,12.0
30,1200,120,12.0
31,560,19.94454336166382,51.0
31,1200,120,51.0
32,80,2.718327283859253,37.0
32,920,39.40109157562256,9.0
32,1200,120,9.0
33,610,23.317911386489868,38.0
33,690,26.59054660797119,10.0
33,1200,120,10.0
34,40,0.949052095413208,33.0
34,190,6.226887941360474,20.0
34,1070,42.648029804229736,17.0
34,1200,120,17.0
35,100,3.0701100826263428,56.0
35,150,4.867382049560547,4.0
35,1200,120,4.0
36,760,26.997280836105347,3.0
36,1200,120,3.0
37,560,19.955344200134277,22.0
37,1200,120,22.0
38,690,26.728403329849243,22.0
38,1200,120,22.0
39,360,11.985064029693604,6.0
39,1200,120,6.0
40,190,6.411734342575073,34.0
40,580,21.058643579483032,30.0
40,810,30.415318489074707,19.0
40,1200,120,19.0
41,50,1.630661964416504,51.0
41,310,12.469269752502441,34.0
41,420,16.648736715316772,22.0
41,500,20.080294847488403,18.0
41,1200,120,18.0
42,200,6.475951194763184,33.0
42,1200,120,33.0
43,10,0.29874730110168457,6.0
43,1200,120,6.0
44,1200,120,inf
45,10,0.07767605781555176,20.0
45,150,5.715022087097168,17.0
45,380,14.5071280002594,14.0
45,800,32.630351305007935,11.0
45,1200,120,11.0
46,190,6.724884271621704,44.0
46,260,9.210363864898682,39.0
46,280,9.940078496932983,31.0
46,1000,40.78868269920349,28.0
46,1060,43.72677421569824,21.0
46,1200,120,21.0
47,240,7.86241602897644,45.0
47,410,14.42622709274292,5.0
47,1200,120,5.0
48,520,21.917056560516357,39.0
48,810,35.74403357505798,29.0
48,1080,49.22200965881348,28.0
48,1200,120,28.0
49,460,18.02820873260498,34.0
49,1200,120,34.0
Num trials: 50
Success rate: 0.94
Average cost: 18.829787234042552
Cost STD: 10.87906275088573
Cost CI: 3.173748791326017
