trial,plan iters,plan time,best cost
0,10,0.12804102897644043,2.0
0,1200,120,2.0
1,10,0.08322715759277344,2.0
1,20,0.3451652526855469,1.0
1,1200,120,1.0
2,10,0.014600038528442383,4.0
2,40,0.713507890701294,3.0
2,1200,120,3.0
3,10,0.12810301780700684,4.0
3,1200,120,4.0
4,10,0.11433649063110352,2.0
4,1200,120,2.0
5,10,0.13821840286254883,1.0
5,1200,120,1.0
6,10,0.006966114044189453,1.0
6,1200,120,1.0
7,10,0.012642860412597656,3.0
7,1200,120,3.0
8,10,0.012013912200927734,3.0
8,1200,120,3.0
9,10,0.012779474258422852,3.0
9,1200,120,3.0
10,10,0.07098937034606934,14.0
10,20,0.13078570365905762,4.0
10,1200,120,4.0
11,10,0.058303117752075195,4.0
11,1200,120,4.0
12,10,0.07596826553344727,2.0
12,1200,120,2.0
13,10,0.03206062316894531,3.0
13,1200,120,3.0
14,10,0.007421016693115234,1.0
14,1200,120,1.0
15,10,0.010236501693725586,2.0
15,1200,120,2.0
16,10,0.1377251148223877,24.0
16,20,0.15096545219421387,16.0
16,220,5.77386736869812,2.0
16,1200,120,2.0
17,10,0.08852624893188477,3.0
17,1200,120,3.0
18,10,0.039254188537597656,2.0
18,1200,120,2.0
19,10,0.02417159080505371,3.0
19,1200,120,3.0
20,10,0.27403926849365234,16.0
20,20,0.3631463050842285,1.0
20,1200,120,1.0
21,10,0.012113571166992188,3.0
21,1200,120,3.0
22,10,0.05518150329589844,2.0
22,1200,120,2.0
23,10,0.20691204071044922,30.0
23,20,0.3779754638671875,18.0
23,30,0.48290038108825684,3.0
23,1200,120,3.0
24,10,0.03509950637817383,1.0
24,1200,120,1.0
25,10,0.13622665405273438,4.0
25,50,1.5538311004638672,3.0
25,1200,120,3.0
26,10,0.0548090934753418,4.0
26,1200,120,4.0
27,10,0.025113344192504883,3.0
27,1200,120,3.0
28,10,0.021625995635986328,3.0
28,1200,120,3.0
29,10,0.012499570846557617,3.0
29,860,29.853503465652466,2.0
29,1200,120,2.0
30,10,0.01779651641845703,4.0
30,1200,120,4.0
31,10,0.08232355117797852,3.0
31,1200,120,3.0
32,10,0.014354705810546875,4.0
32,1200,120,4.0
33,10,0.0257568359375,2.0
33,1200,120,2.0
34,10,0.057623863220214844,4.0
34,1200,120,4.0
35,10,0.012637853622436523,3.0
35,1200,120,3.0
36,10,0.01911139488220215,2.0
36,1200,120,2.0
37,10,0.12438535690307617,6.0
37,20,0.19147539138793945,3.0
37,1200,120,3.0
38,10,0.009279727935791016,2.0
38,1200,120,2.0
39,10,0.035362958908081055,3.0
39,1200,120,3.0
40,10,0.1396331787109375,31.0
40,20,0.18983840942382812,6.0
40,90,2.4200849533081055,4.0
40,1200,120,4.0
41,10,0.00939488410949707,2.0
41,1200,120,2.0
42,10,0.11381816864013672,3.0
42,1200,120,3.0
43,10,0.1097867488861084,4.0
43,30,0.36927151679992676,3.0
43,1200,120,3.0
44,10,0.012612342834472656,3.0
44,1200,120,3.0
45,20,0.3222837448120117,16.0
45,30,0.4054255485534668,6.0
45,40,0.4953024387359619,2.0
45,1200,120,2.0
46,10,0.03675127029418945,3.0
46,1200,120,3.0
47,10,0.13248229026794434,11.0
47,20,0.1402294635772705,1.0
47,1200,120,1.0
48,10,0.060897111892700195,17.0
48,20,0.15534615516662598,3.0
48,1200,120,3.0
49,10,0.2588615417480469,30.0
49,20,0.35967230796813965,3.0
49,1200,120,3.0
Num trials: 50
Success rate: 1.0
Average cost: 2.62
Cost STD: 0.9141115905621151
Cost CI: 0.258549801779077
