trial,plan iters,plan time,best cost
0,10,0.009003162384033203,2.0
0,1200,120,2.0
1,10,0.005075931549072266,1.0
1,1200,120,1.0
2,10,0.02672600746154785,3.0
2,1200,120,3.0
3,10,0.05740833282470703,13.0
3,20,0.22057175636291504,4.0
3,70,1.2025537490844727,3.0
3,1200,120,3.0
4,10,0.008131265640258789,2.0
4,1200,120,2.0
5,10,0.0161440372467041,6.0
5,20,0.24129748344421387,3.0
5,1200,120,3.0
6,10,0.011440753936767578,2.0
6,1200,120,2.0
7,10,0.0261993408203125,3.0
7,1200,120,3.0
8,10,0.014409780502319336,4.0
8,1200,120,4.0
9,10,0.020625591278076172,3.0
9,1200,120,3.0
10,10,0.06180214881896973,4.0
10,1200,120,4.0
11,10,0.1383650302886963,3.0
11,1200,120,3.0
12,20,0.3434309959411621,3.0
12,1200,120,3.0
13,10,0.01057577133178711,3.0
13,1200,120,3.0
14,10,0.10076355934143066,15.0
14,70,1.5318336486816406,3.0
14,1200,120,3.0
15,10,0.11985397338867188,17.0
15,20,0.17856097221374512,4.0
15,1200,120,4.0
16,10,0.010932683944702148,3.0
16,1200,120,3.0
17,10,0.023862361907958984,3.0
17,1200,120,3.0
18,10,0.18132901191711426,26.0
18,20,0.32082509994506836,12.0
18,50,0.7677831649780273,3.0
18,1200,120,3.0
19,10,0.21425890922546387,46.0
19,20,0.435530424118042,33.0
19,30,0.4941213130950928,13.0
19,50,1.080397129058838,3.0
19,1200,120,3.0
20,10,0.0077855587005615234,2.0
20,1200,120,2.0
21,10,0.34262752532958984,4.0
21,1200,120,4.0
22,10,0.11730384826660156,3.0
22,1200,120,3.0
23,10,0.15604186058044434,18.0
23,20,0.2608041763305664,2.0
23,1200,120,2.0
24,10,0.060099124908447266,3.0
24,1200,120,3.0
25,10,0.09450149536132812,3.0
25,1200,120,3.0
26,10,0.039162635803222656,9.0
26,20,0.047106266021728516,2.0
26,1200,120,2.0
27,10,0.4957082271575928,32.0
27,20,0.5340468883514404,31.0
27,30,0.8454782962799072,20.0
27,40,0.8637516498565674,3.0
27,1200,120,3.0
28,10,0.012820720672607422,2.0
28,1200,120,2.0
29,10,0.0827786922454834,2.0
29,1200,120,2.0
30,10,0.08674407005310059,12.0
30,50,1.279653787612915,2.0
30,1200,120,2.0
31,10,0.008401155471801758,2.0
31,1200,120,2.0
32,10,0.25639963150024414,45.0
32,20,0.2708313465118408,28.0
32,30,0.4964156150817871,6.0
32,60,0.982060432434082,2.0
32,1200,120,2.0
33,10,0.014807462692260742,4.0
33,1200,120,4.0
34,10,0.01029515266418457,3.0
34,1200,120,3.0
35,10,0.1301107406616211,4.0
35,1200,120,4.0
36,10,0.02200150489807129,4.0
36,20,0.08249497413635254,1.0
36,1200,120,1.0
37,10,0.21305608749389648,4.0
37,1200,120,4.0
38,10,0.17075204849243164,36.0
38,20,0.19698286056518555,15.0
38,30,0.25411295890808105,9.0
38,60,0.8873016834259033,3.0
38,1200,120,3.0
39,10,0.027849912643432617,11.0
39,30,0.25376152992248535,2.0
39,1200,120,2.0
40,10,0.11219644546508789,3.0
40,1200,120,3.0
41,10,0.04987382888793945,30.0
41,40,0.6508073806762695,2.0
41,1200,120,2.0
42,10,0.04939675331115723,2.0
42,1200,120,2.0
43,10,0.07936716079711914,30.0
43,20,0.3190944194793701,4.0
43,1200,120,4.0
44,10,0.042584896087646484,2.0
44,1200,120,2.0
45,10,0.14093971252441406,21.0
45,30,0.6574885845184326,4.0
45,1200,120,4.0
46,10,0.01141667366027832,3.0
46,1200,120,3.0
47,10,0.010895967483520508,3.0
47,1200,120,3.0
48,10,0.012610435485839844,3.0
48,1200,120,3.0
49,10,0.01622605323791504,7.0
49,20,0.16105103492736816,4.0
49,1200,120,4.0
Num trials: 50
Success rate: 1.0
Average cost: 2.82
Cost STD: 0.7922120928135343
Cost CI: 0.22407141718657467
