trial,plan iters,plan time,best cost
0,10,0.01149749755859375,3.0
0,1200,120,3.0
1,10,0.008343935012817383,2.0
1,1200,120,2.0
2,10,0.0051844120025634766,1.0
2,1200,120,1.0
3,10,0.011953115463256836,3.0
3,1200,120,3.0
4,10,0.007844924926757812,2.0
4,1200,120,2.0
5,10,0.0052738189697265625,1.0
5,1200,120,1.0
6,10,0.010918378829956055,3.0
6,1200,120,3.0
7,10,0.013296365737915039,4.0
7,1200,120,4.0
8,10,0.013275146484375,4.0
8,1200,120,4.0
9,10,0.013943910598754883,4.0
9,1200,120,4.0
10,10,0.0076558589935302734,2.0
10,1200,120,2.0
11,10,0.010985136032104492,3.0
11,1200,120,3.0
12,10,0.014318704605102539,4.0
12,1200,120,4.0
13,10,0.008501768112182617,2.0
13,1200,120,2.0
14,10,0.0052471160888671875,1.0
14,1200,120,1.0
15,10,0.01358795166015625,4.0
15,1200,120,4.0
16,10,0.013179779052734375,4.0
16,1200,120,4.0
17,10,0.011245965957641602,3.0
17,1200,120,3.0
18,10,0.01458120346069336,4.0
18,1200,120,4.0
19,10,0.015098810195922852,4.0
19,1200,120,4.0
20,10,0.010571718215942383,3.0
20,1200,120,3.0
21,10,0.010851621627807617,3.0
21,1200,120,3.0
22,10,0.013896942138671875,4.0
22,1200,120,4.0
23,10,0.00792694091796875,2.0
23,1200,120,2.0
24,10,0.015172719955444336,4.0
24,1200,120,4.0
25,10,0.012271642684936523,3.0
25,1200,120,3.0
26,10,0.011460304260253906,3.0
26,1200,120,3.0
27,10,0.007853031158447266,2.0
27,1200,120,2.0
28,10,0.010861873626708984,3.0
28,1200,120,3.0
29,10,0.01481008529663086,3.0
29,1200,120,3.0
30,10,0.015442609786987305,4.0
30,1200,120,4.0
31,10,0.007524728775024414,2.0
31,1200,120,2.0
32,10,0.01641845703125,3.0
32,1200,120,3.0
33,10,0.010954141616821289,3.0
33,1200,120,3.0
34,10,0.013692855834960938,4.0
34,1200,120,4.0
35,10,0.005373716354370117,1.0
35,1200,120,1.0
36,10,0.010658740997314453,3.0
36,1200,120,3.0
37,10,0.008126974105834961,2.0
37,1200,120,2.0
38,10,0.008126020431518555,2.0
38,1200,120,2.0
39,10,0.004998683929443359,1.0
39,1200,120,1.0
40,10,0.014149665832519531,4.0
40,1200,120,4.0
41,10,0.007991313934326172,2.0
41,1200,120,2.0
42,10,0.007795810699462891,2.0
42,1200,120,2.0
43,10,0.013938426971435547,3.0
43,1200,120,3.0
44,10,0.014388799667358398,4.0
44,1200,120,4.0
45,10,0.010596990585327148,3.0
45,1200,120,3.0
46,10,0.007990837097167969,2.0
46,1200,120,2.0
47,10,0.007720470428466797,2.0
47,1200,120,2.0
48,10,0.007027626037597656,2.0
48,1200,120,2.0
49,10,0.008246421813964844,2.0
49,1200,120,2.0
Num trials: 50
Success rate: 1.0
Average cost: 2.78
Cost STD: 0.9651942809610923
Cost CI: 0.27299816849202485
