trial,plan iters,plan time,best cost
0,2840,120,inf
1,2950,120,inf
2,2890,120,inf
3,950,41.62319731712341,14.0
3,950,120,14.0
4,2880,120,inf
5,1420,58.95045304298401,21.0
5,1420,120,21.0
6,230,10.999285697937012,25.0
6,230,120,25.0
7,210,9.322586297988892,13.0
7,210,120,13.0
8,950,47.332749366760254,20.0
8,950,120,20.0
9,2860,120,inf
10,2930,120,inf
11,2780,120,inf
12,1650,73.33709383010864,13.0
12,1650,120,13.0
13,2770,120,inf
14,290,11.648919343948364,21.0
14,290,120,21.0
15,460,21.361733436584473,17.0
15,460,120,17.0
16,1390,56.0133855342865,71.0
16,1390,120,71.0
17,2590,120,inf
18,2670,120,inf
19,2650,120,inf
