gradient_descent_sst best cost max,gradient_descent_sst best cost mean,gradient_descent_sst best cost min,gradient_descent_sst best cost std,gradient_descent_sst success fraction,gradient_descent_sst time,policy_guided_gradient_descent_sst best cost max,policy_guided_gradient_descent_sst best cost mean,policy_guided_gradient_descent_sst best cost min,policy_guided_gradient_descent_sst best cost std,policy_guided_gradient_descent_sst success fraction,policy_guided_gradient_descent_sst time,policy_guided_sst best cost max,policy_guided_sst best cost mean,policy_guided_sst best cost min,policy_guided_sst best cost std,policy_guided_sst success fraction,policy_guided_sst time,rl best cost max,rl best cost mean,rl best cost min,rl best cost std,rl success fraction,rl time,rl_rrt best cost max,rl_rrt best cost mean,rl_rrt best cost min,rl_rrt best cost std,rl_rrt success fraction,rl_rrt time,stable_sparse_rrt best cost max,stable_sparse_rrt best cost mean,stable_sparse_rrt best cost min,stable_sparse_rrt best cost std,stable_sparse_rrt success fraction,stable_sparse_rrt time
inf,30.170212765957448,3.0,15.671249117122121,0.0,0,31.0,6.1,1.0,7.702596964660685,0.0,0,46.0,9.38,1.0,11.584282455119952,0.0,0,4.0,2.78,1.0,0.9651942809610923,0.0,0,inf,23.88888888888889,13.0,17.110389595177708,0.0,0,inf,27.717391304347824,3.0,14.654963610057116,0.0,0
inf,30.169959999412256,3.0,15.671413248618418,0.02,0.1,31.0,5.88326248706647,1.0,7.5091264069228325,0.7,0.1,46.0,8.92478334326404,1.0,11.509855560914431,0.68,0.1,4.0,2.78,1.0,0.9651942809610923,1.0,0.1,inf,23.88888888888889,13.0,17.110389595177708,0.0,0.1,inf,27.717391304347824,3.0,14.654963610057116,0.0,0.1
inf,30.1688277327942,3.0,15.67215075531731,0.02,0.2,30.0,4.675175864285741,1.0,6.117913283767721,0.92,0.2,46.0,7.442375723868984,1.0,10.190300868864108,0.88,0.2,4.0,2.78,1.0,0.9651942809610923,1.0,0.2,inf,23.88888888888889,13.0,17.110389595177708,0.0,0.2,inf,27.717391304347824,3.0,14.654963610057116,0.0,0.2
inf,30.16769546617614,3.0,15.672891990068736,0.04,0.30000000000000004,23.469933602047128,4.210354914553784,1.0,4.591552779629226,0.98,0.30000000000000004,40.96259525040944,5.9483121852289536,1.0,7.858467762906019,0.94,0.30000000000000004,4.0,2.78,1.0,0.9651942809610923,1.0,0.30000000000000004,inf,23.88888888888889,13.0,17.110389595177708,0.0,0.30000000000000004,inf,27.717391304347824,3.0,14.654963610057116,0.02,0.30000000000000004
inf,30.166563199558077,3.0,15.673636952343783,0.04,0.4,15.379949406720442,3.2988989872775742,1.0,2.66968650612531,1.0,0.4,35.08746034824584,5.307121370811874,1.0,6.631422102525757,0.98,0.4,4.0,2.78,1.0,0.9651942809610923,1.0,0.4,inf,23.88888888888889,13.0,17.110389595177708,0.0,0.4,inf,27.689819183030924,3.0,14.644306699128439,0.06,0.4
inf,30.163468969406455,3.0,15.676164276621915,0.06,0.5,15.130967649473206,2.957707331071141,1.0,2.0056204779363425,1.0,0.5,31.888056267257035,4.418672828156933,1.0,4.675104870186291,1.0,0.5,4.0,2.78,1.0,0.9651942809610923,1.0,0.5,inf,23.88888888888889,13.0,17.110389595177708,0.0,0.5,inf,27.6540476948627,3.0,14.63395335401152,0.06,0.5
inf,30.159092629479094,3.0,15.679937102693701,0.08,0.6,14.881985892225968,2.946594712008692,1.0,1.9720388208415236,1.0,0.6,28.670484704931262,4.0499279957551195,1.0,4.042681488281718,1.0,0.6,4.0,2.78,1.0,0.9651942809610923,1.0,0.6,inf,23.88888888888889,13.0,17.110389595177708,0.0,0.6,inf,27.61827620669448,3.0,14.62752975657719,0.06,0.6
inf,30.154496956438503,3.0,15.684022494501091,0.08,0.7,14.633004134978732,2.9354820929462435,1.0,1.9387969110664907,1.0,0.7,25.13840678344988,3.748716454987474,1.0,3.480664846255415,1.0,0.7,4.0,2.78,1.0,0.9651942809610923,1.0,0.7,inf,23.88888888888889,13.0,17.110389595177708,0.0,0.7,inf,27.607131759907286,3.0,14.626332273951911,0.08,0.7
inf,30.149901283397917,3.0,15.688138378994232,0.08,0.7999999999999999,14.384022377731494,2.9268445386303075,1.0,1.905928779771125,1.0,0.7999999999999999,21.606328861968493,3.5456657327375605,1.0,2.9430198637618177,1.0,0.7999999999999999,4.0,2.78,1.0,0.9651942809610923,1.0,0.7999999999999999,inf,23.88888888888889,13.0,17.110389595177708,0.0,0.7999999999999999,inf,27.604995801164286,3.0,14.626146388981166,0.08,0.7999999999999999
inf,30.145305610357326,3.0,15.692284732179612,0.08,0.8999999999999999,14.135040620484258,2.918593527137128,1.0,1.8732639288983286,1.0,0.8999999999999999,8.298135877939664,3.07083433312984,1.0,1.2103798010373956,1.0,0.8999999999999999,4.0,2.78,1.0,0.9651942809610923,1.0,0.8999999999999999,inf,23.88888888888889,13.0,17.110389595177708,0.0,0.8999999999999999,inf,27.60285984242129,3.0,14.625974538626267,0.08,0.8999999999999999
inf,30.13803990853592,3.0,15.695985592594758,0.1,0.9999999999999999,13.886058863237022,2.9103425156439493,1.0,1.8407975623531645,1.0,0.9999999999999999,7.459602525213905,2.987629835070361,1.0,1.0546147079590582,1.0,0.9999999999999999,4.0,2.78,1.0,0.9651942809610923,1.0,0.9999999999999999,inf,23.88888888888889,13.0,17.110389595177708,0.0,0.9999999999999999,inf,27.600723883678285,3.0,14.62581672338193,0.08,0.9999999999999999
inf,30.12820353167743,3.0,15.699317403260313,0.1,1.0999999999999999,13.637077105989784,2.902091504150771,1.0,1.808540369558031,1.0,1.0999999999999999,6.621069172488145,2.9246303584059574,1.0,0.9496848847325717,1.0,1.0999999999999999,4.0,2.78,1.0,0.9651942809610923,1.0,1.0999999999999999,inf,23.88888888888889,13.0,17.110389595177708,0.0,1.0999999999999999,inf,27.598587924935284,3.0,14.625672943702488,0.08,1.0999999999999999
inf,30.118367154818944,3.0,15.702757423463739,0.1,1.2,13.388095348742546,2.893840492657591,1.0,1.77650374488174,1.0,1.2,5.7825358197623835,2.8890572660029203,1.0,0.8858611998574343,1.0,1.2,4.0,2.78,1.0,0.9651942809610923,1.0,1.2,inf,23.88888888888889,13.0,17.110389595177708,0.0,1.2,inf,27.594901137137047,3.0,14.625822213797232,0.1,1.2
