trial,plan iters,plan time,best cost
0,3000,300,inf
1,210,15.21319842338562,43.0
1,580,44.605008125305176,36.0
1,3000,300,36.0
2,10,0.14572572708129883,21.0
2,1470,83.49974155426025,20.0
2,3000,300,20.0
3,3000,300,inf
4,3000,300,inf
5,3000,300,inf
6,3000,300,inf
7,2240,175.38501739501953,60.0
7,2870,237.15747237205505,51.0
7,3000,300,51.0
8,3000,300,inf
9,3000,300,inf
10,340,16.002885341644287,45.0
10,430,20.37969970703125,42.0
10,460,21.796417951583862,9.0
10,3000,300,9.0
11,3000,300,inf
12,3000,300,inf
13,3000,300,inf
14,3000,300,inf
15,3000,300,inf
16,1150,79.13699984550476,32.0
16,2420,190.56677174568176,25.0
16,3000,300,25.0
17,570,36.07354474067688,31.0
17,1090,74.76269292831421,17.0
17,3000,300,17.0
18,3000,300,inf
19,3000,300,inf
20,3000,300,inf
21,3000,300,inf
22,3000,300,inf
23,2440,156.73314499855042,49.0
23,3000,300,49.0
24,3000,300,inf
25,550,27.128253698349,36.0
25,1070,58.755552768707275,25.0
25,1160,64.12972068786621,7.0
25,3000,300,7.0
26,3000,300,inf
27,580,46.74176812171936,43.0
27,3000,300,43.0
28,3000,300,inf
29,740,37.22983479499817,92.0
29,1140,60.93396997451782,38.0
29,2160,135.24180221557617,30.0
29,3000,300,30.0
30,310,14.084280967712402,24.0
30,1540,88.33767127990723,16.0
30,3000,300,16.0
31,3000,300,inf
32,3000,300,inf
33,3000,300,inf
34,3000,300,inf
35,3000,300,inf
36,3000,300,inf
37,3000,300,inf
38,3000,300,inf
39,3000,300,inf
40,3000,300,inf
41,3000,300,inf
42,920,68.19353652000427,59.0
42,3000,300,59.0
43,3000,300,inf
44,3000,300,inf
45,3000,300,inf
46,3000,300,inf
47,3000,300,inf
48,3000,300,inf
49,3000,300,inf
Num trials: 50
Success rate: 0.24
Average cost: 30.166666666666668
Cost STD: 16.602376001310443
Cost CI: 9.585386253543968
