trial,plan iters,plan time,best cost
0,3000,300,inf
1,730,48.27316188812256,63.0
1,840,56.1758828163147,59.0
1,3000,300,59.0
2,3000,300,inf
3,10,0.11830711364746094,3.0
3,3000,300,3.0
4,1310,131.86471676826477,35.0
4,3000,300,35.0
5,70,5.78945255279541,36.0
5,3000,300,36.0
6,3000,300,inf
7,3000,300,inf
8,3000,300,inf
9,3000,300,inf
10,3000,300,inf
11,20,1.1674613952636719,8.0
11,3000,300,8.0
12,10,0.5552186965942383,38.0
12,3000,300,38.0
13,250,20.635001182556152,49.0
13,3000,300,49.0
14,3000,300,inf
15,580,51.93102765083313,42.0
15,3000,300,42.0
16,3000,300,inf
17,10,0.053153038024902344,11.0
17,170,9.662317991256714,10.0
17,230,13.283090591430664,9.0
17,3000,300,9.0
18,3000,300,inf
19,3000,300,inf
20,10,0.0682380199432373,13.0
20,20,0.7940852642059326,11.0
20,70,2.9840152263641357,7.0
20,3000,300,7.0
21,3000,300,inf
22,3000,300,inf
23,30,1.4558727741241455,14.0
23,470,27.718724012374878,11.0
23,3000,300,11.0
24,2890,270.0822274684906,34.0
24,3000,300,34.0
25,1420,108.38522362709045,49.0
25,3000,300,49.0
26,590,37.6121506690979,25.0
26,3000,300,25.0
27,3000,300,inf
28,50,2.144615411758423,28.0
28,250,12.602298974990845,6.0
28,3000,300,6.0
29,2830,304.335725069046,37.0
29,3000,300,37.0
30,3000,300,inf
31,590,54.40785765647888,51.0
31,2420,261.1805567741394,44.0
31,3000,300,44.0
32,3000,300,inf
33,3000,300,inf
34,260,21.290969133377075,40.0
34,3000,300,40.0
35,3000,300,inf
36,440,26.96217107772827,57.0
36,880,58.31755352020264,31.0
36,3000,300,31.0
37,230,14.299554347991943,53.0
37,390,24.328912496566772,34.0
37,1720,128.40173435211182,15.0
37,3000,300,15.0
38,3000,300,inf
39,3000,300,inf
40,3000,300,inf
41,3000,300,inf
42,3000,300,inf
43,3000,300,inf
44,3000,300,inf
45,80,6.561453342437744,29.0
45,3000,300,29.0
46,570,38.883625507354736,55.0
46,680,47.26332354545593,39.0
46,850,60.19794774055481,13.0
46,3000,300,13.0
47,150,8.158602476119995,42.0
47,1630,118.82592535018921,30.0
47,3000,300,30.0
48,10,0.04535651206970215,8.0
48,3000,300,8.0
49,3000,300,inf
Num trials: 50
Success rate: 0.48
Average cost: 27.416666666666668
Cost STD: 16.043993337764206
Cost CI: 6.5499328523558455
