trial,plan iters,plan time,best cost
0,3000,300,inf
1,3000,300,inf
2,10,0.007112741470336914,1.0
2,3000,300,1.0
3,3000,300,inf
4,3000,300,inf
5,3000,300,inf
6,3000,300,inf
7,3000,300,inf
8,3000,300,inf
9,3000,300,inf
10,3000,300,inf
11,3000,300,inf
12,3000,300,inf
13,3000,300,inf
14,10,0.03350639343261719,9.0
14,3000,300,9.0
15,3000,300,inf
16,10,0.006970643997192383,1.0
16,3000,300,1.0
17,3000,300,inf
18,3000,300,inf
19,3000,300,inf
20,3000,300,inf
21,3000,300,inf
22,3000,300,inf
23,3000,300,inf
24,3000,300,inf
25,3000,300,inf
26,10,0.0581817626953125,11.0
26,3000,300,11.0
27,3000,300,inf
28,3000,300,inf
29,3000,300,inf
30,3000,300,inf
31,3000,300,inf
32,3000,300,inf
33,3000,300,inf
34,3000,300,inf
35,10,0.02115607261657715,4.0
35,3000,300,4.0
36,3000,300,inf
37,3000,300,inf
38,3000,300,inf
39,3000,300,inf
40,3000,300,inf
41,3000,300,inf
42,3000,300,inf
43,3000,300,inf
44,3000,300,inf
45,3000,300,inf
46,10,0.04728055000305176,13.0
46,3000,300,13.0
47,3000,300,inf
48,3000,300,inf
49,10,0.022861003875732422,5.0
49,3000,300,5.0
50,3000,300,inf
51,3000,300,inf
52,3000,300,inf
53,3000,300,inf
54,3000,300,inf
55,3000,300,inf
56,3000,300,inf
57,3000,300,inf
58,3000,300,inf
59,10,0.03540635108947754,9.0
59,3000,300,9.0
60,3000,300,inf
61,3000,300,inf
62,20,0.7742211818695068,199.0
62,3000,300,199.0
63,3000,300,inf
64,3000,300,inf
65,3000,300,inf
66,3000,300,inf
67,3000,300,inf
68,10,0.0164949893951416,3.0
68,3000,300,3.0
69,3000,300,inf
70,3000,300,inf
71,3000,300,inf
72,3000,300,inf
73,10,0.0344395637512207,9.0
73,3000,300,9.0
74,3000,300,inf
75,3000,300,inf
76,3000,300,inf
77,3000,300,inf
78,10,0.10093331336975098,24.0
78,3000,300,24.0
79,3000,300,inf
80,3000,300,inf
81,10,0.03520679473876953,8.0
81,3000,300,8.0
82,3000,300,inf
83,3000,300,inf
84,3000,300,inf
85,3000,300,inf
86,3000,300,inf
87,3000,300,inf
88,3000,300,inf
89,3000,300,inf
90,3000,300,inf
91,3000,300,inf
92,10,0.042389631271362305,11.0
92,3000,300,11.0
93,3000,300,inf
94,10,0.03982281684875488,10.0
94,3000,300,10.0
95,3000,300,inf
96,3000,300,inf
97,10,0.030217885971069336,8.0
97,3000,300,8.0
98,3000,300,inf
99,3000,300,inf
100,10,0.03170442581176758,8.0
100,3000,300,8.0
101,10,0.05143451690673828,14.0
101,3000,300,14.0
102,3000,300,inf
103,3000,300,inf
104,3000,300,inf
105,3000,300,inf
106,10,0.0071256160736083984,1.0
106,3000,300,1.0
107,3000,300,inf
108,3000,300,inf
109,3000,300,inf
110,3000,300,inf
111,3000,300,inf
112,3000,300,inf
113,3000,300,inf
114,3000,300,inf
115,3000,300,inf
116,3000,300,inf
117,3000,300,inf
118,3000,300,inf
119,10,0.028552532196044922,7.0
119,3000,300,7.0
120,3000,300,inf
121,3000,300,inf
122,3000,300,inf
123,3000,300,inf
124,3000,300,inf
125,10,0.059410810470581055,14.0
125,3000,300,14.0
126,3000,300,inf
127,3000,300,inf
128,3000,300,inf
129,3000,300,inf
130,10,0.05099344253540039,12.0
130,3000,300,12.0
131,3000,300,inf
132,3000,300,inf
133,3000,300,inf
134,3000,300,inf
135,3000,300,inf
136,3000,300,inf
137,3000,300,inf
138,3000,300,inf
139,3000,300,inf
140,3000,300,inf
141,3000,300,inf
142,3000,300,inf
143,3000,300,inf
144,3000,300,inf
145,3000,300,inf
146,3000,300,inf
147,3000,300,inf
148,3000,300,inf
149,3000,300,inf
150,3000,300,inf
151,3000,300,inf
152,3000,300,inf
153,3000,300,inf
154,3000,300,inf
155,3000,300,inf
156,3000,300,inf
157,3000,300,inf
158,3000,300,inf
159,3000,300,inf
160,3000,300,inf
161,3000,300,inf
162,3000,300,inf
163,3000,300,inf
164,3000,300,inf
165,10,0.0937814712524414,20.0
165,3000,300,20.0
166,3000,300,inf
167,3000,300,inf
168,3000,300,inf
169,3000,300,inf
170,3000,300,inf
171,3000,300,inf
172,3000,300,inf
173,3000,300,inf
174,3000,300,inf
175,3000,300,inf
176,3000,300,inf
177,3000,300,inf
178,3000,300,inf
179,3000,300,inf
180,3000,300,inf
181,3000,300,inf
182,3000,300,inf
183,3000,300,inf
184,3000,300,inf
185,3000,300,inf
186,3000,300,inf
187,10,0.007139921188354492,1.0
187,3000,300,1.0
188,3000,300,inf
189,3000,300,inf
190,3000,300,inf
191,3000,300,inf
192,3000,300,inf
193,3000,300,inf
194,3000,300,inf
195,3000,300,inf
196,3000,300,inf
197,3000,300,inf
198,3000,300,inf
199,3000,300,inf
200,3000,300,inf
201,3000,300,inf
202,3000,300,inf
203,3000,300,inf
204,3000,300,inf
205,3000,300,inf
206,3000,300,inf
207,3000,300,inf
208,3000,300,inf
209,3000,300,inf
210,3000,300,inf
211,10,0.026777029037475586,7.0
211,3000,300,7.0
212,3000,300,inf
213,3000,300,inf
214,3000,300,inf
215,3000,300,inf
216,3000,300,inf
217,10,0.04006314277648926,9.0
217,3000,300,9.0
218,10,0.03022289276123047,8.0
218,3000,300,8.0
219,3000,300,inf
220,3000,300,inf
221,3000,300,inf
222,3000,300,inf
223,3000,300,inf
224,10,0.031343698501586914,8.0
224,3000,300,8.0
225,3000,300,inf
226,3000,300,inf
227,3000,300,inf
228,3000,300,inf
229,3000,300,inf
230,3000,300,inf
231,3000,300,inf
232,3000,300,inf
233,3000,300,inf
234,3000,300,inf
235,3000,300,inf
236,3000,300,inf
237,3000,300,inf
238,10,0.031815290451049805,8.0
238,3000,300,8.0
239,3000,300,inf
240,3000,300,inf
241,3000,300,inf
242,3000,300,inf
243,3000,300,inf
244,3000,300,inf
245,3000,300,inf
246,3000,300,inf
247,3000,300,inf
248,3000,300,inf
249,3000,300,inf
250,3000,300,inf
251,3000,300,inf
252,3000,300,inf
253,3000,300,inf
254,3000,300,inf
255,3000,300,inf
256,10,0.11919331550598145,30.0
256,3000,300,30.0
257,3000,300,inf
258,3000,300,inf
259,3000,300,inf
260,3000,300,inf
261,3000,300,inf
262,10,0.04854321479797363,9.0
262,3000,300,9.0
263,3000,300,inf
264,3000,300,inf
265,3000,300,inf
266,3000,300,inf
267,10,0.1912674903869629,51.0
267,3000,300,51.0
268,3000,300,inf
269,3000,300,inf
270,10,0.04778790473937988,14.0
270,3000,300,14.0
271,10,0.026929616928100586,7.0
271,3000,300,7.0
272,3000,300,inf
273,3000,300,inf
274,3000,300,inf
275,3000,300,inf
276,3000,300,inf
277,3000,300,inf
278,3000,300,inf
279,10,0.04634261131286621,11.0
279,3000,300,11.0
280,3000,300,inf
281,3000,300,inf
282,3000,300,inf
283,3000,300,inf
284,3000,300,inf
285,3000,300,inf
286,3000,300,inf
287,3000,300,inf
288,3000,300,inf
289,3000,300,inf
290,3000,300,inf
291,3000,300,inf
292,3000,300,inf
293,3000,300,inf
294,3000,300,inf
295,3000,300,inf
296,3000,300,inf
297,3000,300,inf
298,3000,300,inf
299,3000,300,inf
300,3000,300,inf
301,3000,300,inf
302,3000,300,inf
303,3000,300,inf
304,3000,300,inf
305,3000,300,inf
306,3000,300,inf
307,3000,300,inf
308,10,0.058591604232788086,15.0
308,3000,300,15.0
309,3000,300,inf
310,3000,300,inf
311,3000,300,inf
312,3000,300,inf
313,3000,300,inf
314,10,0.030437469482421875,8.0
314,3000,300,8.0
315,3000,300,inf
316,10,0.03584170341491699,8.0
316,3000,300,8.0
317,3000,300,inf
318,3000,300,inf
319,3000,300,inf
320,3000,300,inf
321,3000,300,inf
322,3000,300,inf
323,3000,300,inf
324,3000,300,inf
325,3000,300,inf
326,3000,300,inf
327,3000,300,inf
328,3000,300,inf
329,10,0.038059234619140625,9.0
329,3000,300,9.0
330,3000,300,inf
331,3000,300,inf
332,10,0.1374056339263916,24.0
332,3000,300,24.0
333,3000,300,inf
334,3000,300,inf
335,3000,300,inf
336,3000,300,inf
337,3000,300,inf
338,3000,300,inf
339,3000,300,inf
340,3000,300,inf
341,3000,300,inf
342,3000,300,inf
343,3000,300,inf
344,3000,300,inf
345,3000,300,inf
346,3000,300,inf
347,10,0.025937318801879883,6.0
347,3000,300,6.0
348,3000,300,inf
349,10,0.023954153060913086,6.0
349,3000,300,6.0
350,3000,300,inf
351,10,0.03756070137023926,9.0
351,3000,300,9.0
352,3000,300,inf
353,10,0.034067630767822266,9.0
353,3000,300,9.0
354,3000,300,inf
355,3000,300,inf
356,3000,300,inf
357,3000,300,inf
358,3000,300,inf
359,3000,300,inf
360,3000,300,inf
361,3000,300,inf
362,3000,300,inf
363,3000,300,inf
364,3000,300,inf
365,3000,300,inf
366,3000,300,inf
367,3000,300,inf
368,3000,300,inf
369,3000,300,inf
370,3000,300,inf
371,3000,300,inf
372,3000,300,inf
373,10,0.031127452850341797,8.0
373,3000,300,8.0
374,3000,300,inf
375,10,0.027363300323486328,7.0
375,3000,300,7.0
376,3000,300,inf
377,3000,300,inf
378,3000,300,inf
379,3000,300,inf
380,3000,300,inf
381,10,0.03236532211303711,8.0
381,3000,300,8.0
382,3000,300,inf
383,3000,300,inf
384,3000,300,inf
385,3000,300,inf
386,3000,300,inf
387,3000,300,inf
388,3000,300,inf
389,3000,300,inf
390,3000,300,inf
391,3000,300,inf
392,3000,300,inf
393,3000,300,inf
394,3000,300,inf
395,3000,300,inf
396,3000,300,inf
397,3000,300,inf
398,3000,300,inf
399,3000,300,inf
400,3000,300,inf
401,3000,300,inf
402,3000,300,inf
403,3000,300,inf
404,3000,300,inf
405,3000,300,inf
406,3000,300,inf
407,3000,300,inf
408,3000,300,inf
409,10,0.043485164642333984,11.0
409,3000,300,11.0
410,3000,300,inf
411,3000,300,inf
412,3000,300,inf
413,3000,300,inf
414,3000,300,inf
415,10,0.02598404884338379,5.0
415,3000,300,5.0
416,3000,300,inf
417,3000,300,inf
418,3000,300,inf
419,3000,300,inf
420,3000,300,inf
421,3000,300,inf
422,3000,300,inf
423,3000,300,inf
424,3000,300,inf
425,3000,300,inf
426,3000,300,inf
427,3000,300,inf
428,10,0.04391360282897949,13.0
428,3000,300,13.0
429,3000,300,inf
430,10,0.018673181533813477,4.0
430,3000,300,4.0
431,3000,300,inf
432,3000,300,inf
433,3000,300,inf
434,3000,300,inf
435,3000,300,inf
436,3000,300,inf
437,3000,300,inf
438,3000,300,inf
439,3000,300,inf
440,3000,300,inf
441,3000,300,inf
442,3000,300,inf
443,3000,300,inf
444,3000,300,inf
445,3000,300,inf
446,3000,300,inf
447,3000,300,inf
448,3000,300,inf
449,3000,300,inf
450,3000,300,inf
451,3000,300,inf
452,3000,300,inf
453,3000,300,inf
454,3000,300,inf
455,3000,300,inf
456,3000,300,inf
457,3000,300,inf
458,3000,300,inf
459,3000,300,inf
460,3000,300,inf
461,80,3.2518389225006104,925.0
461,3000,300,925.0
462,3000,300,inf
463,3000,300,inf
464,3000,300,inf
465,3000,300,inf
466,3000,300,inf
467,3000,300,inf
468,3000,300,inf
469,3000,300,inf
470,10,0.04558253288269043,12.0
470,3000,300,12.0
471,3000,300,inf
472,3000,300,inf
473,3000,300,inf
474,3000,300,inf
475,3000,300,inf
476,10,0.07434606552124023,12.0
476,3000,300,12.0
477,3000,300,inf
478,10,0.4036393165588379,116.0
478,3000,300,116.0
479,10,0.020650386810302734,4.0
479,3000,300,4.0
480,3000,300,inf
481,3000,300,inf
482,3000,300,inf
483,3000,300,inf
484,10,0.03519320487976074,9.0
484,3000,300,9.0
485,3000,300,inf
486,3000,300,inf
487,3000,300,inf
488,3000,300,inf
489,3000,300,inf
490,3000,300,inf
