trial,plan iters,plan time,best cost
0,3000,300,inf
1,1560,139.37948632240295,70.0
1,3000,300,70.0
2,3000,300,inf
3,3000,300,inf
4,3000,300,inf
5,3000,300,inf
6,3000,300,inf
7,620,43.928582429885864,84.0
7,700,48.76261234283447,78.0
7,840,59.629366397857666,69.0
7,3000,300,69.0
8,2660,226.79696559906006,53.0
8,3000,300,53.0
9,3000,300,inf
10,740,62.3354377746582,55.0
10,2280,231.21567606925964,48.0
10,3000,300,48.0
11,3000,300,inf
12,3000,300,inf
13,3000,300,inf
14,3000,300,inf
15,3000,300,inf
16,3000,300,inf
17,3000,300,inf
18,3000,300,inf
19,3000,300,inf
20,3000,300,inf
21,3000,300,inf
22,3000,300,inf
23,3000,300,inf
24,3000,300,inf
25,3000,300,inf
26,1180,59.42148947715759,31.0
26,3000,300,31.0
27,3000,300,inf
28,3000,300,inf
29,990,54.61177182197571,32.0
29,3000,300,32.0
30,3000,300,inf
31,3000,300,inf
32,3000,300,inf
33,3000,300,inf
34,2600,204.7176320552826,52.0
34,3000,300,52.0
35,3000,300,inf
36,3000,300,inf
37,1030,52.066662073135376,60.0
37,3000,300,60.0
38,3000,300,inf
39,3000,300,inf
40,3000,300,inf
41,3000,300,inf
42,3000,300,inf
43,3000,300,inf
44,3000,300,inf
45,3000,300,inf
46,3000,300,inf
47,3000,300,inf
48,3000,300,inf
49,3000,300,inf
50,3000,300,inf
51,390,27.861036777496338,46.0
51,3000,300,46.0
52,1650,108.37586641311646,52.0
52,1690,111.4825963973999,49.0
52,3000,300,49.0
53,3000,300,inf
54,3000,300,inf
55,3000,300,inf
56,3000,300,inf
57,3000,300,inf
58,3000,300,inf
59,970,56.56956243515015,29.0
59,980,57.07282257080078,25.0
59,990,57.184046030044556,23.0
59,2060,148.82184767723083,6.0
59,3000,300,6.0
60,3000,300,inf
61,3000,300,inf
62,3000,300,inf
63,3000,300,inf
64,3000,300,inf
65,3000,300,inf
66,470,24.256519317626953,66.0
66,2220,163.43108248710632,28.0
66,3000,300,28.0
67,890,67.98430943489075,20.0
67,3000,300,20.0
68,3000,300,inf
69,3000,300,inf
70,2860,291.44772267341614,48.0
70,3000,300,48.0
71,3000,300,inf
72,3000,300,inf
73,3000,300,inf
74,3000,300,inf
75,3000,300,inf
76,3000,300,inf
77,3000,300,inf
78,2300,234.82517433166504,65.0
78,2880,311.016325712204,41.0
78,3000,300,41.0
79,3000,300,inf
80,3000,300,inf
81,3000,300,inf
82,3000,300,inf
83,410,17.96564817428589,28.0
83,490,21.691413640975952,25.0
83,550,24.342697858810425,14.0
83,1320,71.59935784339905,11.0
83,3000,300,11.0
84,3000,300,inf
85,3000,300,inf
86,3000,300,inf
87,250,15.900815725326538,21.0
87,260,16.19527816772461,20.0
87,3000,300,20.0
88,3000,300,inf
89,1140,106.89575219154358,71.0
89,1420,137.1601893901825,63.0
89,1490,145.40418672561646,61.0
89,3000,300,61.0
90,3000,300,inf
91,10,0.049660682678222656,20.0
91,20,0.0802757740020752,11.0
91,40,0.5841042995452881,7.0
91,210,6.648072242736816,4.0
91,1500,78.13555860519409,3.0
91,3000,300,3.0
92,160,10.066324710845947,61.0
92,210,12.451385021209717,56.0
92,300,18.417069673538208,55.0
92,330,20.339449405670166,54.0
92,3000,300,54.0
93,3000,300,inf
94,3000,300,inf
95,3000,300,inf
96,3000,300,inf
97,3000,300,inf
98,3000,300,inf
99,3000,300,inf
100,3000,300,inf
101,3000,300,inf
102,1520,89.73049807548523,43.0
102,3000,300,43.0
103,3000,300,inf
104,3000,300,inf
105,3000,300,inf
106,2460,181.04998135566711,28.0
106,3000,300,28.0
107,1240,72.75695610046387,26.0
107,3000,300,26.0
108,3000,300,inf
109,3000,300,inf
110,2810,188.21103072166443,13.0
110,3000,300,13.0
111,20,1.6758627891540527,23.0
111,120,9.172083377838135,19.0
111,3000,300,19.0
112,120,7.18084192276001,21.0
112,3000,300,21.0
113,3000,300,inf
114,2060,133.3368546962738,49.0
114,3000,300,49.0
115,3000,300,inf
116,1580,115.87819623947144,79.0
116,3000,300,79.0
117,3000,300,inf
118,3000,300,inf
119,3000,300,inf
120,3000,300,inf
121,3000,300,inf
122,3000,300,inf
123,70,3.8548054695129395,21.0
123,1380,87.97894477844238,20.0
123,2350,180.1264729499817,16.0
123,3000,300,16.0
124,890,71.87306833267212,76.0
124,1500,123.47556400299072,34.0
124,3000,300,34.0
125,3000,300,inf
126,3000,300,inf
127,3000,300,inf
128,3000,300,inf
129,3000,300,inf
130,3000,300,inf
131,3000,300,inf
132,3000,300,inf
133,3000,300,inf
134,3000,300,inf
135,1670,130.29448795318604,52.0
135,3000,300,52.0
136,1090,89.8697943687439,41.0
136,3000,300,41.0
137,310,12.497835397720337,47.0
137,320,13.148393869400024,30.0
137,800,39.87137150764465,16.0
137,1370,78.4004225730896,13.0
137,3000,300,13.0
138,210,13.32941222190857,39.0
138,410,25.00203776359558,37.0
138,440,26.55767321586609,35.0
138,580,37.75558662414551,29.0
138,1050,69.608393907547,22.0
138,2440,198.91831183433533,19.0
138,3000,300,19.0
139,3000,300,inf
140,3000,300,inf
141,3000,300,inf
142,3000,300,inf
143,3000,300,inf
144,3000,300,inf
145,3000,300,inf
146,390,20.27192234992981,47.0
146,3000,300,47.0
147,3000,300,inf
148,3000,300,inf
149,3000,300,inf
150,3000,300,inf
151,2300,210.5845489501953,59.0
151,3000,300,59.0
152,3000,300,inf
153,3000,300,inf
154,310,13.303219556808472,81.0
154,340,14.371627807617188,38.0
154,2520,173.415696144104,29.0
154,3000,300,29.0
155,930,46.48093366622925,39.0
155,3000,300,39.0
156,3000,300,inf
157,3000,300,inf
158,3000,300,inf
159,3000,300,inf
160,3000,300,inf
161,3000,300,inf
162,3000,300,inf
163,3000,300,inf
164,3000,300,inf
165,3000,300,inf
166,1380,112.89505934715271,63.0
166,3000,300,63.0
167,3000,300,inf
168,3000,300,inf
169,3000,300,inf
170,3000,300,inf
171,30,2.75119948387146,42.0
171,40,3.03025484085083,33.0
171,100,5.570178508758545,25.0
171,1560,112.24511694908142,15.0
171,3000,300,15.0
172,40,1.063988447189331,59.0
172,80,2.3633055686950684,33.0
172,1210,61.12709951400757,29.0
172,1500,80.7197048664093,19.0
172,3000,300,19.0
173,3000,300,inf
174,2420,192.20629334449768,59.0
174,2570,212.01270866394043,56.0
174,3000,300,56.0
175,3000,300,inf
176,3000,300,inf
177,2860,201.52977800369263,41.0
177,3000,300,41.0
178,80,2.7097017765045166,45.0
178,3000,300,45.0
179,1620,146.9470570087433,44.0
179,3000,300,44.0
180,3000,300,inf
181,2290,167.60313248634338,44.0
181,3000,300,44.0
182,760,42.50837206840515,40.0
182,3000,300,40.0
183,3000,300,inf
184,1350,88.89988660812378,79.0
184,3000,300,79.0
185,3000,300,inf
186,1830,142.75519442558289,42.0
186,3000,300,42.0
187,100,4.142565011978149,60.0
187,110,4.46087121963501,46.0
187,140,5.436732053756714,44.0
187,530,23.246068000793457,42.0
187,3000,300,42.0
188,3000,300,inf
189,3000,300,inf
190,3000,300,inf
191,1650,107.24912285804749,28.0
191,3000,300,28.0
192,270,13.896059274673462,66.0
192,550,28.305432558059692,48.0
192,1190,70.3803174495697,30.0
192,2290,161.60678720474243,19.0
192,3000,300,19.0
193,3000,300,inf
194,3000,300,inf
195,2360,208.27372908592224,49.0
195,3000,300,49.0
196,3000,300,inf
197,2600,278.696786403656,56.0
197,3000,300,56.0
198,3000,300,inf
199,260,19.41829514503479,40.0
199,310,23.171743154525757,30.0
199,720,56.549243450164795,24.0
199,1600,128.45710682868958,21.0
199,3000,300,21.0
Num trials: 200
Success rate: 0.275
Average cost: 38.763636363636365
Cost STD: 18.27563070555844
Cost CI: 4.928571083246602
