gradient_descent_sst best cost ci,gradient_descent_sst best cost max,gradient_descent_sst best cost mean,gradient_descent_sst best cost min,gradient_descent_sst best cost std,gradient_descent_sst success fraction,gradient_descent_sst success fraction ci,gradient_descent_sst time,policy_guided_gradient_descent_sst best cost ci,policy_guided_gradient_descent_sst best cost max,policy_guided_gradient_descent_sst best cost mean,policy_guided_gradient_descent_sst best cost min,policy_guided_gradient_descent_sst best cost std,policy_guided_gradient_descent_sst success fraction,policy_guided_gradient_descent_sst success fraction ci,policy_guided_gradient_descent_sst time,policy_guided_sst best cost ci,policy_guided_sst best cost max,policy_guided_sst best cost mean,policy_guided_sst best cost min,policy_guided_sst best cost std,policy_guided_sst success fraction,policy_guided_sst success fraction ci,policy_guided_sst time,rl best cost ci,rl best cost max,rl best cost mean,rl best cost min,rl best cost std,rl success fraction,rl success fraction ci,rl time,stable_sparse_rrt best cost ci,stable_sparse_rrt best cost max,stable_sparse_rrt best cost mean,stable_sparse_rrt best cost min,stable_sparse_rrt best cost std,stable_sparse_rrt success fraction,stable_sparse_rrt success fraction ci,stable_sparse_rrt time
"(33.89206396338756, 55.274602703279115, 44.583333333333336)",inf,44.583333333333336,21.0,18.517821746150982,0.0,"[9.771663301804058e-06, 0.04875845944407136, 0.0]",0,"(27.22978189247801, 41.10355144085532, 34.166666666666664)",inf,34.166666666666664,3.0,16.99182810124391,0.0,"[9.771663301804058e-06, 0.04875845944407136, 0.0]",0,"(25.715893320260264, 41.16410667973973, 33.44)",inf,33.44,5.0,19.310266699349338,0.0,"[9.771663301804058e-06, 0.04875845944407136, 0.0]",0,"(-20.874031784682543, 108.87403178468254, 44.0)",inf,44.0,5.0,72.53137252251608,0.0,"[9.771663301804058e-06, 0.04875845944407136, 0.0]",0,"(46.0159279055456, 61.8840720944544, 53.95)",inf,53.95,26.0,17.741124541584167,0.0,"[9.771663301804058e-06, 0.04875845944407136, 0.0]",0
"(33.89206396338756, 55.274602703279115, 44.583333333333336)",inf,44.583333333333336,21.0,18.517821746150982,0.0,"[9.771663301804058e-06, 0.04875845944407136, 0.0]",0.1,"(27.223961301387696, 41.10167268032617, 34.16281699085693)",inf,34.16281699085693,3.0,16.99665583800759,0.06,"[0.01718664907115114, 0.15153256302766027, 0.06]",0.1,"(25.715687559600056, 41.164031511460365, 33.43985953553021)",inf,33.43985953553021,5.0,19.310429939825386,0.08,"[0.027607090992212306, 0.1790661496180137, 0.08]",0.1,"(-20.874031784682543, 108.87403178468254, 44.0)",inf,44.0,5.0,72.53137252251608,0.08,"[0.027607090992212306, 0.1790661496180137, 0.08]",0.1,"(46.0159279055456, 61.8840720944544, 53.95)",inf,53.95,26.0,17.741124541584167,0.0,"[9.771663301804058e-06, 0.04875845944407136, 0.0]",0.1
"(33.891969805090355, 55.27458833996444, 44.5832790725274)",inf,44.5832790725274,20.999348870328802,18.517890850632945,0.02,"[0.002166494175293633, 0.08968035105696404, 0.02]",0.2,"(27.20591189365614, 41.09589318798597, 34.15090254082106)",inf,34.15090254082106,3.0,17.01168335395557,0.08,"[0.027607090992212306, 0.1790661496180137, 0.08]",0.2,"(25.71012531618643, 41.16200275429194, 33.436064035239184)",inf,33.436064035239184,5.0,19.314846797631883,0.08,"[0.027607090992212306, 0.1790661496180137, 0.08]",0.2,"(-20.874031784682543, 108.87403178468254, 44.0)",inf,44.0,5.0,72.53137252251608,0.08,"[0.027607090992212306, 0.1790661496180137, 0.08]",0.2,"(46.0159279055456, 61.8840720944544, 53.95)",inf,53.95,26.0,17.741124541584167,0.0,"[9.771663301804058e-06, 0.04875845944407136, 0.0]",0.2
"(33.89179631677699, 55.27456187790348, 44.583179097340235)",inf,44.583179097340235,20.99814916808281,18.518018179102558,0.02,"[0.002166494175293633, 0.08968035105696404, 0.02]",0.30000000000000004,"(27.18779534694135, 41.09018083462902, 34.13898809078518)",inf,34.13898809078518,3.0,17.02687532615433,0.08,"[0.027607090992212306, 0.1790661496180137, 0.08]",0.30000000000000004,"(25.704558496690016, 41.15997857320629, 33.43226853494815)",inf,33.43226853494815,5.0,19.319275095645338,0.08,"[0.027607090992212306, 0.1790661496180137, 0.08]",0.30000000000000004,"(-20.874031784682543, 108.87403178468254, 44.0)",inf,44.0,5.0,72.53137252251608,0.08,"[0.027607090992212306, 0.1790661496180137, 0.08]",0.30000000000000004,"(45.69407367132731, 61.77691922231765, 53.73549644682248)",inf,53.73549644682248,26.0,17.981167961822237,0.02,"[0.002166494175293633, 0.08968035105696404, 0.02]",0.30000000000000004
"(33.89162282554125, 55.274535418764884, 44.583079122153066)",inf,44.583079122153066,20.996949465836824,18.518145512633854,0.02,"[0.002166494175293633, 0.08968035105696404, 0.02]",0.4,"(27.16961184079261, 41.08453544070599, 34.1270736407493)",inf,34.1270736407493,3.0,17.042231314799707,0.08,"[0.027607090992212306, 0.1790661496180137, 0.08]",0.4,"(25.698987104256847, 41.15795896505741, 33.42847303465713)",inf,33.42847303465713,5.0,19.323714826000707,0.08,"[0.027607090992212306, 0.1790661496180137, 0.08]",0.4,"(-20.874031784682543, 108.87403178468254, 44.0)",inf,44.0,5.0,72.53137252251608,0.08,"[0.027607090992212306, 0.1790661496180137, 0.08]",0.4,"(44.81788550869373, 61.596437701588094, 53.20716160514091)",inf,53.20716160514091,21.143232102818317,18.75899163366999,0.02,"[0.002166494175293633, 0.08968035105696404, 0.02]",0.4
"(33.891449331383214, 55.27450896254858, 44.5829791469659)",inf,44.5829791469659,20.995749763590837,18.518272851226715,0.02,"[0.002166494175293633, 0.08968035105696404, 0.02]",0.5,"(27.151361556047664, 41.078956825379194, 34.11515919071343)",inf,34.11515919071343,3.0,17.057750876931543,0.08,"[0.027607090992212306, 0.1790661496180137, 0.08]",0.5,"(25.69341114203816, 41.15594392669405, 33.424677534366104)",inf,33.424677534366104,5.0,19.32816598081987,0.08,"[0.027607090992212306, 0.1790661496180137, 0.08]",0.5,"(-20.874031784682543, 108.87403178468254, 44.0)",inf,44.0,5.0,72.53137252251608,0.08,"[0.027607090992212306, 0.1790661496180137, 0.08]",0.5,"(44.799410973110426, 61.5939945744889, 53.196702773799664)",inf,53.196702773799664,20.934055475993194,18.77691529324275,0.02,"[0.002166494175293633, 0.08968035105696404, 0.02]",0.5
"(33.89127583430294, 55.27448250925453, 44.582879171778735)",inf,44.582879171778735,20.99455006134485,18.518400194881053,0.02,"[0.002166494175293633, 0.08968035105696404, 0.02]",0.6,"(27.13304467480952, 41.07344480654559, 34.10324474067755)",inf,34.10324474067755,3.0,17.073433566490387,0.1,"[0.039194364394183785, 0.20535482802304772, 0.1]",0.6,"(25.665601617983718, 41.13972382915761, 33.402662723570664)",inf,33.402662723570664,5.0,19.34265276396737,0.1,"[0.039194364394183785, 0.20535482802304772, 0.1]",0.6,"(-20.874031784682543, 108.87403178468254, 44.0)",inf,44.0,5.0,72.53137252251608,0.08,"[0.027607090992212306, 0.1790661496180137, 0.08]",0.6,"(44.79349788067248, 61.593222598084445, 53.193360239378464)",inf,53.193360239378464,20.867204787569204,18.782663235708302,0.02,"[0.002166494175293633, 0.08968035105696404, 0.02]",0.6
"(33.891102334300484, 55.27445605888265, 44.58277919659157)",inf,44.58277919659157,20.99335035909886,18.51852754359675,0.02,"[0.002166494175293633, 0.08968035105696404, 0.02]",0.7,"(27.114661380423314, 41.067999200860044, 34.09133029064168)",inf,34.09133029064168,3.0,17.08927893437417,0.1,"[0.039194364394183785, 0.20535482802304772, 0.1]",0.7,"(25.60476463156454, 41.10351456417188, 33.35413959786821)",inf,33.35413959786821,5.0,19.37343741575918,0.1,"[0.039194364394183785, 0.20535482802304772, 0.1]",0.7,"(-20.874031784682543, 108.87403178468254, 44.0)",inf,44.0,5.0,72.53137252251608,0.1,"[0.039194364394183785, 0.20535482802304772, 0.1]",0.7,"(44.787580521867774, 61.59245488804677, 53.19001770495727)",inf,53.19001770495727,20.80035409914521,18.788420718059957,0.02,"[0.002166494175293633, 0.08968035105696404, 0.02]",0.7
"(33.8909288313759, 55.27442961143289, 44.5826792214044)",inf,44.5826792214044,20.99215065685287,18.518654897373708,0.02,"[0.002166494175293633, 0.08968035105696404, 0.02]",0.7999999999999999,"(27.09656694129425, 41.062722569184224, 34.07964475523924)",inf,34.07964475523924,3.0,17.10497747831502,0.1,"[0.039194364394183785, 0.20535482802304772, 0.1]",0.7999999999999999,"(25.542959529542642, 41.06827341478888, 33.30561647216576)",inf,33.30561647216576,5.0,19.40664235655779,0.1,"[0.039194364394183785, 0.20535482802304772, 0.1]",0.7999999999999999,"(-20.874031784682543, 108.87403178468254, 44.0)",inf,44.0,5.0,72.53137252251608,0.1,"[0.039194364394183785, 0.20535482802304772, 0.1]",0.7999999999999999,"(44.78165890061723, 61.59169144045491, 53.18667517053607)",inf,53.18667517053607,20.73350341072122,18.794187731530254,0.02,"[0.002166494175293633, 0.08968035105696404, 0.02]",0.7999999999999999
"(33.890755325529284, 55.2744031669052, 44.58257924621724)",inf,44.58257924621724,20.990950954606884,18.51878225621182,0.02,"[0.002166494175293633, 0.08968035105696404, 0.02]",0.8999999999999999,"(27.08407438602275, 41.05912670989014, 34.07160054795644)",inf,34.07160054795644,3.0,17.11587366108569,0.1,"[0.039194364394183785, 0.20535482802304772, 0.1]",0.8999999999999999,"(25.480191272177635, 41.03399542074898, 33.25709334646331)",inf,33.25709334646331,5.0,19.442255185714178,0.1,"[0.039194364394183785, 0.20535482802304772, 0.1]",0.8999999999999999,"(-20.874031784682543, 108.87403178468254, 44.0)",inf,44.0,5.0,72.53137252251608,0.1,"[0.039194364394183785, 0.20535482802304772, 0.1]",0.8999999999999999,"(44.775733020843425, 61.590932251386285, 53.183332636114855)",inf,53.183332636114855,20.66665272229723,18.799964267348,0.02,"[0.002166494175293633, 0.08968035105696404, 0.02]",0.8999999999999999
