trial,plan iters,plan time,best cost
0,100,0.4574575424194336,104.0
0,270,1.1586394309997559,87.0
0,300,30,87.0
1,100,0.46283745765686035,58.0
1,120,0.5094306468963623,51.0
1,300,30,51.0
2,300,30,inf
3,10,0.011233091354370117,31.0
3,300,30,31.0
4,30,0.15166664123535156,76.0
4,300,30,76.0
5,50,0.17636466026306152,77.0
5,90,0.322681188583374,57.0
5,300,30,57.0
6,180,0.7967264652252197,61.0
6,210,0.9153151512145996,21.0
6,300,30,21.0
7,300,1.6078612804412842,27.0
7,300,30,27.0
8,100,0.49778079986572266,74.0
8,300,30,74.0
9,240,1.1790857315063477,93.0
9,250,1.1909241676330566,61.0
9,300,30,61.0
10,180,0.8193480968475342,117.0
10,300,30,117.0
11,10,0.011451959609985352,15.0
11,300,30,15.0
12,70,0.32953715324401855,68.0
12,80,0.333967924118042,46.0
12,300,30,46.0
13,170,0.894232988357544,125.0
13,300,30,125.0
14,10,0.026921987533569336,43.0
14,300,30,43.0
15,60,0.2950127124786377,27.0
15,300,30,27.0
16,200,0.9550790786743164,150.0
16,260,1.2647528648376465,56.0
16,300,30,56.0
17,50,0.22258496284484863,72.0
17,300,30,72.0
18,300,30,inf
19,300,30,inf
20,60,0.21897554397583008,26.0
20,120,0.5437483787536621,4.0
20,300,30,4.0
21,150,0.6932938098907471,53.0
21,300,30,53.0
22,300,30,inf
23,90,0.38016510009765625,124.0
23,230,1.0375738143920898,118.0
23,300,30,118.0
24,40,0.29117894172668457,83.0
24,60,0.37238192558288574,76.0
24,100,0.5010049343109131,72.0
24,300,30,72.0
25,150,0.7322428226470947,92.0
25,300,30,92.0
26,200,0.9479591846466064,105.0
26,300,30,105.0
27,100,0.48034000396728516,117.0
27,300,30,117.0
28,240,1.3877241611480713,60.0
28,300,30,60.0
29,120,0.9068048000335693,53.0
29,300,30,53.0
30,20,0.032064199447631836,20.0
30,300,30,20.0
31,300,30,inf
32,120,0.6731791496276855,88.0
32,160,0.8856935501098633,73.0
32,230,1.164180040359497,45.0
32,300,30,45.0
33,240,1.2075462341308594,109.0
33,300,30,109.0
34,140,0.6589994430541992,120.0
34,300,30,120.0
35,40,0.23055076599121094,38.0
35,300,30,38.0
36,140,0.6147475242614746,107.0
36,190,0.7843503952026367,95.0
36,200,0.7965602874755859,88.0
36,300,30,88.0
37,100,0.4014902114868164,62.0
37,300,30,62.0
38,90,0.3999917507171631,131.0
38,100,0.4158022403717041,116.0
38,300,30,116.0
39,150,0.8669917583465576,23.0
39,300,30,23.0
40,10,0.03324484825134277,21.0
40,80,0.38671326637268066,7.0
40,300,30,7.0
41,190,0.8675594329833984,121.0
41,220,0.9835357666015625,99.0
41,300,30,99.0
42,200,1.087029218673706,33.0
42,300,30,33.0
43,240,1.2266013622283936,72.0
43,300,30,72.0
44,230,1.1228673458099365,83.0
44,300,30,83.0
45,90,0.45377612113952637,34.0
45,300,30,34.0
46,300,30,inf
47,270,1.268294095993042,20.0
47,300,30,20.0
48,40,0.23746299743652344,47.0
48,80,0.4340705871582031,43.0
48,300,30,43.0
49,70,0.37713146209716797,38.0
49,300,30,38.0
Num trials: 50
Success rate: 0.88
Average cost: 61.59090909090909
Cost STD: 34.13497152469496
Cost CI: 10.292081161534451
