trial,plan iters,plan time,best cost
0,10,0.004189729690551758,7.0
0,300,30,7.0
1,10,0.010992288589477539,15.0
1,80,0.5238633155822754,8.0
1,300,30,8.0
2,10,0.005983114242553711,8.0
2,300,30,8.0
3,10,0.021098852157592773,43.0
3,20,0.03591465950012207,8.0
3,80,0.3865170478820801,7.0
3,300,30,7.0
4,10,0.03632807731628418,8.0
4,300,30,8.0
5,10,0.08322691917419434,29.0
5,30,0.26653599739074707,18.0
5,40,0.3104970455169678,10.0
5,300,30,10.0
6,10,0.005853891372680664,9.0
6,20,0.0258786678314209,5.0
6,300,30,5.0
7,10,0.020062685012817383,12.0
7,60,0.34717392921447754,11.0
7,300,30,11.0
8,10,0.04032278060913086,31.0
8,30,0.10183548927307129,8.0
8,300,30,8.0
9,10,0.0283353328704834,21.0
9,20,0.03939390182495117,7.0
9,300,30,7.0
10,10,0.003420114517211914,2.0
10,300,30,2.0
11,10,0.005223989486694336,9.0
11,300,30,9.0
12,10,0.004990100860595703,8.0
12,300,30,8.0
13,10,0.020440340042114258,38.0
13,60,0.4409017562866211,27.0
13,300,30,27.0
14,10,0.006609201431274414,9.0
14,300,30,9.0
15,10,0.02661585807800293,32.0
15,40,0.19602227210998535,2.0
15,300,30,2.0
16,10,0.020354509353637695,24.0
16,20,0.03461885452270508,19.0
16,40,0.149611234664917,5.0
16,300,30,5.0
17,10,0.00796961784362793,28.0
17,20,0.019234180450439453,8.0
17,300,30,8.0
18,10,0.03350067138671875,34.0
18,80,0.4655416011810303,28.0
18,170,1.2100660800933838,5.0
18,300,30,5.0
19,10,0.01522064208984375,12.0
19,120,0.7053108215332031,8.0
19,270,1.9979665279388428,4.0
19,300,30,4.0
20,10,0.02095341682434082,34.0
20,20,0.04940605163574219,11.0
20,300,30,11.0
21,10,0.004201650619506836,6.0
21,300,30,6.0
22,10,0.007391929626464844,24.0
22,140,0.9890506267547607,22.0
22,300,30,22.0
23,10,0.022490739822387695,14.0
23,20,0.048468828201293945,2.0
23,300,30,2.0
24,10,0.0029654502868652344,3.0
24,300,30,3.0
25,10,0.004596710205078125,7.0
25,300,30,7.0
26,20,0.10996031761169434,38.0
26,30,0.1648259162902832,14.0
26,140,0.93048095703125,10.0
26,300,30,10.0
27,10,0.06956887245178223,27.0
27,30,0.2070634365081787,17.0
27,300,30,17.0
28,10,0.03203320503234863,7.0
28,300,30,7.0
29,10,0.010216951370239258,10.0
29,300,30,10.0
30,10,0.04275321960449219,32.0
30,20,0.08756852149963379,6.0
30,300,30,6.0
31,10,0.005038022994995117,8.0
31,300,30,8.0
32,10,0.043035030364990234,13.0
32,20,0.060445547103881836,8.0
32,300,30,8.0
33,10,0.01595926284790039,24.0
33,60,0.2357773780822754,7.0
33,300,30,7.0
34,10,0.016580581665039062,32.0
34,20,0.03834700584411621,7.0
34,300,30,7.0
35,10,0.03214693069458008,9.0
35,300,30,9.0
36,10,0.0759439468383789,17.0
36,20,0.07979059219360352,11.0
36,300,30,11.0
37,10,0.0412447452545166,9.0
37,300,30,9.0
38,10,0.007915496826171875,19.0
38,300,30,19.0
39,10,0.006084442138671875,10.0
39,300,30,10.0
40,10,0.03471231460571289,15.0
40,40,0.16442084312438965,5.0
40,300,30,5.0
41,10,0.02989792823791504,39.0
41,20,0.08449578285217285,8.0
41,300,30,8.0
42,10,0.021819353103637695,41.0
42,20,0.0275876522064209,35.0
42,70,0.4561033248901367,27.0
42,100,0.716583251953125,10.0
42,300,30,10.0
43,10,0.008431673049926758,10.0
43,30,0.13941669464111328,8.0
43,300,30,8.0
44,10,0.02652573585510254,15.0
44,290,2.1063997745513916,11.0
44,300,30,11.0
45,10,0.0045375823974609375,7.0
45,300,30,7.0
46,10,0.02122783660888672,26.0
46,40,0.23984026908874512,20.0
46,50,0.3009986877441406,13.0
46,180,1.3256478309631348,9.0
46,300,30,9.0
47,10,0.016641616821289062,6.0
47,300,30,6.0
48,10,0.051329612731933594,6.0
48,300,30,6.0
49,10,0.04073786735534668,49.0
49,20,0.07669973373413086,41.0
49,30,0.08161211013793945,19.0
49,140,0.7926714420318604,18.0
49,160,0.8804049491882324,16.0
49,300,30,16.0
Num trials: 50
Success rate: 1.0
Average cost: 8.66
Cost STD: 4.628649911151199
Cost CI: 1.3091798959654095
