trial,plan iters,plan time,best cost
0,10,0.004450559616088867,10.0
0,300,30,10.0
1,10,0.0051233768463134766,10.0
1,300,30,10.0
2,10,0.002779245376586914,5.0
2,300,30,5.0
3,10,0.0031511783599853516,6.0
3,300,30,6.0
4,10,0.031734466552734375,33.0
4,20,0.03643536567687988,29.0
4,40,0.13918733596801758,7.0
4,300,30,7.0
5,10,0.0060498714447021484,12.0
5,30,0.06226325035095215,5.0
5,300,30,5.0
6,10,0.015564441680908203,31.0
6,20,0.03301215171813965,15.0
6,300,30,15.0
7,10,0.0639653205871582,26.0
7,20,0.0693209171295166,8.0
7,300,30,8.0
8,10,0.0058422088623046875,13.0
8,50,0.1655426025390625,11.0
8,300,30,11.0
9,10,0.0027518272399902344,5.0
9,300,30,5.0
10,10,0.00762486457824707,15.0
10,20,0.011811494827270508,8.0
10,300,30,8.0
11,10,0.004901409149169922,14.0
11,30,0.05887746810913086,3.0
11,300,30,3.0
12,10,0.015186548233032227,31.0
12,20,0.06297636032104492,21.0
12,40,0.12293171882629395,6.0
12,80,0.28659963607788086,1.0
12,300,30,1.0
13,10,0.014858245849609375,10.0
13,300,30,10.0
14,10,0.0037207603454589844,7.0
14,300,30,7.0
15,10,0.00448298454284668,7.0
15,300,30,7.0
16,10,0.005697011947631836,12.0
16,300,30,12.0
17,10,0.014618396759033203,21.0
17,40,0.11382627487182617,18.0
17,50,0.16736221313476562,8.0
17,300,30,8.0
18,10,0.01599431037902832,30.0
18,30,0.04438614845275879,14.0
18,300,30,14.0
19,10,0.0028505325317382812,5.0
19,300,30,5.0
20,10,0.003112316131591797,6.0
20,300,30,6.0
21,10,0.012958765029907227,27.0
21,20,0.02240920066833496,25.0
21,30,0.07375431060791016,14.0
21,40,0.1069025993347168,11.0
21,50,0.18390989303588867,8.0
21,300,30,8.0
22,10,0.03658008575439453,44.0
22,20,0.05674624443054199,11.0
22,300,30,11.0
23,10,0.056609392166137695,39.0
23,30,0.13348054885864258,9.0
23,270,1.326183795928955,8.0
23,300,30,8.0
24,10,0.004019021987915039,8.0
24,300,30,8.0
25,10,0.00513768196105957,11.0
25,300,30,11.0
26,10,0.0032291412353515625,6.0
26,300,30,6.0
27,10,0.005446195602416992,30.0
27,20,0.05597853660583496,19.0
27,220,1.0016756057739258,14.0
27,300,30,14.0
28,10,0.006791114807128906,15.0
28,300,30,15.0
29,10,0.0052220821380615234,11.0
29,300,30,11.0
30,10,0.01699686050415039,19.0
30,20,0.058786869049072266,8.0
30,300,30,8.0
31,10,0.0030295848846435547,5.0
31,300,30,5.0
32,10,0.008039474487304688,14.0
32,20,0.041704416275024414,12.0
32,300,30,12.0
33,10,0.0032901763916015625,6.0
33,300,30,6.0
34,10,0.01280069351196289,23.0
34,20,0.020545482635498047,11.0
34,60,0.12762117385864258,8.0
34,300,30,8.0
35,10,0.005232810974121094,11.0
35,300,30,11.0
36,10,0.005985736846923828,13.0
36,300,30,13.0
37,10,0.004761934280395508,7.0
37,300,30,7.0
38,10,0.021457195281982422,12.0
38,30,0.06118631362915039,8.0
38,300,30,8.0
39,10,0.006491899490356445,14.0
39,300,30,14.0
40,10,0.021983623504638672,2.0
40,300,30,2.0
41,10,0.016772985458374023,10.0
41,300,30,10.0
42,10,0.014339685440063477,8.0
42,300,30,8.0
43,10,0.008726119995117188,17.0
43,30,0.08838462829589844,9.0
43,300,30,9.0
44,10,0.010576248168945312,7.0
44,300,30,7.0
45,10,0.026625871658325195,17.0
45,20,0.06385016441345215,9.0
45,300,30,9.0
46,10,0.003492116928100586,4.0
46,300,30,4.0
47,10,0.008293628692626953,8.0
47,300,30,8.0
48,10,0.0030312538146972656,5.0
48,300,30,5.0
49,10,0.009355545043945312,9.0
49,300,30,9.0
Num trials: 50
Success rate: 1.0
Average cost: 8.36
Cost STD: 3.2296129799095117
Cost CI: 0.9134724954808435
