trial,plan iters,plan time,best cost
0,10,0.003572702407836914,6.0
0,300,30,6.0
1,10,0.01405644416809082,6.0
1,300,30,6.0
2,10,0.006276845932006836,11.0
2,300,30,11.0
3,10,0.0034630298614501953,6.0
3,300,30,6.0
4,10,0.003603219985961914,8.0
4,300,30,8.0
5,10,0.004003047943115234,9.0
5,300,30,9.0
6,10,0.00821995735168457,3.0
6,300,30,3.0
7,10,0.003264188766479492,7.0
7,300,30,7.0
8,10,0.002121448516845703,4.0
8,300,30,4.0
9,10,0.003999233245849609,8.0
9,300,30,8.0
10,10,0.004191160202026367,9.0
10,300,30,9.0
11,10,0.0029113292694091797,6.0
11,300,30,6.0
12,10,0.003766298294067383,8.0
12,300,30,8.0
13,10,0.00547027587890625,13.0
13,300,30,13.0
14,10,0.004104137420654297,9.0
14,300,30,9.0
15,10,0.0022568702697753906,4.0
15,300,30,4.0
16,10,0.004428386688232422,10.0
16,300,30,10.0
17,10,0.0028905868530273438,6.0
17,300,30,6.0
18,10,0.0057544708251953125,13.0
18,300,30,13.0
19,10,0.0043947696685791016,7.0
19,300,30,7.0
20,10,0.020746707916259766,12.0
20,300,30,12.0
21,10,0.0012552738189697266,2.0
21,300,30,2.0
22,10,0.003187417984008789,7.0
22,300,30,7.0
23,10,0.006306648254394531,14.0
23,300,30,14.0
24,10,0.0020112991333007812,3.0
24,300,30,3.0
25,10,0.0059719085693359375,6.0
25,300,30,6.0
26,10,0.003683328628540039,8.0
26,300,30,8.0
27,10,0.0020380020141601562,4.0
27,300,30,4.0
28,10,0.003254413604736328,7.0
28,300,30,7.0
29,10,0.004913330078125,11.0
29,300,30,11.0
30,10,0.01434946060180664,18.0
30,300,30,18.0
31,10,0.0035555362701416016,8.0
31,300,30,8.0
32,10,0.004371166229248047,10.0
32,300,30,10.0
33,10,0.0038814544677734375,8.0
33,300,30,8.0
34,10,0.003968954086303711,7.0
34,300,30,7.0
35,10,0.01995110511779785,8.0
35,300,30,8.0
36,10,0.002535104751586914,5.0
36,300,30,5.0
37,10,0.0036253929138183594,7.0
37,300,30,7.0
38,10,0.0028753280639648438,6.0
38,300,30,6.0
39,10,0.004783153533935547,11.0
39,300,30,11.0
40,10,0.0040378570556640625,9.0
40,300,30,9.0
41,10,0.006187915802001953,14.0
41,300,30,14.0
42,10,0.006032228469848633,14.0
42,300,30,14.0
43,10,0.0062313079833984375,14.0
43,300,30,14.0
44,10,0.0028727054595947266,6.0
44,300,30,6.0
45,10,0.0015974044799804688,2.0
45,300,30,2.0
46,10,0.0025513172149658203,5.0
46,300,30,5.0
47,10,0.003282308578491211,7.0
47,300,30,7.0
48,10,0.003116607666015625,6.0
48,300,30,6.0
49,10,0.02053093910217285,9.0
49,300,30,9.0
Num trials: 50
Success rate: 1.0
Average cost: 8.02
Cost STD: 3.408753437842051
Cost CI: 0.9641410685164282
