trial,plan iters,plan time,best cost
0,120,0.17754244804382324,118.0
0,190,0.28321361541748047,46.0
0,300,30,46.0
1,80,0.11937546730041504,115.0
1,100,0.1386253833770752,68.0
1,140,0.19041991233825684,66.0
1,300,30,66.0
2,60,0.08808732032775879,46.0
2,300,30,46.0
3,300,30,inf
4,160,0.34053635597229004,24.0
4,300,30,24.0
5,20,0.012741804122924805,21.0
5,30,0.013254404067993164,20.0
5,300,30,20.0
6,200,0.4723489284515381,147.0
6,300,30,147.0
7,190,0.43387365341186523,54.0
7,300,30,54.0
8,10,0.03302145004272461,32.0
8,300,30,32.0
9,30,0.030392169952392578,72.0
9,300,30,72.0
10,90,0.19291019439697266,74.0
10,140,0.27295947074890137,69.0
10,300,30,69.0
11,50,0.05888509750366211,60.0
11,150,0.22440099716186523,40.0
11,300,30,40.0
12,10,0.00828099250793457,64.0
12,300,30,64.0
13,50,0.1489274501800537,135.0
13,120,0.24070978164672852,111.0
13,270,0.5242581367492676,105.0
13,300,30,105.0
14,260,0.46012306213378906,130.0
14,300,30,130.0
15,110,0.2137138843536377,97.0
15,160,0.2866556644439697,91.0
15,300,30,91.0
16,30,0.08427786827087402,82.0
16,60,0.11713981628417969,78.0
16,110,0.19776701927185059,75.0
16,300,30,75.0
17,160,0.4127960205078125,65.0
17,300,30,65.0
18,130,0.2816658020019531,162.0
18,140,0.2925126552581787,161.0
18,210,0.3779261112213135,137.0
18,280,0.5358121395111084,105.0
18,300,30,105.0
19,100,0.1703643798828125,149.0
19,300,30,149.0
20,90,0.1420285701751709,27.0
20,300,30,27.0
21,70,0.1260826587677002,110.0
21,190,0.32897424697875977,106.0
21,300,30,106.0
22,90,0.1656506061553955,92.0
22,150,0.3001842498779297,65.0
22,160,0.30823516845703125,63.0
22,300,30,63.0
23,130,0.2521507740020752,86.0
23,300,30,86.0
24,90,0.18262910842895508,77.0
24,300,30,77.0
25,70,0.11479949951171875,26.0
25,300,30,26.0
26,10,0.0004963874816894531,2.0
26,300,30,2.0
27,300,30,inf
28,90,0.20336127281188965,40.0
28,300,30,40.0
29,230,0.4161367416381836,130.0
29,290,0.5130181312561035,109.0
29,300,30,109.0
30,80,0.1738743782043457,103.0
30,120,0.2187662124633789,88.0
30,190,0.3951289653778076,76.0
30,300,30,76.0
31,50,0.11051607131958008,72.0
31,100,0.16826891899108887,67.0
31,140,0.23451924324035645,54.0
31,280,0.5442426204681396,38.0
31,300,30,38.0
32,60,0.07876896858215332,45.0
32,300,30,45.0
33,70,0.10408449172973633,86.0
33,300,30,86.0
34,300,30,inf
35,80,0.13967347145080566,58.0
35,300,30,58.0
36,30,0.09637951850891113,75.0
36,240,0.4612095355987549,72.0
36,300,30,72.0
37,290,0.5864303112030029,67.0
37,300,30,67.0
38,280,0.4200022220611572,56.0
38,300,30,56.0
39,30,0.04389381408691406,47.0
39,300,30,47.0
40,30,0.025235652923583984,73.0
40,300,30,73.0
41,240,0.44811058044433594,180.0
41,300,30,180.0
42,10,0.00591731071472168,50.0
42,20,0.017165660858154297,41.0
42,300,0.567143440246582,8.0
42,300,30,8.0
43,10,0.01350712776184082,49.0
43,30,0.034009456634521484,23.0
43,300,30,23.0
44,20,0.027825117111206055,53.0
44,90,0.15233683586120605,27.0
44,300,30,27.0
45,70,0.1653587818145752,37.0
45,250,0.5559306144714355,16.0
45,300,30,16.0
46,100,0.14643406867980957,87.0
46,300,30,87.0
47,90,0.18053412437438965,92.0
47,190,0.4273836612701416,78.0
47,300,30,78.0
48,60,0.09597659111022949,82.0
48,300,30,82.0
49,70,0.16785454750061035,159.0
49,270,0.47547125816345215,149.0
49,290,0.5140771865844727,107.0
49,300,30,107.0
Num trials: 50
Success rate: 0.94
Average cost: 67.27659574468085
Cost STD: 37.72335025376845
Cost CI: 11.005032328076068
