trial,plan iters,plan time,best cost
0,80,0.5128309726715088,64.0
0,300,30,64.0
1,130,1.0404701232910156,60.0
1,300,2.415687322616577,38.0
1,300,30,38.0
2,40,0.25000810623168945,58.0
2,60,0.3379230499267578,57.0
2,80,0.42333078384399414,45.0
2,300,30,45.0
3,150,1.1189842224121094,138.0
3,220,1.6447789669036865,125.0
3,300,30,125.0
4,70,0.535872220993042,125.0
4,270,2.017101287841797,121.0
4,280,2.0412745475769043,112.0
4,300,30,112.0
5,20,0.24301981925964355,57.0
5,30,0.285858154296875,55.0
5,300,30,55.0
6,70,0.4578237533569336,42.0
6,300,30,42.0
7,80,0.640587568283081,95.0
7,300,30,95.0
8,80,0.5425524711608887,91.0
8,300,30,91.0
9,50,0.2831306457519531,102.0
9,240,1.7847819328308105,75.0
9,300,30,75.0
10,200,1.6235809326171875,47.0
10,300,30,47.0
11,300,30,inf
12,270,2.1631813049316406,41.0
12,300,30,41.0
13,140,1.174544095993042,198.0
13,280,2.3507142066955566,186.0
13,300,30,186.0
14,240,1.9764103889465332,78.0
14,300,30,78.0
15,80,0.5318083763122559,24.0
15,300,30,24.0
16,220,1.8356235027313232,43.0
16,300,30,43.0
17,300,30,inf
18,130,1.0505523681640625,136.0
18,190,1.4848008155822754,69.0
18,300,30,69.0
19,190,1.5530760288238525,117.0
19,290,2.3986730575561523,104.0
19,300,30,104.0
20,100,0.8435711860656738,172.0
20,130,1.0674970149993896,115.0
20,240,1.9502763748168945,113.0
20,270,2.199610710144043,105.0
20,300,30,105.0
21,70,0.4615044593811035,44.0
21,300,30,44.0
22,60,0.42181897163391113,18.0
22,300,30,18.0
23,70,0.46639156341552734,105.0
23,300,30,105.0
24,300,30,inf
25,220,1.7474908828735352,129.0
25,240,1.8546943664550781,65.0
25,300,30,65.0
26,110,0.8823277950286865,63.0
26,300,30,63.0
27,220,1.6917643547058105,70.0
27,300,30,70.0
28,110,0.9143936634063721,78.0
28,230,1.8197712898254395,22.0
28,260,2.036680221557617,14.0
28,300,30,14.0
29,10,0.017612695693969727,46.0
29,40,0.21542835235595703,30.0
29,170,1.1795899868011475,26.0
29,300,30,26.0
30,300,30,inf
31,300,30,inf
32,200,1.5254504680633545,76.0
32,270,1.9776363372802734,61.0
32,280,2.0512523651123047,21.0
32,300,30,21.0
33,50,0.45095086097717285,115.0
33,150,1.1033344268798828,110.0
33,300,30,110.0
34,190,1.4522581100463867,88.0
34,300,30,88.0
35,100,0.7248835563659668,98.0
35,270,2.102311611175537,32.0
35,300,30,32.0
36,50,0.37284231185913086,43.0
36,300,30,43.0
37,280,2.13324236869812,70.0
37,300,30,70.0
38,260,2.150777578353882,179.0
38,300,30,179.0
39,300,2.4586222171783447,77.0
39,300,30,77.0
40,10,0.07553339004516602,41.0
40,80,0.5972621440887451,39.0
40,300,30,39.0
41,240,1.8808753490447998,57.0
41,260,2.081840991973877,33.0
41,280,2.171562671661377,31.0
41,300,30,31.0
42,20,0.10986828804016113,77.0
42,300,30,77.0
43,40,0.22835516929626465,59.0
43,170,1.312467336654663,53.0
43,250,1.936000108718872,11.0
43,300,30,11.0
44,300,30,inf
45,30,0.20917701721191406,78.0
45,300,30,78.0
46,240,1.8700385093688965,100.0
46,300,30,100.0
47,80,0.5638597011566162,81.0
47,200,1.5831236839294434,48.0
47,300,30,48.0
48,130,1.0797741413116455,80.0
48,240,1.9839510917663574,31.0
48,300,30,31.0
49,130,0.983436107635498,20.0
49,300,30,20.0
Num trials: 50
Success rate: 0.88
Average cost: 65.88636363636364
Cost STD: 39.198339429746085
Cost CI: 11.81874402667831
