trial,plan iters,plan time,best cost
0,10,0.006702423095703125,9.0
0,300,30,9.0
1,10,0.07788395881652832,22.0
1,300,30,22.0
2,10,0.0056149959564208984,8.0
2,300,30,8.0
3,10,0.014698028564453125,24.0
3,60,0.360781192779541,21.0
3,120,0.8727307319641113,10.0
3,300,30,10.0
4,10,0.1759476661682129,64.0
4,20,0.264570951461792,33.0
4,300,30,33.0
5,10,0.06258797645568848,39.0
5,90,0.7052896022796631,16.0
5,300,30,16.0
6,10,0.06584620475769043,13.0
6,90,0.7200448513031006,12.0
6,300,30,12.0
7,10,0.04190874099731445,12.0
7,20,0.2082812786102295,4.0
7,300,30,4.0
8,10,0.10555720329284668,7.0
8,300,30,7.0
9,10,0.012883663177490234,8.0
9,300,30,8.0
10,10,0.01211237907409668,21.0
10,50,0.4081451892852783,20.0
10,300,30,20.0
11,10,0.026056766510009766,12.0
11,300,30,12.0
12,20,0.2312180995941162,67.0
12,40,0.41806530952453613,22.0
12,180,1.8678979873657227,21.0
12,280,3.071284770965576,20.0
12,300,30,20.0
13,20,0.08573269844055176,39.0
13,80,0.5331451892852783,33.0
13,300,30,33.0
14,10,0.07679057121276855,69.0
14,50,0.41319751739501953,63.0
14,270,2.7982683181762695,38.0
14,300,30,38.0
15,10,0.0767357349395752,22.0
15,50,0.4050261974334717,14.0
15,300,30,14.0
16,10,0.025101661682128906,33.0
16,30,0.1919116973876953,27.0
16,140,1.271376371383667,10.0
16,300,30,10.0
17,10,0.0357818603515625,42.0
17,20,0.04019427299499512,4.0
17,300,30,4.0
18,10,0.0681908130645752,52.0
18,160,1.7146553993225098,50.0
18,180,1.8539369106292725,34.0
18,300,30,34.0
19,10,0.006040096282958984,7.0
19,300,30,7.0
20,10,0.1674504280090332,41.0
20,300,30,41.0
21,10,0.012325048446655273,21.0
21,280,2.9136252403259277,5.0
21,300,30,5.0
22,10,0.08259367942810059,44.0
22,50,0.5368120670318604,42.0
22,110,1.1139109134674072,39.0
22,300,30,39.0
23,10,0.14467787742614746,43.0
23,50,0.51192307472229,34.0
23,300,30,34.0
24,10,0.022209882736206055,37.0
24,20,0.02758049964904785,20.0
24,40,0.1667492389678955,7.0
24,300,30,7.0
25,40,0.27215147018432617,28.0
25,60,0.43564796447753906,19.0
25,160,1.5592753887176514,18.0
25,300,30,18.0
26,10,0.13137483596801758,16.0
26,20,0.20577001571655273,13.0
26,300,30,13.0
27,10,0.025751829147338867,7.0
27,300,30,7.0
28,10,0.0217587947845459,7.0
28,300,30,7.0
29,10,0.03952622413635254,37.0
29,60,0.41226649284362793,20.0
29,150,1.3461096286773682,19.0
29,300,30,19.0
30,60,0.6462335586547852,82.0
30,80,0.7543747425079346,40.0
30,300,30,40.0
31,10,0.014660358428955078,12.0
31,300,30,12.0
32,10,0.07585668563842773,12.0
32,300,30,12.0
33,10,0.05749917030334473,11.0
33,300,30,11.0
34,10,0.021724939346313477,15.0
34,300,30,15.0
35,10,0.06187081336975098,68.0
35,140,1.4261705875396729,33.0
35,200,2.044447660446167,23.0
35,300,30,23.0
36,10,0.04767608642578125,28.0
36,50,0.4018268585205078,25.0
36,150,1.4440603256225586,19.0
36,300,30,19.0
37,10,0.061406612396240234,30.0
37,30,0.17461824417114258,29.0
37,150,1.358166217803955,23.0
37,300,30,23.0
38,10,0.16605877876281738,28.0
38,30,0.30835723876953125,19.0
38,300,30,19.0
39,10,0.011768102645874023,15.0
39,300,30,15.0
40,10,0.045159101486206055,25.0
40,20,0.054596662521362305,18.0
40,300,30,18.0
41,10,0.05260610580444336,38.0
41,50,0.45169663429260254,18.0
41,270,2.736959218978882,17.0
41,300,30,17.0
42,10,0.02751016616821289,23.0
42,300,30,23.0
43,10,0.024222850799560547,2.0
43,300,30,2.0
44,10,0.03265500068664551,11.0
44,300,30,11.0
45,10,0.006727457046508789,12.0
45,300,30,12.0
46,20,0.13599085807800293,48.0
46,240,2.6929244995117188,39.0
46,300,30,39.0
47,10,0.004201412200927734,6.0
47,300,30,6.0
48,10,0.045815229415893555,56.0
48,50,0.5550780296325684,55.0
48,60,0.6752052307128906,52.0
48,230,2.5072696208953857,21.0
48,300,30,21.0
49,10,0.12395834922790527,48.0
49,70,0.7066476345062256,47.0
49,300,30,47.0
Num trials: 50
Success rate: 1.0
Average cost: 17.92
Cost STD: 11.424254899117054
Cost CI: 3.2312672436677223
