trial,plan iters,plan time,best cost
0,10,0.014651775360107422,10.0
0,300,30,10.0
1,10,0.034035444259643555,24.0
1,20,0.043465614318847656,18.0
1,300,30,18.0
2,10,0.015702486038208008,46.0
2,20,0.05101323127746582,45.0
2,70,0.3559913635253906,33.0
2,110,0.4982411861419678,30.0
2,300,30,30.0
3,10,0.029155731201171875,30.0
3,300,30,30.0
4,10,0.004987478256225586,10.0
4,300,30,10.0
5,10,0.020495891571044922,36.0
5,130,0.712846040725708,26.0
5,300,30,26.0
6,20,0.07556533813476562,41.0
6,300,30,41.0
7,10,0.016458511352539062,37.0
7,40,0.13225269317626953,35.0
7,130,0.5550985336303711,20.0
7,300,30,20.0
8,10,0.02521800994873047,34.0
8,50,0.23102545738220215,29.0
8,300,30,29.0
9,10,0.028809309005737305,14.0
9,300,30,14.0
10,20,0.0606074333190918,12.0
10,300,30,12.0
11,10,0.04628252983093262,46.0
11,40,0.19715595245361328,30.0
11,130,0.6562254428863525,18.0
11,300,30,18.0
12,10,0.004117012023925781,8.0
12,300,30,8.0
13,10,0.028752565383911133,19.0
13,300,30,19.0
14,10,0.01965785026550293,19.0
14,100,0.487884521484375,15.0
14,110,0.5055885314941406,9.0
14,300,30,9.0
15,10,0.0010573863983154297,1.0
15,300,30,1.0
16,10,0.002734661102294922,5.0
16,300,30,5.0
17,10,0.004866123199462891,9.0
17,300,30,9.0
18,40,0.1896045207977295,72.0
18,70,0.35213446617126465,38.0
18,140,0.8223273754119873,16.0
18,300,30,16.0
19,10,0.004559040069580078,8.0
19,300,30,8.0
20,10,0.024831533432006836,28.0
20,300,30,28.0
21,10,0.030393123626708984,23.0
21,300,30,23.0
22,10,0.03571438789367676,36.0
22,30,0.16730761528015137,34.0
22,300,30,34.0
23,10,0.11626267433166504,30.0
23,300,30,30.0
24,10,0.01415705680847168,22.0
24,300,30,22.0
25,10,0.022682905197143555,17.0
25,300,30,17.0
26,10,0.0365147590637207,31.0
26,20,0.052393198013305664,8.0
26,300,30,8.0
27,10,0.030277490615844727,33.0
27,300,30,33.0
28,10,0.03279423713684082,34.0
28,40,0.30574584007263184,31.0
28,190,1.1258351802825928,21.0
28,300,30,21.0
29,10,0.025242328643798828,55.0
29,90,0.6203219890594482,53.0
29,120,0.7984423637390137,19.0
29,300,30,19.0
30,10,0.006194114685058594,11.0
30,300,30,11.0
31,10,0.0010271072387695312,1.0
31,300,30,1.0
32,20,0.06024479866027832,40.0
32,300,30,40.0
33,10,0.020392894744873047,48.0
33,20,0.03903532028198242,9.0
33,300,30,9.0
34,10,0.054387569427490234,32.0
34,300,30,32.0
35,10,0.03815793991088867,29.0
35,300,30,29.0
36,10,0.03164410591125488,31.0
36,70,0.30678749084472656,14.0
36,300,30,14.0
37,10,0.006040334701538086,11.0
37,300,30,11.0
38,20,0.06300663948059082,48.0
38,30,0.07483220100402832,37.0
38,50,0.1250627040863037,33.0
38,60,0.1595449447631836,13.0
38,300,30,13.0
39,10,0.021309614181518555,23.0
39,300,30,23.0
40,20,0.06027531623840332,40.0
40,300,30,40.0
41,10,0.008187532424926758,13.0
41,300,30,13.0
42,10,0.00564122200012207,5.0
42,300,30,5.0
43,10,0.05588102340698242,66.0
43,20,0.0914766788482666,14.0
43,300,30,14.0
44,10,0.027324676513671875,45.0
44,20,0.03507280349731445,41.0
44,70,0.2956228256225586,40.0
44,190,0.9002821445465088,22.0
44,300,30,22.0
45,10,0.0331728458404541,16.0
45,20,0.03794264793395996,11.0
45,300,30,11.0
46,10,0.004934072494506836,6.0
46,300,30,6.0
47,10,0.04751706123352051,55.0
47,20,0.06328630447387695,51.0
47,30,0.0761253833770752,24.0
47,110,0.531609296798706,17.0
47,260,1.3566725254058838,11.0
47,300,30,11.0
48,10,0.014156341552734375,22.0
48,300,30,22.0
49,10,0.052628278732299805,23.0
49,20,0.0823659896850586,18.0
49,130,0.7515408992767334,10.0
49,300,30,10.0
Num trials: 50
Success rate: 1.0
Average cost: 18.1
Cost STD: 10.251341375644458
Cost CI: 2.8995172011905708
