trial,plan iters,plan time,best cost
0,10,0.004897594451904297,5.0
0,300,30,5.0
1,10,0.02075052261352539,10.0
1,300,30,10.0
2,300,30,inf
3,10,0.004729509353637695,11.0
3,300,30,11.0
4,10,0.006604909896850586,15.0
4,300,30,15.0
5,10,0.007407665252685547,16.0
5,300,30,16.0
6,10,0.008510589599609375,18.0
6,300,30,18.0
7,10,0.004845619201660156,11.0
7,300,30,11.0
8,10,0.0017137527465820312,3.0
8,300,30,3.0
9,10,0.004011392593383789,9.0
9,300,30,9.0
10,10,0.004530668258666992,11.0
10,300,30,11.0
11,10,0.003240823745727539,7.0
11,300,30,7.0
12,10,0.008577823638916016,18.0
12,300,30,18.0
13,10,0.010221004486083984,22.0
13,300,30,22.0
14,10,0.0036847591400146484,7.0
14,300,30,7.0
15,10,0.003897428512573242,8.0
15,300,30,8.0
16,10,0.005575895309448242,11.0
16,300,30,11.0
17,10,0.0041217803955078125,9.0
17,300,30,9.0
18,10,0.008409261703491211,19.0
18,300,30,19.0
19,10,0.008493423461914062,18.0
19,300,30,18.0
20,10,0.009408950805664062,20.0
20,300,30,20.0
21,10,0.0024247169494628906,5.0
21,300,30,5.0
22,10,0.018110275268554688,42.0
22,300,30,42.0
23,10,0.007886171340942383,18.0
23,300,30,18.0
24,10,0.0045397281646728516,10.0
24,300,30,10.0
25,10,0.010921001434326172,23.0
25,300,30,23.0
26,10,0.0011775493621826172,1.0
26,300,30,1.0
27,10,0.03515434265136719,85.0
27,300,30,85.0
28,10,0.014885187149047852,36.0
28,300,30,36.0
29,10,0.0028655529022216797,6.0
29,300,30,6.0
30,10,0.0059850215911865234,12.0
30,300,30,12.0
31,10,0.01756453514099121,40.0
31,300,30,40.0
32,10,0.008152246475219727,15.0
32,300,30,15.0
33,10,0.03240799903869629,8.0
33,300,30,8.0
34,10,0.032987356185913086,79.0
34,300,30,79.0
35,10,0.010961532592773438,23.0
35,300,30,23.0
36,10,0.04222726821899414,99.0
36,300,30,99.0
37,10,0.004332780838012695,10.0
37,300,30,10.0
38,10,0.0021009445190429688,4.0
38,300,30,4.0
39,50,0.2511441707611084,559.0
39,300,30,559.0
40,10,0.017569541931152344,13.0
40,300,30,13.0
41,10,0.016530752182006836,37.0
41,300,30,37.0
42,10,0.0030782222747802734,6.0
42,300,30,6.0
43,10,0.013682126998901367,30.0
43,300,30,30.0
44,10,0.003240346908569336,7.0
44,300,30,7.0
45,10,0.0072345733642578125,17.0
45,300,30,17.0
46,10,0.010548591613769531,22.0
46,300,30,22.0
47,10,0.012504339218139648,28.0
47,300,30,28.0
48,10,0.0047664642333984375,11.0
48,300,30,11.0
49,10,0.002816438674926758,6.0
49,300,30,6.0
Num trials: 50
Success rate: 0.98
Average cost: 30.612244897959183
Cost STD: 78.82551548121205
Cost CI: 22.521575851774873
