trial,plan iters,plan time,best cost
0,30,0.04039645195007324,60.0
0,300,30,60.0
1,300,30,inf
2,200,0.32703351974487305,114.0
2,280,0.44871091842651367,69.0
2,300,30,69.0
3,300,30,inf
4,300,30,inf
5,260,0.5169925689697266,129.0
5,300,30,129.0
6,120,0.23926806449890137,45.0
6,300,30,45.0
7,160,0.26288747787475586,53.0
7,170,0.2795403003692627,43.0
7,300,30,43.0
8,300,30,inf
9,240,0.4839637279510498,191.0
9,300,30,191.0
10,260,0.5727744102478027,147.0
10,300,30,147.0
11,120,0.32538652420043945,104.0
11,300,30,104.0
12,160,0.34444189071655273,24.0
12,220,0.5545244216918945,14.0
12,300,30,14.0
13,70,0.13251996040344238,69.0
13,300,30,69.0
14,110,0.1648256778717041,39.0
14,300,30,39.0
15,120,0.17454910278320312,94.0
15,300,30,94.0
16,10,0.003141164779663086,12.0
16,300,30,12.0
17,300,30,inf
18,190,0.3128998279571533,57.0
18,300,30,57.0
19,280,0.4575669765472412,52.0
19,300,30,52.0
20,140,0.28742551803588867,93.0
20,200,0.39849352836608887,82.0
20,300,30,82.0
21,90,0.17919659614562988,81.0
21,300,30,81.0
22,10,0.017682790756225586,55.0
22,300,30,55.0
23,300,0.613868236541748,108.0
23,300,30,108.0
24,250,0.5117204189300537,93.0
24,300,30,93.0
25,300,30,inf
26,180,0.35751867294311523,73.0
26,220,0.44796156883239746,28.0
26,300,30,28.0
27,300,30,inf
28,110,0.1996455192565918,114.0
28,300,30,114.0
29,80,0.18825316429138184,137.0
29,300,30,137.0
30,300,30,inf
31,110,0.2613961696624756,80.0
31,300,30,80.0
32,150,0.31751489639282227,37.0
32,300,30,37.0
33,40,0.039647579193115234,65.0
33,150,0.2711057662963867,27.0
33,300,30,27.0
34,220,0.5297021865844727,112.0
34,300,30,112.0
35,20,0.019234180450439453,12.0
35,80,0.11695313453674316,3.0
35,300,30,3.0
36,270,0.47310662269592285,161.0
36,300,0.5841987133026123,128.0
36,300,30,128.0
37,90,0.15863347053527832,96.0
37,110,0.20682954788208008,69.0
37,130,0.2400827407836914,66.0
37,300,30,66.0
38,10,0.02176046371459961,36.0
38,60,0.12773823738098145,10.0
38,300,30,10.0
39,290,0.7323782444000244,78.0
39,300,30,78.0
40,300,30,inf
41,150,0.38284945487976074,92.0
41,300,30,92.0
42,20,0.017208337783813477,38.0
42,300,30,38.0
43,60,0.09653139114379883,176.0
43,150,0.27295422554016113,83.0
43,270,0.5490527153015137,77.0
43,300,30,77.0
44,110,0.22959089279174805,51.0
44,300,30,51.0
45,20,0.024760961532592773,38.0
45,300,30,38.0
46,240,0.4227159023284912,68.0
46,300,30,68.0
47,130,0.2555053234100342,19.0
47,300,30,19.0
48,70,0.11368703842163086,131.0
48,90,0.12933731079101562,102.0
48,300,30,102.0
49,70,0.10197615623474121,38.0
49,300,30,38.0
Num trials: 50
Success rate: 0.82
Average cost: 70.41463414634147
Cost STD: 41.251149642372035
Cost CI: 12.884694443758136
