trial,plan iters,plan time,best cost
0,220,1.090378999710083,145.0
0,300,30,145.0
1,10,0.012479305267333984,4.0
1,300,30,4.0
2,70,0.3545389175415039,48.0
2,210,1.2067077159881592,37.0
2,290,1.5899925231933594,36.0
2,300,30,36.0
3,30,0.14739012718200684,30.0
3,220,1.0494639873504639,29.0
3,300,30,29.0
4,100,0.5612740516662598,76.0
4,300,30,76.0
5,240,1.328059196472168,80.0
5,280,1.5038669109344482,74.0
5,290,1.5465779304504395,44.0
5,300,30,44.0
6,20,0.03874564170837402,32.0
6,300,30,32.0
7,20,0.12026810646057129,16.0
7,300,30,16.0
8,10,0.0832369327545166,31.0
8,300,30,31.0
9,160,0.7620213031768799,45.0
9,300,30,45.0
10,50,0.2502152919769287,58.0
10,300,30,58.0
11,60,0.3304777145385742,65.0
11,90,0.4585869312286377,36.0
11,300,30,36.0
12,40,0.16145944595336914,90.0
12,60,0.25409817695617676,56.0
12,120,0.5721578598022461,55.0
12,300,30,55.0
13,70,0.20140600204467773,37.0
13,300,30,37.0
14,170,0.7838263511657715,132.0
14,190,0.845841646194458,39.0
14,300,30,39.0
15,110,0.605165958404541,112.0
15,180,0.9684782028198242,59.0
15,300,30,59.0
16,10,0.03709697723388672,73.0
16,300,30,73.0
17,90,0.4421825408935547,66.0
17,300,30,66.0
18,120,0.45244312286376953,53.0
18,300,30,53.0
19,40,0.2878105640411377,83.0
19,300,30,83.0
20,130,0.5952565670013428,110.0
20,240,1.0351312160491943,93.0
20,300,30,93.0
21,90,0.48445940017700195,68.0
21,160,0.7483141422271729,46.0
21,300,30,46.0
22,230,0.9384744167327881,37.0
22,300,30,37.0
23,30,0.09758234024047852,44.0
23,80,0.2898988723754883,42.0
23,300,30,42.0
24,300,30,inf
25,110,0.5608963966369629,170.0
25,300,30,170.0
26,290,1.587733507156372,69.0
26,300,30,69.0
27,60,0.3448631763458252,124.0
27,300,30,124.0
28,250,1.1950616836547852,107.0
28,300,30,107.0
29,230,1.2189974784851074,50.0
29,240,1.250427007675171,38.0
29,300,30,38.0
30,20,0.139923095703125,22.0
30,300,30,22.0
31,300,30,inf
32,140,0.7275495529174805,96.0
32,210,1.0079598426818848,71.0
32,300,30,71.0
33,270,1.3868114948272705,61.0
33,290,1.4299583435058594,58.0
33,300,30,58.0
34,90,0.2869393825531006,129.0
34,170,0.6986439228057861,83.0
34,270,1.1154272556304932,81.0
34,300,30,81.0
35,300,30,inf
36,110,0.4641246795654297,81.0
36,300,30,81.0
37,200,0.9754452705383301,173.0
37,240,1.184899091720581,155.0
37,300,30,155.0
38,120,0.6050505638122559,36.0
38,180,0.8554716110229492,14.0
38,300,30,14.0
39,160,0.6582667827606201,75.0
39,300,30,75.0
40,80,0.3251209259033203,87.0
40,300,30,87.0
41,300,30,inf
42,80,0.279247522354126,70.0
42,280,1.4106676578521729,55.0
42,300,30,55.0
43,160,0.5662813186645508,145.0
43,260,1.1388108730316162,37.0
43,300,30,37.0
44,80,0.4391191005706787,88.0
44,100,0.4779841899871826,64.0
44,300,30,64.0
45,50,0.23644089698791504,68.0
45,160,0.7200531959533691,38.0
45,300,30,38.0
46,30,0.09836387634277344,14.0
46,300,30,14.0
47,230,1.0378971099853516,51.0
47,290,1.266434669494629,47.0
47,300,30,47.0
48,10,0.016824722290039062,35.0
48,300,30,35.0
49,20,0.05147862434387207,25.0
49,300,30,25.0
Num trials: 50
Success rate: 0.92
Average cost: 58.73913043478261
Cost STD: 35.91199072043661
Cost CI: 10.589868322475375
