trial,plan iters,plan time,best cost
0,10,0.023073434829711914,12.0
0,300,30,12.0
1,10,0.036815643310546875,50.0
1,70,0.4044969081878662,35.0
1,300,30,35.0
2,10,0.0039446353912353516,8.0
2,300,30,8.0
3,10,0.02975320816040039,46.0
3,60,0.25782299041748047,25.0
3,300,30,25.0
4,10,0.028170108795166016,51.0
4,200,1.1780247688293457,36.0
4,300,30,36.0
5,10,0.04209470748901367,34.0
5,300,30,34.0
6,10,0.01958298683166504,21.0
6,300,30,21.0
7,20,0.07044839859008789,12.0
7,300,30,12.0
8,10,0.04728293418884277,24.0
8,300,30,24.0
9,20,0.04543733596801758,35.0
9,40,0.16893601417541504,24.0
9,110,0.6101622581481934,21.0
9,300,30,21.0
10,10,0.01267385482788086,16.0
10,300,30,16.0
11,10,0.008450031280517578,19.0
11,300,30,19.0
12,10,0.044029951095581055,33.0
12,300,30,33.0
13,40,0.1712646484375,62.0
13,50,0.17682838439941406,59.0
13,60,0.18215656280517578,24.0
13,300,30,24.0
14,10,0.010235071182250977,18.0
14,300,30,18.0
15,30,0.13434910774230957,34.0
15,150,0.9483721256256104,31.0
15,300,30,31.0
16,10,0.010263204574584961,22.0
16,300,30,22.0
17,10,0.05111336708068848,53.0
17,20,0.11467337608337402,24.0
17,40,0.16432833671569824,21.0
17,300,30,21.0
18,10,0.05769610404968262,43.0
18,20,0.1102912425994873,39.0
18,100,0.49173903465270996,30.0
18,170,0.945892333984375,27.0
18,240,1.301377773284912,24.0
18,300,30,24.0
19,10,0.03485465049743652,12.0
19,300,30,12.0
20,10,0.017158031463623047,19.0
20,300,30,19.0
21,10,0.04198169708251953,48.0
21,140,0.8903028964996338,35.0
21,300,30,35.0
22,10,0.030167579650878906,24.0
22,300,30,24.0
23,10,0.020673274993896484,12.0
23,300,30,12.0
24,10,0.043662071228027344,85.0
24,30,0.10474991798400879,40.0
24,40,0.13177132606506348,32.0
24,180,0.8705716133117676,30.0
24,300,30,30.0
25,10,0.025726795196533203,27.0
25,20,0.06978964805603027,25.0
25,300,30,25.0
26,10,0.049096107482910156,55.0
26,50,0.3390076160430908,17.0
26,300,30,17.0
27,10,0.014003515243530273,30.0
27,30,0.05543184280395508,29.0
27,300,30,29.0
28,10,0.0038900375366210938,8.0
28,300,30,8.0
29,10,0.0027313232421875,5.0
29,300,30,5.0
30,10,0.0335841178894043,17.0
30,300,30,17.0
31,10,0.02358531951904297,16.0
31,300,30,16.0
32,30,0.10377120971679688,65.0
32,40,0.1535201072692871,41.0
32,300,30,41.0
33,30,0.16690921783447266,38.0
33,300,30,38.0
34,10,0.01580357551574707,23.0
34,100,0.5173885822296143,21.0
34,300,30,21.0
35,10,0.014296770095825195,7.0
35,190,1.0554907321929932,6.0
35,300,30,6.0
36,20,0.08614706993103027,67.0
36,100,0.535473108291626,56.0
36,300,30,56.0
37,10,0.021936416625976562,37.0
37,20,0.035047054290771484,31.0
37,200,1.1008355617523193,26.0
37,300,30,26.0
38,10,0.01630544662475586,30.0
38,300,30,30.0
39,10,0.07009291648864746,20.0
39,300,30,20.0
40,10,0.008076190948486328,15.0
40,300,30,15.0
41,10,0.020782470703125,44.0
41,20,0.04861736297607422,15.0
41,300,30,15.0
42,20,0.0363154411315918,43.0
42,50,0.12927961349487305,32.0
42,60,0.13366413116455078,29.0
42,300,30,29.0
43,10,0.020989656448364258,16.0
43,300,30,16.0
44,10,0.017933368682861328,29.0
44,250,1.524770736694336,22.0
44,300,30,22.0
45,20,0.12327122688293457,27.0
45,300,30,27.0
46,10,0.06399893760681152,50.0
46,20,0.06619119644165039,11.0
46,300,30,11.0
47,10,0.05463433265686035,30.0
47,300,30,30.0
48,10,0.02073359489440918,32.0
48,300,30,32.0
49,10,0.036073923110961914,33.0
49,30,0.08589410781860352,31.0
49,300,30,31.0
Num trials: 50
Success rate: 1.0
Average cost: 23.02
Cost STD: 9.902504733651988
Cost CI: 2.8008512991588828
