trial,plan iters,plan time,best cost
0,10,0.01928114891052246,24.0
0,300,30,24.0
1,10,0.01178431510925293,28.0
1,300,30,28.0
2,10,0.010321617126464844,26.0
2,300,30,26.0
3,10,0.007354021072387695,18.0
3,300,30,18.0
4,10,0.005068302154541016,12.0
4,300,30,12.0
5,10,0.009600400924682617,23.0
5,300,30,23.0
6,10,0.0031049251556396484,7.0
6,300,30,7.0
7,10,0.00484013557434082,11.0
7,300,30,11.0
8,10,0.004004240036010742,9.0
8,300,30,9.0
9,10,0.012319326400756836,30.0
9,300,30,30.0
10,10,0.0038671493530273438,9.0
10,300,30,9.0
11,10,0.019761085510253906,34.0
11,300,30,34.0
12,10,0.016066789627075195,39.0
12,300,30,39.0
13,10,0.007866859436035156,19.0
13,300,30,19.0
14,10,0.0040323734283447266,9.0
14,300,30,9.0
15,10,0.010522603988647461,25.0
15,300,30,25.0
16,10,0.0052716732025146484,13.0
16,300,30,13.0
17,10,0.006083965301513672,14.0
17,300,30,14.0
18,10,0.014337301254272461,34.0
18,300,30,34.0
19,10,0.015235662460327148,37.0
19,300,30,37.0
20,10,0.006259918212890625,15.0
20,300,30,15.0
21,10,0.011602401733398438,27.0
21,300,30,27.0
22,10,0.0038747787475585938,9.0
22,300,30,9.0
23,10,0.009200096130371094,23.0
23,300,30,23.0
24,10,0.008733034133911133,20.0
24,300,30,20.0
25,10,0.004790782928466797,11.0
25,300,30,11.0
26,10,0.00345611572265625,8.0
26,300,30,8.0
27,10,0.0603175163269043,27.0
27,300,30,27.0
28,10,0.0008232593536376953,1.0
28,300,30,1.0
29,10,0.013032674789428711,17.0
29,300,30,17.0
30,10,0.007409811019897461,18.0
30,300,30,18.0
31,10,0.00897836685180664,22.0
31,300,30,22.0
32,10,0.013293743133544922,31.0
32,300,30,31.0
33,10,0.011280536651611328,26.0
33,300,30,26.0
34,10,0.005450010299682617,13.0
34,300,30,13.0
35,10,0.003850221633911133,9.0
35,300,30,9.0
36,10,0.013247251510620117,30.0
36,300,30,30.0
37,10,0.015720129013061523,36.0
37,300,30,36.0
38,10,0.013784170150756836,33.0
38,300,30,33.0
39,10,0.011040449142456055,24.0
39,300,30,24.0
40,10,0.0008273124694824219,1.0
40,300,30,1.0
41,10,0.016902685165405273,40.0
41,300,30,40.0
42,10,0.00855565071105957,21.0
42,300,30,21.0
43,10,0.007831096649169922,19.0
43,300,30,19.0
44,10,0.012635469436645508,29.0
44,300,30,29.0
45,10,0.016294479370117188,37.0
45,300,30,37.0
46,10,0.014392614364624023,32.0
46,300,30,32.0
47,10,0.009694814682006836,24.0
47,300,30,24.0
48,10,0.0062062740325927734,15.0
48,300,30,15.0
49,10,0.013153076171875,29.0
49,300,30,29.0
Num trials: 50
Success rate: 1.0
Average cost: 21.36
Cost STD: 10.08912285582845
Cost CI: 2.853634875032193
