trial,plan iters,plan time,best cost
0,20,0.03662824630737305,14.0
0,300,30,14.0
1,80,0.13548803329467773,99.0
1,190,0.33269453048706055,55.0
1,300,30,55.0
2,250,0.4956839084625244,93.0
2,300,30,93.0
3,300,30,inf
4,170,0.2992420196533203,90.0
4,300,30,90.0
5,150,0.3404538631439209,77.0
5,230,0.4782412052154541,61.0
5,260,0.5213437080383301,45.0
5,300,30,45.0
6,160,0.35787153244018555,56.0
6,170,0.3668632507324219,43.0
6,300,30,43.0
7,280,0.4333767890930176,101.0
7,300,30,101.0
8,40,0.07813453674316406,41.0
8,300,30,41.0
9,170,0.33766889572143555,98.0
9,300,30,98.0
10,60,0.11639046669006348,59.0
10,300,30,59.0
11,290,0.5765738487243652,67.0
11,300,30,67.0
12,250,0.42325782775878906,85.0
12,300,30,85.0
13,20,0.012561321258544922,51.0
13,200,0.37689685821533203,40.0
13,300,30,40.0
14,300,30,inf
15,10,0.010200023651123047,19.0
15,300,30,19.0
16,70,0.13228249549865723,77.0
16,300,30,77.0
17,220,0.4225492477416992,30.0
17,300,30,30.0
18,110,0.21757769584655762,23.0
18,300,30,23.0
19,300,30,inf
20,80,0.1590416431427002,87.0
20,300,30,87.0
21,230,0.46385979652404785,83.0
21,300,30,83.0
22,280,0.5396082401275635,56.0
22,300,30,56.0
23,300,30,inf
24,30,0.09684419631958008,14.0
24,300,30,14.0
25,80,0.22037816047668457,38.0
25,300,30,38.0
26,250,0.4687073230743408,77.0
26,300,30,77.0
27,270,0.38964080810546875,121.0
27,300,30,121.0
28,300,30,inf
29,60,0.13405942916870117,81.0
29,300,30,81.0
30,180,0.35190868377685547,94.0
30,300,30,94.0
31,300,30,inf
32,10,0.0008039474487304688,7.0
32,30,0.04351925849914551,1.0
32,300,30,1.0
33,40,0.07125329971313477,118.0
33,100,0.27077555656433105,40.0
33,230,0.6347649097442627,32.0
33,300,30,32.0
34,120,0.2030189037322998,51.0
34,300,30,51.0
35,150,0.3919565677642822,66.0
35,240,0.5347888469696045,35.0
35,300,30,35.0
36,80,0.12586331367492676,80.0
36,300,30,80.0
37,260,0.4233112335205078,149.0
37,300,30,149.0
38,300,30,inf
39,80,0.13034629821777344,51.0
39,270,0.4168822765350342,33.0
39,300,30,33.0
40,160,0.3540611267089844,101.0
40,300,30,101.0
41,230,0.49726438522338867,85.0
41,300,30,85.0
42,180,0.3895883560180664,123.0
42,200,0.4015693664550781,106.0
42,300,30,106.0
43,300,30,inf
44,120,0.222456693649292,103.0
44,300,30,103.0
45,300,30,inf
46,120,0.24303221702575684,49.0
46,300,30,49.0
47,300,30,inf
48,70,0.10893106460571289,86.0
48,300,30,86.0
49,100,0.17194628715515137,48.0
49,300,30,48.0
Num trials: 50
Success rate: 0.8
Average cost: 64.75
Cost STD: 32.884456814732395
Cost CI: 10.398978315200006
