gradient_descent_sst best cost max,gradient_descent_sst best cost mean,gradient_descent_sst best cost min,gradient_descent_sst best cost std,gradient_descent_sst success fraction,gradient_descent_sst time,policy_guided_gradient_descent_sst best cost max,policy_guided_gradient_descent_sst best cost mean,policy_guided_gradient_descent_sst best cost min,policy_guided_gradient_descent_sst best cost std,policy_guided_gradient_descent_sst success fraction,policy_guided_gradient_descent_sst time,policy_guided_sst best cost max,policy_guided_sst best cost mean,policy_guided_sst best cost min,policy_guided_sst best cost std,policy_guided_sst success fraction,policy_guided_sst time,rl best cost max,rl best cost mean,rl best cost min,rl best cost std,rl success fraction,rl time,stable_sparse_rrt best cost max,stable_sparse_rrt best cost mean,stable_sparse_rrt best cost min,stable_sparse_rrt best cost std,stable_sparse_rrt success fraction,stable_sparse_rrt time
inf,71.97826086956522,4.0,40.58618801815454,0.0,0,98.0,38.86,8.0,20.109709097846245,0.0,0,85.0,31.14,5.0,17.578407208845743,0.0,0,40.0,21.36,1.0,10.08912285582845,0.0,0,inf,71.2,7.0,32.646745626478605,0.0,0
inf,71.9777142933528,4.0,40.58656496665186,0.16,0.1,98.0,36.21138506647954,8.0,20.56585186815465,0.62,0.1,66.66086490043033,27.591879028800225,5.0,14.785776281362306,0.9,0.1,40.0,21.36,1.0,10.08912285582845,1.0,0.1,inf,70.7030499555472,1.0,32.64083195137685,0.14,0.1
inf,71.64633785278215,4.0,40.51939665754876,0.24,0.2,98.0,32.019478931722404,8.0,17.98128826851442,0.98,0.2,64.21275393848065,24.942999262575473,5.0,11.767495270935049,1.0,0.2,40.0,21.36,1.0,10.08912285582845,1.0,0.2,inf,69.18100361134353,1.0,32.000563229055516,0.32,0.2
inf,71.06542027274425,4.0,40.56228080690852,0.36,0.30000000000000004,98.0,29.549326524908803,8.0,15.445567676668693,0.98,0.30000000000000004,61.76464297653095,24.284931829424202,5.0,11.201701618213203,1.0,0.30000000000000004,40.0,21.36,1.0,10.08912285582845,1.0,0.30000000000000004,inf,67.68291260387431,1.0,32.42075992666822,0.44,0.30000000000000004
inf,70.29472583887967,4.0,40.41491554939533,0.44,0.4,66.4752766910057,27.905914929333047,8.0,12.0700981075904,1.0,0.4,59.31653201458126,23.8932387399122,5.0,10.82684474676951,1.0,0.4,40.0,21.36,1.0,10.08912285582845,1.0,0.4,inf,66.31967154392225,1.0,32.296144671696524,0.6,0.4
inf,69.01263280944296,4.0,40.35191783249657,0.54,0.5,61.52869809180544,27.35858706485843,8.0,11.263544238137847,1.0,0.5,56.868421052631575,23.684533830094825,5.0,10.520512575203242,1.0,0.5,40.0,21.36,1.0,10.08912285582845,1.0,0.5,inf,65.21088512290692,1.0,32.56506588381239,0.76,0.5
inf,68.24714343062553,4.0,40.02541119138761,0.62,0.6,60.4026273080563,27.187437050665686,8.0,11.071672580226462,1.0,0.6,56.0,23.548850271136622,5.0,10.347381740332962,1.0,0.6,40.0,21.36,1.0,10.08912285582845,1.0,0.6,inf,64.76910215748924,1.0,32.865643755886836,0.8,0.6
inf,66.65581681713911,4.0,39.217080676163455,0.68,0.7,59.80660601606504,27.037474670861343,8.0,10.929424760326699,1.0,0.7,56.0,23.444138378605285,5.0,10.233073842801073,1.0,0.7,40.0,21.36,1.0,10.08912285582845,1.0,0.7,inf,64.75,1.0,32.884456814732395,0.8,0.7
inf,64.8015758408339,4.0,37.8987893176473,0.74,0.7999999999999999,59.505579989320594,26.882028101124448,8.0,10.848438875379504,1.0,0.7999999999999999,56.0,23.34080839727533,5.0,10.126234158158491,1.0,0.7999999999999999,40.0,21.36,1.0,10.08912285582845,1.0,0.7999999999999999,inf,64.75,1.0,32.884456814732395,0.8,0.7999999999999999
inf,62.1264014996857,4.0,37.04146967168986,0.74,0.8999999999999999,59.20455396257615,26.747613192859873,8.0,10.757899599017742,1.0,0.8999999999999999,56.0,23.242043765469116,5.0,10.031978243031658,1.0,0.8999999999999999,40.0,21.36,1.0,10.08912285582845,1.0,0.8999999999999999,inf,64.75,1.0,32.884456814732395,0.8,0.8999999999999999
