trial,plan iters,plan time,best cost
0,80,0.5532045364379883,55.0
0,140,0.9484677314758301,15.0
0,300,30,15.0
1,80,0.7569539546966553,75.0
1,150,1.269606590270996,62.0
1,300,30,62.0
2,270,2.0391929149627686,29.0
2,300,30,29.0
3,130,1.066901445388794,109.0
3,250,2.0519919395446777,106.0
3,300,30,106.0
4,10,0.10342192649841309,43.0
4,40,0.2682962417602539,33.0
4,300,30,33.0
5,240,1.9350032806396484,91.0
5,300,30,91.0
6,300,30,inf
7,180,1.4812397956848145,75.0
7,300,30,75.0
8,300,30,inf
9,80,0.6099824905395508,8.0
9,300,30,8.0
10,80,0.6132147312164307,9.0
10,300,30,9.0
11,140,1.2500102519989014,98.0
11,250,2.2966413497924805,97.0
11,300,30,97.0
12,250,1.9170849323272705,124.0
12,300,30,124.0
13,300,30,inf
14,160,1.2081730365753174,81.0
14,300,30,81.0
15,80,0.5797007083892822,160.0
15,110,0.7718644142150879,98.0
15,200,1.4939570426940918,97.0
15,300,30,97.0
16,140,1.1169347763061523,30.0
16,170,1.3460924625396729,17.0
16,300,30,17.0
17,300,30,inf
18,300,30,inf
19,90,0.5269582271575928,104.0
19,300,30,104.0
20,180,1.1981070041656494,47.0
20,300,30,47.0
21,230,1.589916706085205,63.0
21,300,30,63.0
22,20,0.19203615188598633,5.0
22,300,30,5.0
23,40,0.31874561309814453,33.0
23,300,30,33.0
24,70,0.4603710174560547,57.0
24,300,30,57.0
25,90,0.6166863441467285,119.0
25,240,1.7378520965576172,43.0
25,280,2.004044771194458,35.0
25,300,30,35.0
26,300,30,inf
27,300,30,inf
28,70,0.5657682418823242,63.0
28,180,1.6379880905151367,55.0
28,290,2.568453550338745,51.0
28,300,30,51.0
29,300,30,inf
30,300,30,inf
31,10,0.011757850646972656,34.0
31,300,30,34.0
32,200,1.8074836730957031,101.0
32,300,30,101.0
33,300,30,inf
34,220,1.718475341796875,56.0
34,300,30,56.0
35,230,1.947187900543213,65.0
35,300,30,65.0
36,140,1.3856291770935059,89.0
36,160,1.5018422603607178,73.0
36,300,30,73.0
37,30,0.2600069046020508,39.0
37,50,0.33023858070373535,38.0
37,300,30,38.0
38,30,0.17514705657958984,31.0
38,300,30,31.0
39,70,0.4891550540924072,103.0
39,90,0.6517212390899658,100.0
39,300,30,100.0
40,300,30,inf
41,110,0.8809976577758789,73.0
41,240,1.8750569820404053,71.0
41,300,30,71.0
42,300,30,inf
43,100,0.9529867172241211,41.0
43,170,1.7478630542755127,37.0
43,300,30,37.0
44,20,0.10483694076538086,9.0
44,300,30,9.0
45,140,1.1883294582366943,41.0
45,300,30,41.0
46,50,0.33769893646240234,47.0
46,300,30,47.0
47,50,0.4073598384857178,155.0
47,110,0.9377973079681396,25.0
47,300,30,25.0
48,300,30,inf
49,300,30,inf
Num trials: 50
Success rate: 0.72
Average cost: 54.638888888888886
Cost STD: 32.273271343479834
Cost CI: 10.757757114493279
