trial,plan iters,plan time,best cost
0,10,0.02704763412475586,23.0
0,20,0.04405379295349121,7.0
0,300,30,7.0
1,20,0.18412446975708008,83.0
1,300,30,83.0
2,10,0.016927003860473633,7.0
2,300,30,7.0
3,10,0.07594561576843262,29.0
3,80,1.003807783126831,23.0
3,300,30,23.0
4,20,0.22348427772521973,68.0
4,160,1.9923646450042725,56.0
4,300,30,56.0
5,30,0.24393606185913086,151.0
5,40,0.3148345947265625,102.0
5,160,1.688194990158081,101.0
5,300,30,101.0
6,10,0.10763239860534668,41.0
6,300,30,41.0
7,50,0.6306517124176025,154.0
7,60,0.731358528137207,140.0
7,170,2.043322801589966,125.0
7,300,30,125.0
8,20,0.13539886474609375,44.0
8,40,0.2645273208618164,42.0
8,300,30,42.0
9,10,0.10655808448791504,86.0
9,280,3.172011375427246,81.0
9,300,30,81.0
10,30,0.28058671951293945,35.0
10,180,1.948472023010254,32.0
10,300,30,32.0
11,70,0.7585551738739014,138.0
11,120,1.1517372131347656,115.0
11,290,3.020265579223633,99.0
11,300,30,99.0
12,10,0.011533260345458984,12.0
12,300,30,12.0
13,10,0.07085156440734863,32.0
13,300,30,32.0
14,20,0.25691843032836914,61.0
14,300,30,61.0
15,40,0.5004763603210449,70.0
15,50,0.5184807777404785,40.0
15,60,0.5697789192199707,31.0
15,100,0.9743072986602783,28.0
15,300,30,28.0
16,10,0.1723034381866455,46.0
16,160,1.9023056030273438,45.0
16,220,2.546234130859375,21.0
16,300,30,21.0
17,50,0.4932074546813965,77.0
17,300,30,77.0
18,70,0.6418848037719727,58.0
18,170,1.7354094982147217,46.0
18,300,30,46.0
19,30,0.22846198081970215,107.0
19,230,2.464397668838501,95.0
19,300,30,95.0
20,10,0.030695199966430664,37.0
20,30,0.13293838500976562,1.0
20,300,30,1.0
21,70,0.721717357635498,28.0
21,90,0.9628105163574219,26.0
21,110,1.136512041091919,25.0
21,300,30,25.0
22,10,0.06081867218017578,20.0
22,300,30,20.0
23,10,0.008466958999633789,17.0
23,300,30,17.0
24,10,0.03686976432800293,20.0
24,300,30,20.0
25,10,0.02511453628540039,21.0
25,300,30,21.0
26,40,0.3596053123474121,150.0
26,80,0.8293278217315674,87.0
26,300,30,87.0
27,40,0.3558676242828369,51.0
27,300,30,51.0
28,10,0.007493495941162109,4.0
28,300,30,4.0
29,30,0.26848602294921875,109.0
29,300,30,109.0
30,10,0.10795474052429199,8.0
30,300,30,8.0
31,40,0.336763858795166,57.0
31,50,0.40569519996643066,25.0
31,300,30,25.0
32,10,0.09713435173034668,46.0
32,70,0.774940013885498,16.0
32,300,30,16.0
33,10,0.04568791389465332,37.0
33,300,30,37.0
34,110,1.1673052310943604,92.0
34,140,1.4551539421081543,71.0
34,300,30,71.0
35,20,0.197068452835083,36.0
35,300,30,36.0
36,30,0.32347965240478516,38.0
36,180,2.0291919708251953,35.0
36,280,3.041595220565796,30.0
36,300,30,30.0
37,40,0.4597952365875244,86.0
37,60,0.6219828128814697,57.0
37,150,1.4778811931610107,42.0
37,200,1.9458038806915283,40.0
37,300,30,40.0
38,40,0.5578432083129883,84.0
38,90,1.0581879615783691,63.0
38,300,30,63.0
39,10,0.12123465538024902,33.0
39,300,30,33.0
40,10,0.03600430488586426,12.0
40,300,30,12.0
41,10,0.03197956085205078,24.0
41,300,30,24.0
42,20,0.2617630958557129,73.0
42,300,30,73.0
43,20,0.27377963066101074,34.0
43,170,1.7378337383270264,30.0
43,290,3.1010518074035645,25.0
43,300,3.1277883052825928,23.0
43,300,30,23.0
44,10,0.10143733024597168,51.0
44,300,30,51.0
45,10,0.027820348739624023,31.0
45,300,30,31.0
46,30,0.252307653427124,67.0
46,90,0.7597689628601074,48.0
46,160,1.484421968460083,42.0
46,270,2.6878743171691895,34.0
46,300,30,34.0
47,10,0.07228565216064453,65.0
47,20,0.09933900833129883,48.0
47,140,1.4478886127471924,37.0
47,300,30,37.0
48,10,0.028523921966552734,27.0
48,30,0.21280360221862793,25.0
48,90,0.7710270881652832,23.0
48,300,30,23.0
49,20,0.1497492790222168,94.0
49,300,30,94.0
Num trials: 50
Success rate: 1.0
Average cost: 43.7
Cost STD: 30.812497464502936
Cost CI: 8.715090360977332
