trial,plan iters,plan time,best cost
0,20,0.08741116523742676,40.0
0,300,30,40.0
1,20,0.07704639434814453,60.0
1,30,0.1285865306854248,23.0
1,300,30,23.0
2,30,0.15985870361328125,67.0
2,70,0.4384737014770508,48.0
2,300,30,48.0
3,10,0.014021635055541992,3.0
3,300,30,3.0
4,20,0.14786911010742188,80.0
4,180,1.1161799430847168,64.0
4,300,30,64.0
5,20,0.11027216911315918,51.0
5,40,0.2582249641418457,34.0
5,300,30,34.0
6,50,0.3362400531768799,131.0
6,290,1.7242627143859863,75.0
6,300,30,75.0
7,10,0.05719804763793945,33.0
7,300,30,33.0
8,20,0.09634590148925781,58.0
8,150,0.8529798984527588,56.0
8,300,30,56.0
9,40,0.23746132850646973,102.0
9,60,0.36138105392456055,54.0
9,300,30,54.0
10,20,0.10259819030761719,53.0
10,300,30,53.0
11,60,0.3402533531188965,111.0
11,120,0.6951072216033936,82.0
11,290,1.9515502452850342,31.0
11,300,30,31.0
12,50,0.3443458080291748,159.0
12,230,1.4570980072021484,136.0
12,300,30,136.0
13,90,0.5695030689239502,55.0
13,300,30,55.0
14,20,0.08051800727844238,28.0
14,90,0.5021805763244629,24.0
14,300,30,24.0
15,20,0.15123581886291504,106.0
15,60,0.39829182624816895,65.0
15,300,30,65.0
16,10,0.03152823448181152,17.0
16,300,30,17.0
17,30,0.23200011253356934,100.0
17,100,0.7392675876617432,79.0
17,200,1.4143569469451904,67.0
17,300,30,67.0
18,50,0.3308842182159424,108.0
18,90,0.5312304496765137,33.0
18,300,30,33.0
19,30,0.1373763084411621,86.0
19,300,30,86.0
20,20,0.07506513595581055,42.0
20,80,0.4543170928955078,35.0
20,100,0.5088129043579102,31.0
20,300,30,31.0
21,20,0.10289287567138672,42.0
21,60,0.2984471321105957,40.0
21,300,30,40.0
22,10,0.010293960571289062,18.0
22,300,30,18.0
23,30,0.15873289108276367,62.0
23,300,30,62.0
24,40,0.19534659385681152,101.0
24,70,0.4063560962677002,38.0
24,300,30,38.0
25,20,0.10410499572753906,18.0
25,40,0.23113489151000977,16.0
25,300,30,16.0
26,10,0.00712275505065918,14.0
26,300,30,14.0
27,10,0.12006950378417969,60.0
27,40,0.29302072525024414,49.0
27,300,30,49.0
28,20,0.0807352066040039,63.0
28,300,30,63.0
29,20,0.09671926498413086,27.0
29,300,30,27.0
30,30,0.17657232284545898,71.0
30,60,0.31896114349365234,61.0
30,90,0.5267443656921387,27.0
30,300,30,27.0
31,40,0.22828078269958496,80.0
31,300,30,80.0
32,10,0.013794660568237305,27.0
32,300,30,27.0
33,20,0.12489533424377441,86.0
33,40,0.23178505897521973,28.0
33,100,0.5666251182556152,25.0
33,300,30,25.0
34,10,0.0017766952514648438,3.0
34,300,30,3.0
35,70,0.35628247261047363,153.0
35,190,1.0719106197357178,98.0
35,300,30,98.0
36,10,0.02144026756286621,43.0
36,270,1.646538257598877,38.0
36,300,30,38.0
37,40,0.2353804111480713,102.0
37,50,0.2391512393951416,87.0
37,250,1.5302181243896484,58.0
37,300,30,58.0
38,10,0.01553201675415039,30.0
38,80,0.5332753658294678,13.0
38,300,30,13.0
39,30,0.1480722427368164,71.0
39,250,1.5253546237945557,65.0
39,300,30,65.0
40,40,0.2256455421447754,48.0
40,100,0.5447978973388672,46.0
40,140,0.7591559886932373,42.0
40,300,30,42.0
41,30,0.14617204666137695,70.0
41,70,0.33712005615234375,43.0
41,300,30,43.0
42,30,0.12653040885925293,47.0
42,300,30,47.0
43,10,0.06067991256713867,64.0
43,20,0.10287833213806152,27.0
43,300,30,27.0
44,10,0.008166074752807617,17.0
44,300,30,17.0
45,10,0.013230085372924805,21.0
45,300,30,21.0
46,10,0.07293200492858887,88.0
46,190,1.0781810283660889,75.0
46,300,30,75.0
47,20,0.15127158164978027,136.0
47,160,0.987889289855957,135.0
47,300,30,135.0
48,30,0.14438986778259277,113.0
48,190,1.1409151554107666,108.0
48,300,30,108.0
49,10,0.05408334732055664,53.0
49,20,0.0717470645904541,40.0
49,300,30,40.0
Num trials: 50
Success rate: 1.0
Average cost: 46.88
Cost STD: 29.443260688992993
Cost CI: 8.327811717372098
