trial,plan iters,plan time,best cost
0,10,0.04413247108459473,81.0
0,300,30,81.0
1,10,0.018387556076049805,42.0
1,300,30,42.0
2,10,0.054448604583740234,90.0
2,300,30,90.0
3,20,0.06709098815917969,122.0
3,300,30,122.0
4,10,0.00783991813659668,15.0
4,300,30,15.0
5,10,0.01658153533935547,40.0
5,300,30,40.0
6,10,0.01870274543762207,44.0
6,300,30,44.0
7,10,0.01585865020751953,38.0
7,300,30,38.0
8,10,0.008474588394165039,20.0
8,300,30,20.0
9,10,0.01736927032470703,41.0
9,300,30,41.0
10,10,0.01978158950805664,46.0
10,300,30,46.0
11,10,0.0016770362854003906,3.0
11,300,30,3.0
12,10,0.0038912296295166016,8.0
12,300,30,8.0
13,10,0.010093212127685547,22.0
13,300,30,22.0
14,10,0.020367860794067383,48.0
14,300,30,48.0
15,10,0.0020499229431152344,4.0
15,300,30,4.0
16,10,0.006898641586303711,16.0
16,300,30,16.0
17,10,0.03375816345214844,53.0
17,300,30,53.0
18,10,0.04621624946594238,71.0
18,300,30,71.0
19,10,0.03802633285522461,64.0
19,300,30,64.0
20,10,0.03287339210510254,58.0
20,300,30,58.0
21,10,0.021165847778320312,49.0
21,300,30,49.0
22,10,0.02501678466796875,45.0
22,300,30,45.0
23,10,0.012967109680175781,29.0
23,300,30,29.0
24,10,0.009198904037475586,22.0
24,300,30,22.0
25,30,0.17932844161987305,350.0
25,300,30,350.0
26,10,0.0032002925872802734,7.0
26,300,30,7.0
27,10,0.013113737106323242,30.0
27,300,30,30.0
28,10,0.043775320053100586,51.0
28,300,30,51.0
29,10,0.07726764678955078,152.0
29,300,30,152.0
30,10,0.04297828674316406,82.0
30,300,30,82.0
31,10,0.006435394287109375,15.0
31,300,30,15.0
32,10,0.014920949935913086,34.0
32,300,30,34.0
33,10,0.05208110809326172,85.0
33,300,30,85.0
34,10,0.02940821647644043,58.0
34,300,30,58.0
35,10,0.07172322273254395,114.0
35,300,30,114.0
36,10,0.0057926177978515625,14.0
36,300,30,14.0
37,10,0.0200040340423584,35.0
37,300,30,35.0
38,10,0.008251667022705078,18.0
38,300,30,18.0
39,10,0.03247523307800293,51.0
39,300,30,51.0
40,10,0.051996469497680664,87.0
40,300,30,87.0
41,10,0.05055642127990723,82.0
41,300,30,82.0
42,10,0.06828880310058594,58.0
42,300,30,58.0
43,10,0.044931650161743164,84.0
43,300,30,84.0
44,10,0.06546926498413086,119.0
44,300,30,119.0
45,10,0.01946115493774414,46.0
45,300,30,46.0
46,10,0.03501248359680176,58.0
46,300,30,58.0
47,10,0.03315258026123047,57.0
47,300,30,57.0
48,10,0.025536060333251953,49.0
48,300,30,49.0
49,10,0.09197068214416504,45.0
49,300,30,45.0
Num trials: 50
Success rate: 1.0
Average cost: 57.04
Cost STD: 52.81021113383282
Cost CI: 14.9369833634506
