trial,plan iters,plan time,best cost
0,200,0.36406540870666504,59.0
0,300,30,59.0
1,300,30,inf
2,80,0.20319485664367676,43.0
2,300,30,43.0
3,200,0.30101871490478516,41.0
3,230,0.38413524627685547,26.0
3,300,30,26.0
4,300,30,inf
5,300,30,inf
6,300,30,inf
7,300,30,inf
8,260,0.4931154251098633,55.0
8,300,30,55.0
9,150,0.26736021041870117,120.0
9,240,0.4468090534210205,117.0
9,300,30,117.0
10,300,0.5261480808258057,36.0
10,300,30,36.0
11,20,0.029922008514404297,30.0
11,300,30,30.0
12,300,30,inf
13,280,0.6277670860290527,100.0
13,300,30,100.0
14,300,30,inf
15,10,0.0008895397186279297,8.0
15,20,0.004569053649902344,6.0
15,30,0.009207487106323242,5.0
15,300,30,5.0
16,160,0.35309314727783203,51.0
16,300,30,51.0
17,200,0.4324653148651123,73.0
17,300,30,73.0
18,90,0.12855052947998047,52.0
18,100,0.16593050956726074,50.0
18,220,0.4258294105529785,44.0
18,300,30,44.0
19,300,30,inf
20,80,0.15639042854309082,121.0
20,120,0.24096369743347168,82.0
20,300,30,82.0
21,60,0.1364755630493164,87.0
21,70,0.17379140853881836,38.0
21,160,0.370957612991333,36.0
21,190,0.4533109664916992,34.0
21,300,30,34.0
22,70,0.21710705757141113,25.0
22,300,30,25.0
23,10,0.001978635787963867,19.0
23,300,30,19.0
24,300,30,inf
25,280,0.5475687980651855,115.0
25,300,30,115.0
26,80,0.1449272632598877,93.0
26,140,0.2209796905517578,57.0
26,300,30,57.0
27,110,0.235215425491333,81.0
27,300,30,81.0
28,290,0.6296389102935791,23.0
28,300,30,23.0
29,200,0.32974743843078613,113.0
29,300,30,113.0
30,300,30,inf
31,270,0.5436978340148926,208.0
31,300,30,208.0
32,40,0.039212942123413086,77.0
32,70,0.07776856422424316,75.0
32,100,0.11719059944152832,36.0
32,300,0.5745828151702881,25.0
32,300,30,25.0
33,20,0.02226400375366211,46.0
33,300,30,46.0
34,20,0.03918313980102539,37.0
34,300,30,37.0
35,300,30,inf
36,300,30,inf
37,300,30,inf
38,300,30,inf
39,290,0.5277915000915527,118.0
39,300,30,118.0
40,300,30,inf
41,10,0.014651775360107422,4.0
41,70,0.08952188491821289,3.0
41,300,30,3.0
42,300,30,inf
43,300,0.5212724208831787,68.0
43,300,30,68.0
44,300,30,inf
45,300,30,inf
46,300,30,inf
47,300,30,inf
48,60,0.09643864631652832,92.0
48,200,0.337019681930542,86.0
48,300,30,86.0
49,190,0.2896709442138672,23.0
49,300,30,23.0
Num trials: 50
Success rate: 0.6
Average cost: 60.06666666666667
Cost STD: 43.058822815100534
Cost CI: 15.722859036965774
