trial,plan iters,plan time,best cost
0,10,0.07913541793823242,7.0
0,890,26.758716583251953,6.0
0,3000,300,6.0
1,3000,300,inf
2,3000,300,inf
3,10,0.06659722328186035,7.0
3,3000,300,7.0
4,3000,300,inf
5,3000,300,inf
6,10,0.0404508113861084,8.0
6,80,1.6387650966644287,7.0
6,3000,300,7.0
7,20,0.4543271064758301,24.0
7,50,1.0571131706237793,12.0
7,340,9.469530820846558,11.0
7,3000,300,11.0
8,3000,300,inf
9,10,0.03942275047302246,4.0
9,3000,300,4.0
10,3000,300,inf
11,10,0.042829275131225586,11.0
11,3000,300,11.0
12,30,0.9048645496368408,26.0
12,80,1.9320392608642578,11.0
12,3000,300,11.0
13,10,0.06479930877685547,11.0
13,20,0.3383777141571045,10.0
13,3000,300,10.0
14,10,0.05819225311279297,12.0
14,3000,300,12.0
15,10,0.020562171936035156,5.0
15,3000,300,5.0
16,10,0.27410054206848145,12.0
16,1040,32.873263359069824,11.0
16,2330,92.54177570343018,9.0
16,3000,300,9.0
17,3000,300,inf
18,10,0.06742048263549805,7.0
18,50,1.0437378883361816,6.0
18,3000,300,6.0
19,10,0.04217338562011719,10.0
19,3000,300,10.0
20,3000,300,inf
21,10,0.1143033504486084,8.0
21,20,0.21043133735656738,7.0
21,3000,300,7.0
22,10,0.1765294075012207,9.0
22,3000,300,9.0
23,10,0.12352705001831055,32.0
23,20,0.26880955696105957,29.0
23,30,0.37253642082214355,15.0
23,40,0.4567832946777344,14.0
23,2110,78.67840123176575,12.0
23,3000,300,12.0
24,10,0.2930765151977539,11.0
24,3000,300,11.0
25,10,0.26680994033813477,33.0
25,40,1.2047407627105713,18.0
25,3000,300,18.0
26,10,0.27683281898498535,47.0
26,20,0.3460533618927002,35.0
26,30,0.5671944618225098,23.0
26,50,1.1482384204864502,7.0
26,3000,300,7.0
27,10,0.10789895057678223,37.0
27,20,0.23304224014282227,32.0
27,50,0.7791962623596191,14.0
27,240,5.669030427932739,13.0
27,3000,300,13.0
28,10,0.060248374938964844,10.0
28,3000,300,10.0
29,10,0.17221617698669434,4.0
29,3000,300,4.0
30,10,0.14284586906433105,13.0
30,20,0.34163808822631836,10.0
30,640,17.912671089172363,9.0
30,3000,300,9.0
31,1930,164.96841073036194,60.0
31,3000,300,60.0
32,10,0.05844855308532715,7.0
32,3000,300,7.0
33,10,0.16104912757873535,11.0
33,40,0.7640631198883057,7.0
33,3000,300,7.0
34,3000,300,inf
35,20,0.7623391151428223,9.0
35,3000,300,9.0
36,10,0.08728313446044922,9.0
36,2810,110.80515646934509,8.0
36,3000,300,8.0
37,3000,300,inf
38,10,0.26128649711608887,16.0
38,200,5.756619215011597,11.0
38,2180,95.55473613739014,9.0
38,3000,300,9.0
39,10,0.13154935836791992,10.0
39,3000,300,10.0
40,10,0.2124805450439453,8.0
40,3000,300,8.0
41,10,0.09056901931762695,14.0
41,20,0.21530652046203613,10.0
41,70,1.4383411407470703,8.0
41,3000,300,8.0
42,10,0.2698521614074707,22.0
42,30,0.531160831451416,12.0
42,470,13.230857610702515,11.0
42,3000,300,11.0
43,10,0.1555633544921875,17.0
43,40,1.050750494003296,16.0
43,100,2.816601037979126,14.0
43,3000,300,14.0
44,10,0.13733792304992676,7.0
44,30,0.5260920524597168,5.0
44,3000,300,5.0
45,3000,300,inf
46,10,0.07235074043273926,7.0
46,20,0.189375638961792,6.0
46,3000,300,6.0
47,2870,265.745534658432,35.0
47,3000,300,35.0
48,10,0.17590928077697754,31.0
48,20,0.5198080539703369,9.0
48,3000,300,9.0
49,10,0.028298616409301758,7.0
49,3000,300,7.0
Num trials: 50
Success rate: 0.78
Average cost: 10.820512820512821
Cost STD: 9.407775820610379
Cost CI: 3.012899547132957
