trial,plan iters,plan time,best cost
0,300,30,inf
1,10,0.05915093421936035,12.0
1,300,30,12.0
2,300,30,inf
3,300,30,inf
4,300,30,inf
5,300,30,inf
6,10,0.058126211166381836,12.0
6,300,30,12.0
7,300,30,inf
8,10,0.052496910095214844,10.0
8,300,30,10.0
9,300,30,inf
10,300,30,inf
11,300,30,inf
12,10,0.05347275733947754,11.0
12,300,30,11.0
13,300,30,inf
14,10,0.017033815383911133,3.0
14,300,30,3.0
15,300,30,inf
16,300,30,inf
17,300,30,inf
18,10,0.03235483169555664,8.0
18,300,30,8.0
19,10,0.05097484588623047,10.0
19,300,30,10.0
20,10,0.03930974006652832,8.0
20,300,30,8.0
21,300,30,inf
22,10,0.05036020278930664,10.0
22,300,30,10.0
23,300,30,inf
24,300,30,inf
25,10,0.14981365203857422,26.0
25,300,30,26.0
26,300,30,inf
27,300,30,inf
28,10,0.023797988891601562,6.0
28,300,30,6.0
29,300,30,inf
30,10,0.04380440711975098,11.0
30,300,30,11.0
31,300,30,inf
32,300,30,inf
33,10,0.07799887657165527,12.0
33,300,30,12.0
34,10,0.042344093322753906,11.0
34,300,30,11.0
35,300,30,inf
36,10,0.06540274620056152,11.0
36,300,30,11.0
37,300,30,inf
38,10,0.006544351577758789,1.0
38,300,30,1.0
39,300,30,inf
40,10,0.0642099380493164,14.0
40,300,30,14.0
41,10,0.01905059814453125,5.0
41,300,30,5.0
42,300,30,inf
43,10,0.05372118949890137,12.0
43,300,30,12.0
44,300,30,inf
45,10,0.041318416595458984,9.0
45,300,30,9.0
46,10,0.06186819076538086,11.0
46,300,30,11.0
47,300,30,inf
48,300,30,inf
49,300,30,inf
50,10,0.048150062561035156,11.0
50,300,30,11.0
51,10,0.06788063049316406,10.0
51,300,30,10.0
52,300,30,inf
53,300,30,inf
54,10,0.023431062698364258,6.0
54,300,30,6.0
55,300,30,inf
56,300,30,inf
57,10,0.0066606998443603516,1.0
57,300,30,1.0
58,10,0.006186246871948242,1.0
58,300,30,1.0
59,10,0.04740190505981445,11.0
59,300,30,11.0
60,300,30,inf
61,300,30,inf
62,300,30,inf
63,10,0.029984235763549805,8.0
63,300,30,8.0
64,300,30,inf
