trial,plan iters,plan time,best cost
0,10,0.2984127998352051,11.0
0,30,0.9391701221466064,10.0
0,3000,300,10.0
1,30,1.710564136505127,26.0
1,450,26.18112540245056,24.0
1,3000,300,24.0
2,20,0.7100706100463867,25.0
2,30,1.474914789199829,12.0
2,410,22.62672758102417,11.0
2,3000,300,11.0
3,10,0.20075011253356934,38.0
3,20,0.30084800720214844,32.0
3,30,0.431865930557251,29.0
3,60,1.4016146659851074,20.0
3,100,3.3329217433929443,18.0
3,150,5.601663589477539,16.0
3,230,9.834380626678467,9.0
3,3000,300,9.0
4,20,0.7265779972076416,20.0
4,30,1.0499722957611084,9.0
4,3000,300,9.0
5,10,0.167250394821167,9.0
5,3000,300,9.0
6,10,0.2763559818267822,28.0
6,20,0.4710707664489746,27.0
6,30,0.64691162109375,24.0
6,90,4.18506646156311,23.0
6,270,14.379094362258911,17.0
6,1400,88.5085563659668,16.0
6,1510,96.7896683216095,15.0
6,3000,300,15.0
7,10,0.07007598876953125,6.0
7,3000,300,6.0
8,10,0.12714576721191406,26.0
8,20,0.23829078674316406,12.0
8,70,2.785092830657959,11.0
8,2980,200.03561639785767,10.0
8,3000,300,10.0
9,10,0.04597663879394531,10.0
9,3000,300,10.0
10,10,0.03267717361450195,6.0
10,3000,300,6.0
11,10,0.10479545593261719,8.0
11,3000,300,8.0
12,10,0.2090778350830078,12.0
12,40,1.6700940132141113,10.0
12,3000,300,10.0
13,20,0.7575314044952393,15.0
13,3000,300,15.0
14,10,0.09345245361328125,9.0
14,3000,300,9.0
15,10,0.09209156036376953,11.0
15,30,0.9186792373657227,10.0
15,460,24.127397537231445,7.0
15,3000,300,7.0
16,10,0.3071615695953369,28.0
16,30,0.8265368938446045,27.0
16,50,2.0052974224090576,20.0
16,540,32.341639280319214,15.0
16,3000,300,15.0
17,10,0.3266463279724121,23.0
17,20,0.4951469898223877,11.0
17,40,1.0712089538574219,10.0
17,120,4.396479845046997,9.0
17,3000,300,9.0
18,20,0.6432974338531494,12.0
18,3000,300,12.0
19,10,0.08012676239013672,16.0
19,20,0.5832841396331787,15.0
19,180,9.209537744522095,10.0
19,3000,300,10.0
20,10,0.5352580547332764,22.0
20,100,5.3986592292785645,15.0
20,1440,89.77161836624146,9.0
20,3000,300,9.0
21,10,0.14412379264831543,20.0
21,70,3.192852735519409,12.0
21,150,7.75145697593689,7.0
21,3000,300,7.0
22,10,0.21901583671569824,14.0
22,3000,300,14.0
23,10,0.18517756462097168,8.0
23,3000,300,8.0
24,10,0.1663985252380371,7.0
24,3000,300,7.0
25,10,0.2641453742980957,9.0
25,3000,300,9.0
26,10,0.01854228973388672,1.0
26,3000,300,1.0
27,10,0.23746347427368164,23.0
27,20,0.47544360160827637,21.0
27,40,1.246736764907837,16.0
27,80,3.6760659217834473,12.0
27,3000,300,12.0
28,10,0.17690134048461914,11.0
28,40,1.1701407432556152,10.0
28,3000,300,10.0
29,10,0.26238250732421875,7.0
29,20,0.46451854705810547,6.0
29,3000,300,6.0
30,20,0.5618326663970947,16.0
30,3000,300,16.0
31,10,0.28605222702026367,19.0
31,40,1.853313684463501,13.0
31,3000,300,13.0
32,10,0.061327457427978516,10.0
32,3000,300,10.0
33,10,0.06730937957763672,1.0
33,3000,300,1.0
34,10,0.13272619247436523,10.0
34,3000,300,10.0
35,10,0.08182311058044434,18.0
35,170,8.638653755187988,17.0
35,3000,300,17.0
36,10,0.12101078033447266,9.0
36,20,0.21835660934448242,8.0
36,3000,300,8.0
37,10,0.11378335952758789,14.0
37,3000,300,14.0
38,10,0.0799567699432373,14.0
38,50,1.9941215515136719,13.0
38,3000,300,13.0
39,10,0.4763963222503662,31.0
39,20,0.7422399520874023,26.0
39,70,3.336521863937378,14.0
39,80,3.615776538848877,11.0
39,3000,300,11.0
40,10,0.02892780303955078,7.0
40,3000,300,7.0
41,10,0.13863348960876465,11.0
41,40,1.5649058818817139,9.0
41,3000,300,9.0
42,10,0.09824585914611816,5.0
42,3000,300,5.0
43,10,0.7071764469146729,26.0
43,40,1.9490232467651367,21.0
43,310,16.497037887573242,11.0
43,3000,300,11.0
44,10,0.3253347873687744,8.0
44,3000,300,8.0
45,10,0.3583977222442627,38.0
45,20,0.4655482769012451,30.0
45,30,1.0174221992492676,11.0
45,260,11.652231216430664,9.0
45,3000,300,9.0
46,10,0.08281278610229492,18.0
46,50,1.807765245437622,12.0
46,180,8.761600971221924,11.0
46,3000,300,11.0
47,10,0.25788331031799316,17.0
47,20,0.5668458938598633,16.0
47,320,16.910513162612915,13.0
47,3000,300,13.0
48,10,0.40126609802246094,40.0
48,20,0.787205696105957,22.0
48,70,3.543961524963379,15.0
48,3000,300,15.0
49,10,0.08546066284179688,8.0
49,130,5.254315137863159,7.0
49,3000,300,7.0
Num trials: 50
Success rate: 1.0
Average cost: 10.1
Cost STD: 3.889730067755345
Cost CI: 1.1001818031580053
