trial,plan iters,plan time,best cost
0,10,0.08522558212280273,10.0
0,3000,300,10.0
1,10,0.04590487480163574,25.0
1,20,0.06382608413696289,10.0
1,30,0.18449783325195312,1.0
1,3000,300,1.0
2,10,0.1639692783355713,33.0
2,20,0.4146304130554199,21.0
2,30,0.6400055885314941,9.0
2,3000,300,9.0
3,10,0.1903667449951172,21.0
3,20,0.39028429985046387,19.0
3,1430,53.677979707717896,17.0
3,1610,61.445791244506836,16.0
3,3000,300,16.0
4,10,0.05605745315551758,14.0
4,60,1.4198849201202393,13.0
4,180,5.512081623077393,12.0
4,1020,35.0561363697052,8.0
4,3000,300,8.0
5,10,0.19953489303588867,13.0
5,3000,300,13.0
6,10,0.26433420181274414,15.0
6,20,0.32373666763305664,14.0
6,310,6.522792816162109,12.0
6,1010,27.64565944671631,4.0
6,3000,300,4.0
7,10,0.10541105270385742,12.0
7,20,0.20923447608947754,9.0
7,30,0.25490260124206543,8.0
7,3000,300,8.0
8,10,0.1967177391052246,8.0
8,3000,300,8.0
9,10,0.11784887313842773,18.0
9,40,0.9459702968597412,14.0
9,3000,300,14.0
10,10,0.14431977272033691,14.0
10,2830,131.56437468528748,9.0
10,3000,300,9.0
11,10,0.4298520088195801,56.0
11,30,0.9635684490203857,29.0
11,60,1.6561708450317383,11.0
11,90,2.3717291355133057,6.0
11,3000,300,6.0
12,10,0.03597402572631836,9.0
12,3000,300,9.0
13,10,0.19246959686279297,28.0
13,20,0.36159300804138184,19.0
13,30,0.4157741069793701,11.0
13,3000,300,11.0
14,30,0.8872120380401611,20.0
14,70,2.10564923286438,18.0
14,260,8.426459789276123,14.0
14,3000,300,14.0
15,10,0.12768769264221191,24.0
15,470,14.638836145401001,22.0
15,840,27.905707120895386,19.0
15,1820,70.47399687767029,18.0
15,3000,300,18.0
16,10,0.08595490455627441,10.0
16,3000,300,10.0
17,10,0.2582283020019531,13.0
17,20,0.4824705123901367,10.0
17,3000,300,10.0
18,10,0.037732601165771484,9.0
18,3000,300,9.0
19,10,0.03763747215270996,9.0
19,3000,300,9.0
20,10,0.09090089797973633,14.0
20,3000,300,14.0
21,10,0.20669102668762207,29.0
21,30,0.6009485721588135,22.0
21,80,1.9920799732208252,21.0
21,220,6.188264846801758,16.0
21,1880,68.7962703704834,13.0
21,2530,101.40376615524292,12.0
21,3000,300,12.0
22,10,0.15719032287597656,12.0
22,3000,300,12.0
23,10,0.055899858474731445,5.0
23,3000,300,5.0
24,20,0.49024486541748047,14.0
24,300,9.563229322433472,13.0
24,3000,300,13.0
25,10,0.08447527885437012,14.0
25,20,0.14538025856018066,10.0
25,3000,300,10.0
26,10,0.04189491271972656,22.0
26,20,0.047147512435913086,1.0
26,3000,300,1.0
27,10,0.05918741226196289,8.0
27,3000,300,8.0
28,10,0.04181718826293945,10.0
28,3000,300,10.0
29,10,0.2234189510345459,46.0
29,20,0.3746929168701172,12.0
29,1080,38.82344079017639,11.0
29,3000,300,11.0
30,10,0.02621912956237793,7.0
30,3000,300,7.0
31,20,0.5824675559997559,40.0
31,40,1.0017673969268799,28.0
31,120,3.268834352493286,18.0
31,130,3.508723735809326,12.0
31,3000,300,12.0
32,10,0.03835272789001465,9.0
32,3000,300,9.0
33,20,0.5539515018463135,14.0
33,2850,125.38398742675781,13.0
33,3000,300,13.0
34,10,0.13678312301635742,28.0
34,830,23.474574327468872,9.0
34,3000,300,9.0
35,10,0.10942912101745605,10.0
35,3000,300,10.0
36,10,0.09991979598999023,42.0
36,20,0.1835792064666748,6.0
36,3000,300,6.0
37,30,0.7656803131103516,22.0
37,480,14.211380004882812,14.0
37,3000,300,14.0
38,30,0.7089874744415283,13.0
38,3000,300,13.0
39,10,0.13819575309753418,21.0
39,110,2.819932222366333,13.0
39,3000,300,13.0
40,10,0.3382585048675537,11.0
40,330,9.978742837905884,9.0
40,3000,300,9.0
41,10,0.04297518730163574,16.0
41,20,0.12529587745666504,6.0
41,3000,300,6.0
42,20,0.25068140029907227,29.0
42,30,0.5618960857391357,13.0
42,3000,300,13.0
43,20,0.4993007183074951,32.0
43,30,0.6970317363739014,28.0
43,40,0.8632776737213135,18.0
43,870,28.449012756347656,14.0
43,1170,39.717870235443115,13.0
43,3000,300,13.0
44,20,0.3971123695373535,45.0
44,40,0.9408764839172363,16.0
44,50,0.9938194751739502,8.0
44,3000,300,8.0
45,10,0.3903927803039551,28.0
45,110,3.607245683670044,20.0
45,130,4.435089349746704,18.0
45,160,5.171101808547974,9.0
45,3000,300,9.0
46,10,0.265667200088501,44.0
46,30,0.6072616577148438,26.0
46,150,4.1155009269714355,25.0
46,330,9.617276430130005,19.0
46,650,20.109596252441406,8.0
46,3000,300,8.0
47,10,0.30426621437072754,49.0
47,50,1.3984251022338867,15.0
47,260,7.528937339782715,14.0
47,3000,300,14.0
48,10,0.26409339904785156,21.0
48,20,0.3812832832336426,18.0
48,90,2.643592357635498,17.0
48,3000,300,17.0
49,10,0.09756350517272949,33.0
49,70,1.8981812000274658,14.0
49,460,14.615515947341919,13.0
49,520,16.488431215286255,11.0
49,3000,300,11.0
Num trials: 50
Success rate: 1.0
Average cost: 10.12
Cost STD: 3.5193181157718607
Cost CI: 0.9954134819259783
