trial,plan iters,plan time,best cost
0,10,0.02962183952331543,6.0
0,300,30,6.0
1,10,0.057279109954833984,13.0
1,300,30,13.0
2,10,0.10457062721252441,18.0
2,300,30,18.0
3,10,0.06548857688903809,11.0
3,300,30,11.0
4,10,0.03261065483093262,8.0
4,300,30,8.0
5,10,0.05055379867553711,9.0
5,300,30,9.0
6,10,0.05817770957946777,14.0
6,300,30,14.0
7,10,0.041321516036987305,8.0
7,300,30,8.0
8,10,0.06905436515808105,14.0
8,300,30,14.0
9,10,0.05681753158569336,11.0
9,300,30,11.0
10,10,0.03941512107849121,7.0
10,300,30,7.0
11,10,0.03184366226196289,7.0
11,300,30,7.0
12,10,0.05844998359680176,16.0
12,300,30,16.0
13,10,0.054819345474243164,12.0
13,300,30,12.0
14,10,0.08056354522705078,16.0
14,300,30,16.0
15,10,0.10558032989501953,21.0
15,300,30,21.0
16,10,0.038205623626708984,9.0
16,300,30,9.0
17,10,0.006886720657348633,1.0
17,300,30,1.0
18,10,0.05865836143493652,13.0
18,300,30,13.0
19,10,0.035970211029052734,10.0
19,300,30,10.0
20,10,0.046230316162109375,11.0
20,300,30,11.0
21,10,0.005727291107177734,1.0
21,300,30,1.0
22,10,0.037940263748168945,8.0
22,300,30,8.0
23,10,0.06867456436157227,17.0
23,300,30,17.0
24,10,0.022444963455200195,5.0
24,300,30,5.0
25,10,0.0467677116394043,10.0
25,300,30,10.0
26,10,0.0326845645904541,8.0
26,300,30,8.0
27,10,0.052275896072387695,10.0
27,300,30,10.0
28,10,0.06447672843933105,16.0
28,300,30,16.0
29,10,0.12264299392700195,26.0
29,300,30,26.0
30,10,0.047301530838012695,10.0
30,300,30,10.0
31,10,0.08525419235229492,21.0
31,300,30,21.0
32,10,0.04719257354736328,10.0
32,300,30,10.0
33,10,0.06650042533874512,13.0
33,300,30,13.0
34,10,0.04012751579284668,9.0
34,300,30,9.0
35,10,0.06445121765136719,12.0
35,300,30,12.0
36,300,30,inf
37,10,0.007420539855957031,1.0
37,300,30,1.0
38,10,0.0843808650970459,17.0
38,300,30,17.0
39,10,0.06870245933532715,11.0
39,300,30,11.0
40,10,0.12829256057739258,26.0
40,300,30,26.0
41,10,0.06584453582763672,14.0
41,300,30,14.0
42,10,0.04790353775024414,10.0
42,300,30,10.0
43,10,0.005718231201171875,1.0
43,300,30,1.0
44,10,0.00675201416015625,1.0
44,300,30,1.0
45,10,0.006707191467285156,1.0
45,300,30,1.0
46,10,0.02858710289001465,6.0
46,300,30,6.0
47,10,0.032233238220214844,8.0
47,300,30,8.0
48,10,0.03801321983337402,9.0
48,300,30,9.0
49,10,0.027637720108032227,7.0
49,300,30,7.0
50,10,0.06782722473144531,14.0
50,300,30,14.0
51,10,0.1323249340057373,27.0
51,300,30,27.0
52,10,0.006765604019165039,1.0
52,300,30,1.0
53,10,0.036051034927368164,8.0
53,300,30,8.0
54,10,0.10829901695251465,22.0
54,300,30,22.0
55,10,0.12108182907104492,23.0
55,300,30,23.0
56,10,0.0749974250793457,16.0
56,300,30,16.0
57,10,0.08948397636413574,17.0
57,300,30,17.0
58,10,0.07617545127868652,14.0
58,300,30,14.0
59,10,0.03614616394042969,8.0
59,300,30,8.0
60,10,0.04793357849121094,11.0
60,300,30,11.0
61,10,0.044397592544555664,10.0
61,300,30,10.0
62,10,0.1354541778564453,27.0
62,300,30,27.0
63,10,0.006471157073974609,1.0
63,300,30,1.0
64,10,0.07628750801086426,13.0
64,300,30,13.0
65,10,0.03809356689453125,9.0
65,300,30,9.0
66,10,0.03675365447998047,9.0
66,300,30,9.0
67,10,0.04526066780090332,8.0
67,300,30,8.0
68,10,0.06464433670043945,13.0
68,300,30,13.0
69,10,0.06497693061828613,16.0
69,300,30,16.0
70,10,0.03532004356384277,8.0
70,300,30,8.0
71,10,0.020226716995239258,4.0
71,300,30,4.0
72,10,0.09238505363464355,17.0
72,300,30,17.0
73,10,0.019483566284179688,4.0
73,300,30,4.0
74,10,0.03900003433227539,8.0
74,300,30,8.0
75,10,0.0512845516204834,10.0
75,300,30,10.0
76,10,0.02115321159362793,5.0
76,300,30,5.0
77,10,0.04813861846923828,11.0
77,300,30,11.0
78,10,0.05695319175720215,14.0
78,300,30,14.0
79,300,30,inf
80,10,0.07736921310424805,12.0
80,300,30,12.0
81,10,0.033005714416503906,8.0
81,300,30,8.0
82,10,0.031013011932373047,6.0
82,300,30,6.0
83,10,0.03678107261657715,9.0
83,300,30,9.0
84,10,0.06633520126342773,13.0
84,300,30,13.0
85,10,0.04075908660888672,9.0
85,300,30,9.0
86,10,0.13429832458496094,32.0
86,300,30,32.0
87,10,0.07804274559020996,17.0
87,300,30,17.0
88,10,0.04488873481750488,6.0
88,300,30,6.0
89,300,30,inf
90,10,0.10372233390808105,23.0
90,300,30,23.0
91,10,0.10247087478637695,24.0
91,300,30,24.0
92,10,0.0640254020690918,15.0
92,300,30,15.0
93,10,0.051329851150512695,12.0
93,300,30,12.0
94,10,0.0056116580963134766,1.0
94,300,30,1.0
95,10,0.06864237785339355,14.0
95,300,30,14.0
96,10,0.04319310188293457,7.0
96,300,30,7.0
97,10,0.04458880424499512,9.0
97,300,30,9.0
98,10,0.0462498664855957,9.0
98,300,30,9.0
99,10,0.03971123695373535,8.0
99,300,30,8.0
100,10,0.03707575798034668,6.0
100,300,30,6.0
101,10,0.0825343132019043,16.0
101,300,30,16.0
102,10,0.006412506103515625,1.0
102,300,30,1.0
103,10,0.046068429946899414,12.0
103,300,30,12.0
104,10,0.03740835189819336,9.0
104,300,30,9.0
105,10,0.05564069747924805,11.0
105,300,30,11.0
106,10,0.032933712005615234,8.0
106,300,30,8.0
