trial,plan iters,plan time,best cost
0,10,0.1505591869354248,19.0
0,20,0.23177504539489746,2.0
0,1200,120,2.0
1,10,0.026674509048461914,4.0
1,1200,120,4.0
2,10,0.2826955318450928,3.0
2,1200,120,3.0
3,10,0.04294586181640625,3.0
3,1200,120,3.0
4,10,0.14568686485290527,3.0
4,1200,120,3.0
5,10,0.06928086280822754,13.0
5,110,4.346248149871826,3.0
5,1200,120,3.0
6,10,0.015948772430419922,3.0
6,1200,120,3.0
7,10,0.1748809814453125,12.0
7,20,0.22032952308654785,5.0
7,560,25.867455005645752,3.0
7,1200,120,3.0
8,10,0.05461239814758301,2.0
8,1200,120,2.0
9,10,0.1321277618408203,20.0
9,20,0.5518009662628174,17.0
9,30,0.7759640216827393,5.0
9,230,10.14764952659607,4.0
9,1200,120,4.0
10,10,0.049748897552490234,3.0
10,1200,120,3.0
11,10,0.016597747802734375,3.0
11,1200,120,3.0
12,10,0.0859823226928711,3.0
12,1200,120,3.0
13,10,0.4242079257965088,11.0
13,20,0.6570549011230469,3.0
13,1200,120,3.0
14,10,0.07247066497802734,2.0
14,1200,120,2.0
15,10,0.11306619644165039,4.0
15,1200,120,4.0
16,10,0.11891365051269531,27.0
16,20,0.16799712181091309,2.0
16,1200,120,2.0
17,10,0.08962893486022949,3.0
17,1200,120,3.0
18,10,0.05086541175842285,4.0
18,1200,120,4.0
19,10,0.04420804977416992,3.0
19,1200,120,3.0
20,10,0.3092780113220215,3.0
20,1200,120,3.0
21,10,0.01686716079711914,3.0
21,1200,120,3.0
22,10,0.015981435775756836,2.0
22,1200,120,2.0
23,10,0.1272132396697998,4.0
23,1200,120,4.0
24,10,0.08454751968383789,2.0
24,1200,120,2.0
25,10,0.12310099601745605,35.0
25,20,0.3597750663757324,15.0
25,40,1.1287193298339844,4.0
25,1200,120,4.0
26,10,0.11564874649047852,1.0
26,1200,120,1.0
27,10,0.026308059692382812,3.0
27,1200,120,3.0
28,10,0.3019134998321533,7.0
28,20,0.3471958637237549,3.0
28,1200,120,3.0
29,10,0.009781122207641602,2.0
29,1200,120,2.0
30,10,0.2770359516143799,10.0
30,20,0.526024341583252,2.0
30,1200,120,2.0
31,10,0.07405900955200195,3.0
31,1200,120,3.0
32,10,0.21103239059448242,1.0
32,1200,120,1.0
33,10,0.21036696434020996,28.0
33,20,0.3257298469543457,3.0
33,1200,120,3.0
34,10,0.02696394920349121,3.0
34,770,35.91633725166321,2.0
34,1200,120,2.0
35,10,0.11831974983215332,2.0
35,1200,120,2.0
36,10,0.19385170936584473,12.0
36,60,2.20163631439209,8.0
36,90,3.107180118560791,4.0
36,1200,120,4.0
37,10,0.09927225112915039,3.0
37,1200,120,3.0
38,10,0.014941692352294922,2.0
38,1200,120,2.0
39,10,0.1140742301940918,4.0
39,1200,120,4.0
40,10,0.25530004501342773,19.0
40,20,0.2693760395050049,3.0
40,1200,120,3.0
41,10,0.4965493679046631,2.0
41,1200,120,2.0
42,10,0.01703667640686035,1.0
42,1200,120,1.0
43,10,0.18879294395446777,4.0
43,1200,120,4.0
44,10,0.05290484428405762,2.0
44,1200,120,2.0
45,10,0.2521631717681885,3.0
45,1200,120,3.0
46,10,0.028125524520874023,3.0
46,1200,120,3.0
47,10,0.015149831771850586,4.0
47,1200,120,4.0
48,10,0.10616087913513184,3.0
48,1200,120,3.0
49,10,0.03492903709411621,4.0
49,1200,120,4.0
Num trials: 50
Success rate: 1.0
Average cost: 2.84
Cost STD: 0.8333066662399862
Cost CI: 0.2356947178024997
