trial,plan iters,plan time,best cost
0,10,0.31347036361694336,3.0
0,1200,120,3.0
1,10,0.13480710983276367,3.0
1,1200,120,3.0
2,10,0.26011204719543457,4.0
2,1200,120,4.0
3,10,0.036083221435546875,4.0
3,1200,120,4.0
4,10,0.0498659610748291,3.0
4,1200,120,3.0
5,10,0.05513882637023926,4.0
5,1200,120,4.0
6,10,0.09266901016235352,4.0
6,1200,120,4.0
7,10,0.04453754425048828,1.0
7,1200,120,1.0
8,10,0.011127710342407227,3.0
8,1200,120,3.0
9,10,0.06153249740600586,4.0
9,1200,120,4.0
10,10,0.045398712158203125,9.0
10,20,0.13650035858154297,3.0
10,1200,120,3.0
11,10,0.0393984317779541,8.0
11,30,0.25591182708740234,4.0
11,1200,120,4.0
12,10,0.0887298583984375,2.0
12,1200,120,2.0
13,10,0.020407438278198242,4.0
13,1200,120,4.0
14,10,0.008057355880737305,2.0
14,1200,120,2.0
15,10,0.011835575103759766,3.0
15,1200,120,3.0
16,10,0.03312849998474121,3.0
16,1200,120,3.0
17,10,0.01706671714782715,3.0
17,1200,120,3.0
18,10,0.028211593627929688,4.0
18,1200,120,4.0
19,10,0.09543824195861816,25.0
19,20,0.23702406883239746,4.0
19,1200,120,4.0
20,10,0.04401755332946777,4.0
20,1200,120,4.0
21,10,0.052013397216796875,1.0
21,1200,120,1.0
22,10,0.12346076965332031,3.0
22,1200,120,3.0
23,10,0.01423954963684082,1.0
23,1200,120,1.0
24,10,0.09820747375488281,19.0
24,40,0.5146656036376953,3.0
24,1200,120,3.0
25,10,0.045621395111083984,3.0
25,1200,120,3.0
26,10,0.01711297035217285,4.0
26,860,27.71228861808777,3.0
26,1200,120,3.0
27,10,0.007899045944213867,2.0
27,1200,120,2.0
28,10,0.041777849197387695,2.0
28,1200,120,2.0
29,10,0.06835222244262695,27.0
29,30,0.34018802642822266,2.0
29,1200,120,2.0
30,10,0.0756068229675293,2.0
30,1200,120,2.0
31,10,0.2100815773010254,28.0
31,20,0.2737858295440674,4.0
31,1200,120,4.0
32,10,0.42815589904785156,5.0
32,30,0.6296048164367676,1.0
32,1200,120,1.0
33,10,0.010929584503173828,3.0
33,1200,120,3.0
34,10,0.1558973789215088,3.0
34,1200,120,3.0
35,10,0.0566861629486084,4.0
35,1200,120,4.0
36,10,0.01055908203125,4.0
36,80,1.4475276470184326,2.0
36,1200,120,2.0
37,10,0.014079570770263672,2.0
37,1200,120,2.0
38,10,0.010869979858398438,3.0
38,1200,120,3.0
39,10,0.011455297470092773,3.0
39,1200,120,3.0
40,10,0.04459834098815918,27.0
40,20,0.1352977752685547,3.0
40,1200,120,3.0
41,10,0.008079051971435547,2.0
41,1200,120,2.0
42,10,0.03309130668640137,3.0
42,1200,120,3.0
43,10,0.0132598876953125,4.0
43,1200,120,4.0
44,10,0.19484591484069824,2.0
44,1200,120,2.0
45,10,0.11292910575866699,31.0
45,20,0.15813374519348145,3.0
45,1200,120,3.0
46,10,0.012078285217285156,3.0
46,1200,120,3.0
47,10,0.09332036972045898,19.0
47,20,0.10866832733154297,6.0
47,30,0.17137646675109863,3.0
47,270,5.340412616729736,2.0
47,1200,120,2.0
48,10,0.0978701114654541,19.0
48,130,2.4646155834198,1.0
48,1200,120,1.0
49,10,0.023459672927856445,3.0
49,1200,120,3.0
Num trials: 50
Success rate: 1.0
Average cost: 2.84
Cost STD: 0.9243376006633074
Cost CI: 0.26144215421389105
