trial,plan iters,plan time,best cost
0,10,0.0064814090728759766,1.0
0,1200,120,1.0
1,10,0.018025636672973633,4.0
1,1200,120,4.0
2,10,0.0162353515625,3.0
2,1200,120,3.0
3,10,0.01586747169494629,4.0
3,1200,120,4.0
4,10,0.012076854705810547,3.0
4,1200,120,3.0
5,10,0.0182955265045166,4.0
5,1200,120,4.0
6,10,0.015636444091796875,4.0
6,1200,120,4.0
7,10,0.014917135238647461,4.0
7,1200,120,4.0
8,10,0.006860256195068359,1.0
8,1200,120,1.0
9,10,0.009872674942016602,2.0
9,1200,120,2.0
10,10,0.020891904830932617,3.0
10,1200,120,3.0
11,10,0.01127934455871582,3.0
11,1200,120,3.0
12,10,0.010421037673950195,3.0
12,1200,120,3.0
13,10,0.014133214950561523,4.0
13,1200,120,4.0
14,10,0.03284287452697754,4.0
14,1200,120,4.0
15,10,0.014832496643066406,3.0
15,1200,120,3.0
16,10,0.01111912727355957,3.0
16,1200,120,3.0
17,10,0.011668682098388672,3.0
17,1200,120,3.0
18,10,0.022095203399658203,4.0
18,1200,120,4.0
19,10,0.00820159912109375,2.0
19,1200,120,2.0
20,10,0.019969701766967773,4.0
20,1200,120,4.0
21,10,0.013350248336791992,3.0
21,1200,120,3.0
22,10,0.012544393539428711,3.0
22,1200,120,3.0
23,10,0.011327505111694336,2.0
23,1200,120,2.0
24,10,0.015301704406738281,3.0
24,1200,120,3.0
25,10,0.008324384689331055,2.0
25,1200,120,2.0
26,10,0.012119054794311523,1.0
26,1200,120,1.0
27,10,0.010870218276977539,1.0
27,1200,120,1.0
28,10,0.005159139633178711,1.0
28,1200,120,1.0
29,10,0.019896745681762695,4.0
29,1200,120,4.0
30,10,0.012738943099975586,2.0
30,1200,120,2.0
31,10,0.008226394653320312,2.0
31,1200,120,2.0
32,10,0.015102148056030273,4.0
32,1200,120,4.0
33,10,0.013672828674316406,4.0
33,1200,120,4.0
34,10,0.022001981735229492,4.0
34,1200,120,4.0
35,10,0.012212276458740234,3.0
35,1200,120,3.0
36,10,0.011277914047241211,3.0
36,1200,120,3.0
37,10,0.01168203353881836,3.0
37,1200,120,3.0
38,10,0.005374908447265625,1.0
38,1200,120,1.0
39,10,0.012658834457397461,3.0
39,1200,120,3.0
40,10,0.007511138916015625,2.0
40,1200,120,2.0
41,10,0.022890806198120117,4.0
41,1200,120,4.0
42,10,0.011276483535766602,3.0
42,1200,120,3.0
43,10,0.023044586181640625,4.0
43,1200,120,4.0
44,10,0.016082048416137695,4.0
44,1200,120,4.0
45,10,0.007395029067993164,1.0
45,1200,120,1.0
46,10,0.00904989242553711,2.0
46,1200,120,2.0
47,10,0.020379304885864258,4.0
47,1200,120,4.0
48,10,0.011443614959716797,3.0
48,1200,120,3.0
49,10,0.008907079696655273,2.0
49,1200,120,2.0
50,10,0.008432626724243164,2.0
50,1200,120,2.0
51,10,0.01230621337890625,3.0
51,1200,120,3.0
52,10,0.01980876922607422,3.0
52,1200,120,3.0
53,10,0.015965938568115234,4.0
53,1200,120,4.0
54,10,0.005684614181518555,1.0
54,1200,120,1.0
55,10,0.005114555358886719,1.0
55,1200,120,1.0
56,10,0.015244245529174805,3.0
56,1200,120,3.0
57,10,0.015395641326904297,4.0
57,1200,120,4.0
58,10,0.013321399688720703,3.0
58,1200,120,3.0
59,10,0.012162446975708008,2.0
59,1200,120,2.0
60,10,0.0057392120361328125,1.0
60,1200,120,1.0
61,10,0.011608362197875977,3.0
61,1200,120,3.0
62,10,0.016274452209472656,4.0
62,1200,120,4.0
63,10,0.007910966873168945,2.0
63,1200,120,2.0
64,10,0.013938188552856445,3.0
64,1200,120,3.0
65,10,0.011469125747680664,3.0
65,1200,120,3.0
66,10,0.01807546615600586,3.0
66,1200,120,3.0
67,10,0.007207632064819336,1.0
67,1200,120,1.0
68,10,0.009306907653808594,2.0
68,1200,120,2.0
69,10,0.011406660079956055,3.0
69,1200,120,3.0
70,10,0.011274576187133789,3.0
70,1200,120,3.0
71,10,0.01131892204284668,3.0
71,1200,120,3.0
72,10,0.018573999404907227,3.0
72,1200,120,3.0
73,10,0.011568546295166016,3.0
73,1200,120,3.0
74,10,0.015635967254638672,4.0
74,1200,120,4.0
75,10,0.012198686599731445,3.0
75,1200,120,3.0
76,10,0.013289451599121094,4.0
76,1200,120,4.0
77,10,0.016989469528198242,4.0
77,1200,120,4.0
78,10,0.011075019836425781,3.0
78,1200,120,3.0
79,10,0.008184432983398438,2.0
79,1200,120,2.0
80,10,0.013499021530151367,3.0
80,1200,120,3.0
81,10,0.012269258499145508,2.0
81,1200,120,2.0
82,10,0.018325328826904297,4.0
82,1200,120,4.0
83,10,0.011093378067016602,3.0
83,1200,120,3.0
84,10,0.01129293441772461,3.0
84,1200,120,3.0
85,10,0.008353233337402344,2.0
85,1200,120,2.0
86,10,0.015250921249389648,2.0
86,1200,120,2.0
87,10,0.010972261428833008,3.0
87,1200,120,3.0
88,10,0.010898113250732422,3.0
88,1200,120,3.0
89,10,0.013824462890625,3.0
89,1200,120,3.0
90,10,0.011301040649414062,3.0
90,1200,120,3.0
91,10,0.009486913681030273,2.0
91,1200,120,2.0
92,10,0.014310121536254883,4.0
92,1200,120,4.0
93,10,0.012729406356811523,3.0
93,1200,120,3.0
94,10,0.007921218872070312,2.0
94,1200,120,2.0
95,10,0.015502452850341797,3.0
95,1200,120,3.0
96,10,0.014721155166625977,4.0
96,1200,120,4.0
97,10,0.01070261001586914,3.0
97,1200,120,3.0
98,10,0.014202117919921875,3.0
98,1200,120,3.0
99,10,0.008224248886108398,2.0
99,1200,120,2.0
100,10,0.019878387451171875,3.0
100,1200,120,3.0
101,10,0.020004749298095703,4.0
101,1200,120,4.0
102,10,0.005661964416503906,1.0
102,1200,120,1.0
103,10,0.01163625717163086,3.0
103,1200,120,3.0
104,10,0.005063533782958984,1.0
104,1200,120,1.0
105,10,0.011239051818847656,3.0
105,1200,120,3.0
106,10,0.01571965217590332,2.0
106,1200,120,2.0
107,10,0.015421152114868164,4.0
107,1200,120,4.0
108,10,0.03306388854980469,1.0
108,1200,120,1.0
109,10,0.010915517807006836,2.0
109,1200,120,2.0
110,10,0.010900020599365234,1.0
110,1200,120,1.0
111,10,0.009555816650390625,2.0
111,1200,120,2.0
112,10,0.01572251319885254,4.0
112,1200,120,4.0
113,10,0.011612176895141602,3.0
113,1200,120,3.0
114,10,0.010757207870483398,3.0
114,1200,120,3.0
115,10,0.013498306274414062,4.0
115,1200,120,4.0
