trial,plan iters,plan time,best cost
0,410,11.51036787033081,17.0
0,1200,120,17.0
1,380,11.43467116355896,25.0
1,440,12.640573501586914,12.0
1,1200,120,12.0
2,560,17.90419888496399,11.0
2,890,30.40097141265869,9.0
2,1200,120,9.0
3,1200,120,inf
4,10,0.3229215145111084,34.0
4,30,0.6267826557159424,29.0
4,650,17.9288592338562,12.0
4,1200,120,12.0
5,1200,120,inf
6,120,5.237344026565552,46.0
6,240,9.29731822013855,25.0
6,470,18.010321617126465,11.0
6,1200,120,11.0
7,70,1.9353978633880615,15.0
7,1200,120,15.0
8,140,3.9394960403442383,22.0
8,360,9.384331464767456,17.0
8,540,14.909843444824219,14.0
8,1200,120,14.0
9,280,7.537788152694702,13.0
9,1200,120,13.0
10,530,16.686697244644165,13.0
10,1200,120,13.0
11,20,0.2834334373474121,22.0
11,1200,120,22.0
12,150,3.8935859203338623,6.0
12,1200,120,6.0
13,410,11.2925546169281,55.0
13,450,12.549231767654419,19.0
13,1200,120,19.0
14,500,13.337985515594482,26.0
14,1200,120,26.0
15,1040,40.549477338790894,57.0
15,1200,120,57.0
16,150,5.984411239624023,36.0
16,1200,120,36.0
17,910,33.35697054862976,50.0
17,1040,39.7062304019928,20.0
17,1200,120,20.0
18,560,15.777446746826172,29.0
18,1030,30.84339213371277,15.0
18,1200,120,15.0
19,90,2.4585487842559814,8.0
19,230,5.967193603515625,5.0
19,1200,120,5.0
20,220,6.264859199523926,7.0
20,1200,120,7.0
21,20,0.36512112617492676,16.0
21,1200,120,16.0
22,430,15.623427391052246,42.0
22,1170,46.07337522506714,13.0
22,1200,120,13.0
23,110,2.627340316772461,6.0
23,1200,120,6.0
24,510,13.117623329162598,18.0
24,1200,120,18.0
25,450,13.148372650146484,49.0
25,680,20.265764713287354,17.0
25,990,31.656750679016113,11.0
25,1200,120,11.0
26,720,19.926538705825806,46.0
26,960,27.075734615325928,30.0
26,1200,120,30.0
27,580,19.685426950454712,44.0
27,740,25.87581777572632,24.0
27,1200,120,24.0
28,60,1.1828665733337402,25.0
28,230,5.986307621002197,5.0
28,1200,120,5.0
29,180,4.343599081039429,46.0
29,540,13.557323932647705,33.0
29,1200,120,33.0
30,280,6.99319052696228,3.0
30,1200,120,3.0
31,1100,32.29864859580994,22.0
31,1200,120,22.0
32,240,6.1995930671691895,34.0
32,530,14.475022315979004,15.0
32,970,28.582257509231567,13.0
32,1200,120,13.0
33,110,2.470459461212158,44.0
33,250,5.892173528671265,34.0
33,300,7.504534721374512,33.0
33,340,8.30510139465332,6.0
33,1200,120,6.0
34,140,2.9610705375671387,19.0
34,720,18.08815884590149,15.0
34,1200,120,15.0
35,300,7.494805574417114,30.0
35,1200,120,30.0
36,160,3.849128007888794,44.0
36,180,4.092936038970947,18.0
36,1200,120,18.0
37,800,26.145007133483887,17.0
37,1200,120,17.0
38,1200,120,inf
39,550,15.017747640609741,15.0
39,1200,120,15.0
40,250,8.172115087509155,17.0
40,1200,120,17.0
41,250,6.94945764541626,42.0
41,320,8.654237985610962,8.0
41,1200,120,8.0
42,1200,120,inf
43,700,20.381869316101074,20.0
43,1200,120,20.0
44,30,0.6209938526153564,32.0
44,1200,120,32.0
45,570,19.515546321868896,38.0
45,1100,42.654382944107056,28.0
45,1200,120,28.0
46,440,12.9082510471344,9.0
46,1200,120,9.0
47,240,5.549967527389526,35.0
47,1200,120,35.0
48,70,1.4751520156860352,28.0
48,380,9.275028228759766,19.0
48,1200,120,19.0
49,220,4.749739170074463,42.0
49,270,5.815817594528198,34.0
49,690,18.784282207489014,5.0
49,1200,120,5.0
Num trials: 50
Success rate: 0.92
Average cost: 17.32608695652174
Cost STD: 10.363091589713294
Cost CI: 3.0559089915993813
