trial,plan iters,plan time,best cost
0,3000,300,inf
1,3000,300,inf
2,50,1.7595906257629395,11.0
2,330,13.701465368270874,10.0
2,590,26.4545419216156,9.0
2,3000,300,9.0
3,20,0.5592660903930664,23.0
3,30,1.0064170360565186,18.0
3,3000,300,18.0
4,3000,300,inf
5,3000,300,inf
6,10,0.022436857223510742,5.0
6,3000,300,5.0
7,3000,300,inf
8,70,3.327579975128174,28.0
8,890,52.05929970741272,22.0
8,1560,98.18431854248047,19.0
8,2340,163.12641501426697,18.0
8,3000,300,18.0
9,2790,256.66017723083496,67.0
9,3000,300,67.0
10,1180,76.7848174571991,31.0
10,3000,300,31.0
11,3000,300,inf
12,3000,300,inf
13,470,40.43309187889099,42.0
13,3000,300,42.0
14,3000,300,inf
15,3000,300,inf
16,10,0.09869241714477539,11.0
16,180,6.031964063644409,10.0
16,3000,300,10.0
17,3000,300,inf
18,1540,101.4957823753357,54.0
18,3000,300,54.0
19,130,8.21918272972107,25.0
19,3000,300,25.0
20,10,0.09578227996826172,11.0
20,180,5.221792459487915,7.0
20,3000,300,7.0
21,3000,300,inf
22,3000,300,inf
23,1130,78.35325169563293,54.0
23,1140,78.81123495101929,48.0
23,1270,88.57215428352356,38.0
23,3000,300,38.0
24,3000,300,inf
25,3000,300,inf
26,3000,300,inf
27,3000,300,inf
28,10,0.058561086654663086,7.0
28,3000,300,7.0
29,3000,300,inf
30,1480,77.88035368919373,48.0
30,3000,300,48.0
31,3000,300,inf
32,20,0.9191591739654541,14.0
32,3000,300,14.0
33,3000,300,inf
34,3000,300,inf
35,3000,300,inf
36,210,8.230494976043701,13.0
36,690,31.87173056602478,12.0
36,3000,300,12.0
37,1090,66.51752352714539,39.0
37,2660,194.17832374572754,28.0
37,3000,300,28.0
38,1760,101.47427296638489,29.0
38,3000,300,29.0
39,2660,175.89196276664734,49.0
39,3000,300,49.0
40,720,58.96300673484802,45.0
40,3000,300,45.0
41,2200,187.00314712524414,70.0
41,3000,300,70.0
42,3000,300,inf
43,2080,167.88947701454163,31.0
43,3000,300,31.0
44,1090,80.52429533004761,23.0
44,3000,300,23.0
45,3000,300,inf
46,3000,300,inf
47,320,13.156643152236938,39.0
47,520,22.183106422424316,30.0
47,2230,128.27937412261963,18.0
47,3000,300,18.0
48,1430,109.29902815818787,67.0
48,3000,300,67.0
49,3000,300,inf
Num trials: 50
Success rate: 0.5
Average cost: 30.6
Cost STD: 19.63670033381372
Cost CI: 7.8546801335254886
