trial,plan iters,plan time,best cost
0,3000,300,inf
1,2930,157.62584447860718,43.0
1,3000,300,43.0
2,3000,300,inf
3,3000,300,inf
4,3000,300,inf
5,540,23.21849536895752,76.0
5,3000,300,76.0
6,3000,300,inf
7,3000,300,inf
8,970,50.29436659812927,45.0
8,2700,170.42923879623413,42.0
8,3000,300,42.0
9,1470,76.04483795166016,39.0
9,1520,78.83504271507263,38.0
9,3000,300,38.0
10,3000,300,inf
11,320,12.376519441604614,78.0
11,3000,300,78.0
12,40,1.7909908294677734,30.0
12,1390,64.31620502471924,11.0
12,3000,300,11.0
13,2330,175.9712233543396,48.0
13,3000,300,48.0
14,3000,300,inf
15,1160,44.53710436820984,62.0
15,1420,56.14553117752075,53.0
15,2720,132.3517632484436,50.0
15,3000,300,50.0
16,3000,300,inf
17,1030,44.84059262275696,48.0
17,3000,300,48.0
18,3000,300,inf
19,3000,300,inf
20,10,0.2246837615966797,36.0
20,20,0.27832746505737305,34.0
20,30,0.401355504989624,21.0
20,170,4.888968229293823,18.0
20,460,13.882629632949829,17.0
20,470,14.19783616065979,15.0
20,3000,300,15.0
21,3000,300,inf
22,3000,300,inf
23,1810,75.3660192489624,36.0
23,3000,300,36.0
24,820,45.20319890975952,44.0
24,2200,144.05028247833252,39.0
24,3000,300,39.0
25,3000,300,inf
26,710,40.61150860786438,55.0
26,3000,300,55.0
27,3000,300,inf
28,3000,300,inf
29,3000,300,inf
30,3000,300,inf
31,3000,300,inf
32,3000,300,inf
33,3000,300,inf
34,3000,300,inf
35,80,2.066657066345215,72.0
35,3000,300,72.0
36,3000,300,inf
37,1080,46.84609270095825,26.0
37,3000,300,26.0
38,380,26.6755154132843,51.0
38,3000,300,51.0
39,3000,300,inf
40,3000,300,inf
41,3000,300,inf
42,2890,152.37603068351746,67.0
42,3000,300,67.0
43,3000,300,inf
44,2080,90.84769225120544,68.0
44,2410,110.27190041542053,37.0
44,3000,300,37.0
45,3000,300,inf
46,3000,300,inf
47,3000,300,inf
48,830,31.977730751037598,97.0
48,3000,300,97.0
49,410,14.561359882354736,58.0
49,610,22.601056575775146,57.0
49,660,25.191282510757446,54.0
49,670,25.31291937828064,44.0
49,3000,300,44.0
Num trials: 50
Success rate: 0.4
Average cost: 48.65
Cost STD: 20.664643718196547
Cost CI: 9.241509616940297
