policy_guided_gradient_descent_sst best cost max,policy_guided_gradient_descent_sst best cost mean,policy_guided_gradient_descent_sst best cost min,policy_guided_gradient_descent_sst best cost std,policy_guided_gradient_descent_sst success fraction,policy_guided_gradient_descent_sst time,policy_guided_sst best cost max,policy_guided_sst best cost mean,policy_guided_sst best cost min,policy_guided_sst best cost std,policy_guided_sst success fraction,policy_guided_sst time,rl best cost max,rl best cost mean,rl best cost min,rl best cost std,rl success fraction,rl time,stable_sparse_rrt best cost max,stable_sparse_rrt best cost mean,stable_sparse_rrt best cost min,stable_sparse_rrt best cost std,stable_sparse_rrt success fraction,stable_sparse_rrt time
inf,29.925925925925927,7.0,15.335569706298338,0.0,0,inf,33.44,5.0,19.310266699349338,0.0,0,inf,6.7,3.0,2.238302928559939,0.0,0,inf,53.95,26.0,17.741124541584167,0.0,0
inf,29.62148631657661,5.780130547568513,15.725343682121073,0.04,0.1,inf,33.43985953553021,5.0,19.310429939825386,0.08,0.1,inf,6.7,3.0,2.238302928559939,0.05,0.1,inf,53.95,26.0,17.741124541584167,0.0,0.1
inf,29.440064464660985,1.0,16.022298244213566,0.1,0.2,inf,33.436064035239184,5.0,19.314846797631883,0.08,0.2,inf,6.7,3.0,2.238302928559939,0.05,0.2,inf,53.95,26.0,17.741124541584167,0.0,0.2
inf,29.429046550107667,1.0,16.035830758058896,0.1,0.30000000000000004,inf,33.43226853494815,5.0,19.319275095645338,0.08,0.30000000000000004,inf,6.7,3.0,2.238302928559939,0.05,0.30000000000000004,inf,53.73549644682248,26.0,17.981167961822237,0.02,0.30000000000000004
inf,29.418028635554364,1.0,16.04953472400461,0.1,0.4,inf,33.42847303465713,5.0,19.323714826000707,0.08,0.4,inf,6.7,3.0,2.238302928559939,0.05,0.4,inf,53.20716160514091,21.143232102818317,18.75899163366999,0.02,0.4
inf,29.40701072100105,1.0,16.063409703244666,0.1,0.5,inf,33.424677534366104,5.0,19.32816598081987,0.08,0.5,inf,6.7,3.0,2.238302928559939,0.05,0.5,inf,53.196702773799664,20.934055475993194,18.77691529324275,0.02,0.5
inf,29.405832617943002,1.0,16.064882640561613,0.1,0.6,inf,33.402662723570664,5.0,19.34265276396737,0.1,0.6,inf,6.7,3.0,2.238302928559939,0.05,0.6,inf,53.193360239378464,20.867204787569204,18.782663235708302,0.02,0.6
inf,29.405413129287496,1.0,16.065392589826242,0.1,0.7,inf,33.35413959786821,5.0,19.37343741575918,0.1,0.7,inf,6.7,3.0,2.238302928559939,0.05,0.7,inf,53.19001770495727,20.80035409914521,18.788420718059957,0.02,0.7
inf,29.40499364063199,1.0,16.06590276381453,0.1,0.7999999999999999,inf,33.30561647216576,5.0,19.40664235655779,0.1,0.7999999999999999,inf,6.7,3.0,2.238302928559939,0.05,0.7999999999999999,inf,53.18667517053607,20.73350341072122,18.794187731530254,0.02,0.7999999999999999
inf,29.401217446851756,1.0,16.06880482324432,0.12,0.8999999999999999,inf,33.25709334646331,5.0,19.442255185714178,0.1,0.8999999999999999,inf,6.7,3.0,2.238302928559939,0.05,0.8999999999999999,inf,53.183332636114855,20.66665272229723,18.799964267348,0.02,0.8999999999999999
inf,29.396374892812286,1.0,16.072493801491184,0.12,0.9999999999999999,inf,33.208570220760855,5.0,19.48026269729438,0.12,0.9999999999999999,inf,6.7,3.0,2.238302928559939,0.05,0.9999999999999999,inf,53.17999010169366,20.599802033873235,18.805750316738298,0.02,0.9999999999999999
inf,29.391532338772816,1.0,16.076213583178706,0.12,1.0999999999999999,inf,33.201904532619956,5.0,19.486947864695665,0.12,1.0999999999999999,inf,6.7,3.0,2.238302928559939,0.05,1.0999999999999999,inf,53.17664756727246,20.532951345449245,18.811545870922597,0.02,1.0999999999999999
inf,29.38668978473334,1.0,16.079964146929598,0.12,1.2,inf,33.19810903232893,5.0,19.491409177835063,0.12,1.2,inf,6.7,3.0,2.238302928559939,0.05,1.2,inf,53.17330503285126,20.46610065702525,18.81735092111876,0.02,1.2
inf,29.38184723069387,1.0,16.083745471209667,0.12,1.3,inf,33.1943135320379,5.0,19.495881807303938,0.12,1.3,inf,6.7,3.0,2.238302928559939,0.05,1.3,inf,53.16996249843006,20.39924996860126,18.823165458541098,0.02,1.3
inf,29.377004676654398,1.0,16.087557534328457,0.12,1.4000000000000001,inf,33.190518031746876,5.0,19.5003657453157,0.12,1.4000000000000001,inf,6.7,3.0,2.238302928559939,0.05,1.4000000000000001,inf,53.16661996400886,20.33239928017727,18.82898947440042,0.02,1.4000000000000001
inf,29.37216212261492,1.0,16.09140031443981,0.12,1.5000000000000002,inf,33.18672253145585,5.0,19.504860984071257,0.12,1.5000000000000002,inf,6.7,3.0,2.238302928559939,0.05,1.5000000000000002,inf,53.163277429587666,20.265548591753276,18.8348229599041,0.02,1.5000000000000002
inf,29.367319568575454,1.0,16.095273789542492,0.12,1.6000000000000003,inf,33.18292703116483,5.0,19.50936751575904,0.12,1.6000000000000003,inf,6.7,3.0,2.238302928559939,0.05,1.6000000000000003,inf,53.159934895166465,20.198697903329286,18.840665906256095,0.02,1.6000000000000003
inf,29.36247701453598,1.0,16.099177937480782,0.12,1.7000000000000004,inf,33.1791315308738,5.0,19.51388533255508,0.12,1.7000000000000004,inf,6.7,3.0,2.238302928559939,0.05,1.7000000000000004,inf,53.156592360745265,20.131847214905296,18.846518304657035,0.02,1.7000000000000004
inf,29.357634460496506,1.0,16.10311273594509,0.12,1.8000000000000005,inf,33.17520067704706,5.0,19.51856821566011,0.14,1.8000000000000005,inf,6.7,3.0,2.238302928559939,0.05,1.8000000000000005,inf,53.153112942154756,20.064996526481302,18.8525482671047,0.04,1.8000000000000005
inf,29.352791906457036,1.0,16.107078162472565,0.12,1.9000000000000006,inf,33.17107022097344,5.0,19.523489032692385,0.14,1.9000000000000006,inf,6.7,3.0,2.238302928559939,0.05,1.9000000000000006,inf,53.14825102069551,19.99814583805731,18.86028589076513,0.04,1.9000000000000006
inf,29.347949352417558,1.0,16.111074194447703,0.12,2.0000000000000004,inf,33.16693976489982,5.0,19.52842093411977,0.14,2.0000000000000004,inf,6.7,3.0,2.238302928559939,0.05,2.0000000000000004,inf,53.14338909923625,19.93129514963332,18.868033378326647,0.04,2.0000000000000004
inf,29.343106798378084,1.0,16.11510080910298,0.12,2.1000000000000005,inf,33.16280930882621,5.0,19.533363911546296,0.14,2.1000000000000005,inf,6.7,3.0,2.238302928559939,0.05,2.1000000000000005,inf,53.13852717777699,19.864444461209327,18.87579071764347,0.06,2.1000000000000005
inf,29.338264244338617,1.0,16.119157983519447,0.12,2.2000000000000006,inf,33.158678852752594,5.0,19.538317956565656,0.14,2.2000000000000006,inf,6.7,3.0,2.238302928559939,0.05,2.2000000000000006,inf,53.13366525631774,19.797593772785337,18.88355789657433,0.06,2.2000000000000006
inf,29.33342169029914,1.0,16.12324569462739,0.12,2.3000000000000007,inf,33.154548396678976,5.0,19.543283060761237,0.14,2.3000000000000007,inf,6.7,3.0,2.238302928559939,0.05,2.3000000000000007,inf,53.12880333485848,19.730743084361343,18.89133490298255,0.06,2.3000000000000007
inf,29.32857913625967,1.0,16.127363919206914,0.12,2.400000000000001,inf,33.15041794060536,5.0,19.548259215706217,0.14,2.400000000000001,inf,6.7,3.0,2.238302928559939,0.05,2.400000000000001,inf,53.12394141339922,19.663892395937353,18.899121724736077,0.06,2.400000000000001
inf,29.3237365822202,1.0,16.131512633888615,0.12,2.500000000000001,inf,33.14628748453173,5.0,19.553246412963595,0.14,2.500000000000001,inf,6.7,3.0,2.238302928559939,0.05,2.500000000000001,inf,53.119079491939964,19.597041707513362,18.906918349707556,0.06,2.500000000000001
inf,29.318894028180722,1.0,16.135691815154175,0.12,2.600000000000001,inf,33.142157028458115,5.0,19.55824464408626,0.14,2.600000000000001,inf,6.7,3.0,2.238302928559939,0.05,2.600000000000001,inf,53.114217570480704,19.53019101908937,18.914724765774363,0.06,2.600000000000001
