trial,plan iters,plan time,best cost
0,50,0.4226231575012207,98.0
0,300,30,98.0
1,10,0.09807729721069336,44.0
1,300,30,44.0
2,180,1.8735952377319336,54.0
2,300,30,54.0
3,100,0.9721248149871826,101.0
3,300,30,101.0
4,300,30,inf
5,80,0.8353791236877441,51.0
5,300,30,51.0
6,300,30,inf
7,20,0.16985654830932617,19.0
7,30,0.23283910751342773,17.0
7,300,30,17.0
8,20,0.2075786590576172,23.0
8,300,30,23.0
9,10,0.051087379455566406,22.0
9,300,30,22.0
10,30,0.2834930419921875,54.0
10,300,30,54.0
11,150,1.4145593643188477,122.0
11,280,2.666287422180176,48.0
11,300,30,48.0
12,30,0.35675764083862305,97.0
12,120,1.2919917106628418,51.0
12,300,30,51.0
13,180,1.7670321464538574,47.0
13,300,30,47.0
14,50,0.6116156578063965,19.0
14,300,30,19.0
15,260,2.6139824390411377,73.0
15,300,30,73.0
16,40,0.46645617485046387,64.0
16,120,1.3974571228027344,56.0
16,170,1.8152999877929688,30.0
16,300,30,30.0
17,20,0.13543343544006348,1.0
17,300,30,1.0
18,40,0.33234381675720215,46.0
18,300,30,46.0
19,80,0.7784392833709717,72.0
19,300,2.9942591190338135,19.0
19,300,30,19.0
20,80,0.7103631496429443,78.0
20,300,30,78.0
21,70,0.5881655216217041,65.0
21,300,30,65.0
22,60,0.5043282508850098,84.0
22,260,2.337712526321411,66.0
22,300,30,66.0
23,10,0.0037124156951904297,7.0
23,300,30,7.0
24,230,2.3583412170410156,57.0
24,300,30,57.0
25,300,30,inf
26,90,0.9285883903503418,139.0
26,300,30,139.0
27,40,0.36194372177124023,36.0
27,300,30,36.0
28,80,0.7872562408447266,122.0
28,180,1.8411409854888916,113.0
28,220,2.3758652210235596,37.0
28,300,30,37.0
29,130,1.5027413368225098,146.0
29,140,1.624659538269043,135.0
29,210,2.3944342136383057,133.0
29,300,30,133.0
30,60,0.5276176929473877,122.0
30,300,30,122.0
31,10,0.07044029235839844,51.0
31,60,0.5760231018066406,41.0
31,300,30,41.0
32,70,0.7008962631225586,144.0
32,240,2.455341339111328,109.0
32,300,30,109.0
33,30,0.20340275764465332,48.0
33,300,30,48.0
34,180,1.6052649021148682,62.0
34,300,30,62.0
35,250,2.608318328857422,102.0
35,300,30,102.0
36,30,0.31078362464904785,29.0
36,300,30,29.0
