trial,plan iters,plan time,best cost
0,10,0.07583308219909668,10.0
0,300,30,10.0
1,10,0.04285573959350586,23.0
1,60,0.653057336807251,11.0
1,100,1.1365911960601807,10.0
1,300,30,10.0
2,10,0.10111308097839355,25.0
2,30,0.39585161209106445,17.0
2,300,30,17.0
3,10,0.1250293254852295,10.0
3,100,1.250401258468628,9.0
3,300,30,9.0
4,10,0.040302276611328125,8.0
4,300,30,8.0
5,10,0.1316382884979248,9.0
5,300,30,9.0
6,10,0.11050677299499512,8.0
6,300,30,8.0
7,10,0.13975024223327637,9.0
7,300,30,9.0
8,10,0.09865760803222656,17.0
8,20,0.19206571578979492,12.0
8,300,30,12.0
9,10,0.05601167678833008,14.0
9,50,0.5081281661987305,5.0
9,300,30,5.0
10,10,0.018660306930541992,6.0
10,300,30,6.0
11,10,0.016186952590942383,17.0
11,50,0.4681522846221924,7.0
11,300,30,7.0
12,10,0.05441093444824219,9.0
12,300,30,9.0
13,10,0.023669004440307617,28.0
13,20,0.0979011058807373,7.0
13,300,30,7.0
14,10,0.04217648506164551,9.0
14,40,0.5142831802368164,5.0
14,300,30,5.0
15,10,0.05585336685180664,4.0
15,80,0.8066740036010742,3.0
15,300,30,3.0
16,10,0.05214285850524902,3.0
16,300,30,3.0
17,10,0.06380844116210938,10.0
17,300,30,10.0
18,10,0.029568195343017578,21.0
18,20,0.1161038875579834,12.0
18,300,30,12.0
19,10,0.05797696113586426,8.0
19,300,30,8.0
20,10,0.053742408752441406,4.0
20,300,30,4.0
21,10,0.15092754364013672,44.0
21,20,0.21083736419677734,10.0
21,300,30,10.0
22,20,0.14306139945983887,56.0
22,30,0.22195005416870117,34.0
22,60,0.5600986480712891,28.0
22,250,2.6438565254211426,8.0
22,300,30,8.0
23,10,0.051627397537231445,31.0
23,20,0.0727384090423584,4.0
23,300,30,4.0
24,20,0.12088704109191895,8.0
24,300,30,8.0
25,10,0.056786298751831055,9.0
25,300,30,9.0
26,10,0.05247378349304199,28.0
26,20,0.13364720344543457,19.0
26,40,0.34006690979003906,14.0
26,300,30,14.0
27,10,0.012010574340820312,7.0
27,300,30,7.0
28,20,0.18945670127868652,34.0
28,30,0.3516714572906494,15.0
28,300,30,15.0
29,10,0.04651522636413574,5.0
29,300,30,5.0
30,10,0.020411014556884766,5.0
30,300,30,5.0
31,10,0.057142019271850586,16.0
31,20,0.12062525749206543,5.0
31,300,30,5.0
32,10,0.04812335968017578,22.0
32,300,30,22.0
33,10,0.05588531494140625,4.0
33,300,30,4.0
34,10,0.14091897010803223,30.0
34,20,0.2528810501098633,29.0
34,30,0.274364709854126,13.0
34,300,30,13.0
35,10,0.06759953498840332,21.0
35,40,0.35614609718322754,6.0
35,300,30,6.0
36,10,0.015318632125854492,4.0
36,300,30,4.0
37,20,0.1694777011871338,47.0
37,30,0.2594316005706787,33.0
37,120,1.3270745277404785,25.0
37,300,30,25.0
38,10,0.009423494338989258,9.0
38,300,30,9.0
39,10,0.0030498504638671875,3.0
39,300,30,3.0
40,10,0.05687260627746582,15.0
40,20,0.07578182220458984,4.0
40,300,30,4.0
41,10,0.07952523231506348,28.0
41,20,0.23578500747680664,9.0
41,300,30,9.0
42,10,0.08179402351379395,43.0
42,20,0.16595149040222168,23.0
42,40,0.3891737461090088,6.0
42,300,30,6.0
43,10,0.056947946548461914,20.0
43,300,30,20.0
44,10,0.058783769607543945,24.0
44,20,0.09138751029968262,10.0
44,60,0.6199548244476318,1.0
44,300,30,1.0
45,10,0.0536494255065918,35.0
45,20,0.16448473930358887,12.0
