trial,plan iters,plan time,best cost
0,10,0.003147125244140625,4.0
0,300,30,4.0
1,10,0.0054378509521484375,13.0
1,250,0.8719713687896729,12.0
1,300,30,12.0
2,20,0.05586576461791992,26.0
2,30,0.1109764575958252,13.0
2,300,30,13.0
3,10,0.007657289505004883,21.0
3,300,30,21.0
4,10,0.01061701774597168,45.0
4,80,0.2411973476409912,33.0
4,170,0.5892510414123535,10.0
4,300,30,10.0
5,20,0.05200076103210449,69.0
5,30,0.07101082801818848,27.0
5,40,0.07866501808166504,13.0
5,110,0.31865906715393066,10.0
5,300,30,10.0
6,10,0.028957843780517578,32.0
6,30,0.10114693641662598,12.0
6,300,30,12.0
7,10,0.010741710662841797,11.0
7,300,30,11.0
8,10,0.01061248779296875,12.0
8,300,30,12.0
9,10,0.004440784454345703,10.0
9,300,30,10.0
10,10,0.016936063766479492,9.0
10,300,30,9.0
11,20,0.040297508239746094,100.0
11,30,0.05847883224487305,64.0
11,50,0.150773286819458,30.0
11,80,0.2468416690826416,14.0
11,120,0.3982961177825928,7.0
11,300,30,7.0
12,10,0.03521013259887695,49.0
12,20,0.05638694763183594,25.0
12,50,0.1384263038635254,10.0
12,110,0.3278529644012451,7.0
12,300,30,7.0
13,10,0.0038237571716308594,8.0
13,300,30,8.0
14,10,0.0029904842376708984,6.0
14,300,30,6.0
15,10,0.004757404327392578,11.0
15,300,30,11.0
16,10,0.006046772003173828,2.0
16,300,30,2.0
17,10,0.011815786361694336,32.0
17,20,0.018534421920776367,16.0
17,300,30,16.0
18,10,0.03430962562561035,30.0
18,20,0.05808877944946289,24.0
18,30,0.07586145401000977,6.0
18,300,30,6.0
19,10,0.0028839111328125,6.0
19,60,0.1844775676727295,5.0
19,300,30,5.0
20,10,0.0031006336212158203,13.0
20,300,30,13.0
21,10,0.00473332405090332,4.0
21,300,30,4.0
22,10,0.003287076950073242,7.0
22,300,30,7.0
23,10,0.006687164306640625,14.0
23,20,0.0195157527923584,11.0
23,300,30,11.0
24,10,0.020225048065185547,44.0
24,30,0.08079886436462402,30.0
24,70,0.20664238929748535,15.0
24,300,30,15.0
25,10,0.010065317153930664,11.0
25,300,30,11.0
26,10,0.036324262619018555,26.0
26,300,30,26.0
27,10,0.011983871459960938,28.0
27,20,0.04401278495788574,12.0
27,50,0.19626975059509277,7.0
27,60,0.22083449363708496,6.0
27,80,0.27661967277526855,5.0
27,300,30,5.0
28,10,0.008733272552490234,23.0
28,30,0.04606890678405762,8.0
28,300,30,8.0
29,10,0.004043102264404297,9.0
29,300,30,9.0
30,10,0.010775327682495117,8.0
30,300,30,8.0
31,10,0.012423276901245117,36.0
31,20,0.02189159393310547,7.0
31,300,30,7.0
32,10,0.004639148712158203,11.0
32,300,30,11.0
33,10,0.008306026458740234,13.0
33,300,30,13.0
34,10,0.011065483093261719,12.0
34,300,30,12.0
35,10,0.011692047119140625,20.0
35,20,0.02071213722229004,19.0
35,30,0.08655261993408203,18.0
35,300,1.3929102420806885,16.0
35,300,30,16.0
36,10,0.015006065368652344,28.0
36,60,0.19825077056884766,27.0
36,70,0.20232057571411133,8.0
36,300,30,8.0
37,10,0.01170039176940918,13.0
37,300,30,13.0
38,10,0.015136480331420898,15.0
38,20,0.020273208618164062,1.0
38,300,30,1.0
39,10,0.004190206527709961,5.0
39,300,30,5.0
40,10,0.028522729873657227,32.0
40,20,0.041382789611816406,30.0
40,150,0.5294907093048096,9.0
40,300,30,9.0
41,10,0.012232303619384766,7.0
41,300,30,7.0
42,10,0.030455589294433594,16.0
42,300,30,16.0
43,10,0.009282350540161133,20.0
43,110,0.48819756507873535,5.0
43,300,30,5.0
44,10,0.04350781440734863,35.0
44,20,0.05995297431945801,7.0
44,300,30,7.0
45,10,0.006472349166870117,10.0
45,300,30,10.0
46,10,0.0256960391998291,24.0
46,30,0.06797575950622559,18.0
46,50,0.1548008918762207,14.0
46,60,0.22149276733398438,9.0
46,300,30,9.0
47,10,0.05582427978515625,43.0
47,80,0.3765110969543457,29.0
47,280,1.3152565956115723,8.0
47,300,30,8.0
48,10,0.01677250862121582,6.0
48,300,30,6.0
49,10,0.0365903377532959,5.0
49,300,30,5.0
50,10,0.0017437934875488281,3.0
50,300,30,3.0
51,10,0.002601146697998047,5.0
51,300,30,5.0
52,10,0.007608175277709961,10.0
52,300,30,10.0
53,10,0.00685572624206543,10.0
53,120,0.4063270092010498,9.0
53,300,30,9.0
54,10,0.005524635314941406,22.0
54,170,0.5927071571350098,5.0
54,300,30,5.0
55,10,0.016493797302246094,9.0
55,300,30,9.0
56,10,0.01425623893737793,9.0
56,300,30,9.0
57,10,0.024515151977539062,43.0
57,30,0.07671356201171875,15.0
57,80,0.26657772064208984,4.0
57,300,30,4.0
58,10,0.002876758575439453,5.0
58,300,30,5.0
59,10,0.0037369728088378906,7.0
59,300,30,7.0
60,10,0.014702558517456055,14.0
60,20,0.016527891159057617,13.0
60,220,1.058823585510254,4.0
60,300,30,4.0
61,10,0.011188030242919922,40.0
61,20,0.0386967658996582,13.0
61,300,30,13.0
62,10,0.006309032440185547,13.0
62,210,0.7092926502227783,9.0
62,300,30,9.0
63,10,0.012047529220581055,8.0
63,300,30,8.0
64,10,0.0044460296630859375,10.0
64,300,30,10.0
65,10,0.010570526123046875,32.0
65,20,0.02565288543701172,23.0
65,100,0.42179203033447266,21.0
65,300,30,21.0
66,10,0.010720252990722656,5.0
66,300,30,5.0
67,10,0.014536857604980469,14.0
67,20,0.023900508880615234,13.0
67,300,30,13.0
68,10,0.01576685905456543,27.0
68,20,0.05103278160095215,10.0
68,300,30,10.0
69,10,0.008355379104614258,17.0
69,260,1.6765687465667725,10.0
69,300,30,10.0
70,10,0.014839649200439453,4.0
70,300,30,4.0
71,10,0.0030975341796875,6.0
71,300,30,6.0
72,10,0.007883071899414062,8.0
72,300,30,8.0
73,10,0.009244680404663086,23.0
73,140,0.7829813957214355,17.0
73,300,30,17.0
74,10,0.0035660266876220703,4.0
74,300,30,4.0
75,10,0.026816844940185547,51.0
75,30,0.11919140815734863,32.0
75,40,0.12526226043701172,30.0
75,230,0.9950263500213623,24.0
75,270,1.2243156433105469,21.0
75,300,30,21.0
76,10,0.00847172737121582,15.0
76,80,0.2750723361968994,6.0
76,300,30,6.0
77,10,0.01526021957397461,36.0
77,50,0.13109660148620605,6.0
77,300,30,6.0
78,10,0.0033915042877197266,7.0
78,300,30,7.0
79,10,0.057775020599365234,24.0
79,300,30,24.0
80,10,0.004511117935180664,9.0
80,300,30,9.0
81,10,0.011141061782836914,17.0
