trial,plan iters,plan time,best cost
0,160,0.28774428367614746,105.0
0,230,0.4292125701904297,94.0
0,300,30,94.0
1,90,0.13599157333374023,71.0
1,300,30,71.0
2,110,0.22314786911010742,118.0
2,300,30,118.0
3,70,0.10291457176208496,52.0
3,300,30,52.0
4,300,30,inf
5,20,0.03217577934265137,67.0
5,90,0.15173077583312988,55.0
5,300,30,55.0
6,300,30,inf
7,290,0.5288891792297363,19.0
7,300,30,19.0
8,170,0.4171786308288574,109.0
8,250,0.5507824420928955,31.0
8,300,30,31.0
9,100,0.13132882118225098,102.0
9,170,0.2724292278289795,34.0
9,300,30,34.0
10,280,0.49918222427368164,20.0
10,300,30,20.0
11,300,30,inf
12,130,0.190460205078125,113.0
12,210,0.3919339179992676,94.0
12,290,0.5546586513519287,88.0
12,300,30,88.0
13,210,0.3663768768310547,129.0
13,300,30,129.0
14,30,0.05663919448852539,127.0
14,300,30,127.0
15,20,0.029039382934570312,43.0
15,300,30,43.0
16,40,0.05255579948425293,73.0
16,90,0.1377849578857422,44.0
16,300,30,44.0
17,130,0.18980741500854492,41.0
17,300,30,41.0
18,60,0.058447837829589844,42.0
18,300,30,42.0
19,300,30,inf
20,40,0.0924689769744873,51.0
20,300,30,51.0
21,20,0.017970561981201172,40.0
21,300,30,40.0
22,190,0.37311720848083496,74.0
22,300,30,74.0
23,300,30,inf
24,50,0.10515451431274414,88.0
24,140,0.24591612815856934,29.0
24,300,30,29.0
25,220,0.3443887233734131,110.0
25,250,0.39858031272888184,34.0
25,300,30,34.0
26,280,0.5626335144042969,123.0
26,300,30,123.0
27,30,0.04257941246032715,12.0
27,300,30,12.0
28,170,0.2636752128601074,154.0
28,300,30,154.0
29,150,0.25986385345458984,65.0
29,230,0.43050312995910645,43.0
29,300,30,43.0
30,160,0.365994930267334,71.0
30,300,30,71.0
31,100,0.17438840866088867,134.0
31,150,0.2413780689239502,89.0
31,300,30,89.0
32,30,0.05611848831176758,86.0
32,90,0.16549396514892578,85.0
32,300,0.5314671993255615,73.0
32,300,30,73.0
33,240,0.4991006851196289,150.0
33,300,30,150.0
34,80,0.11722230911254883,56.0
34,300,30,56.0
35,70,0.13909363746643066,75.0
35,300,30,75.0
36,300,30,inf
37,60,0.06238698959350586,89.0
37,200,0.3187215328216553,72.0
37,300,30,72.0
38,160,0.24921011924743652,78.0
38,230,0.3986825942993164,64.0
38,300,30,64.0
39,170,0.3222832679748535,141.0
39,300,30,141.0
40,20,0.02639007568359375,52.0
40,80,0.12191987037658691,50.0
40,300,30,50.0
41,30,0.033017873764038086,34.0
41,300,30,34.0
42,120,0.21491241455078125,104.0
42,260,0.4755997657775879,103.0
42,280,0.5012514591217041,83.0
42,300,30,83.0
43,110,0.15126800537109375,86.0
43,270,0.43460536003112793,73.0
43,300,30,73.0
44,30,0.09553384780883789,49.0
44,300,30,49.0
45,80,0.13331127166748047,75.0
45,300,30,75.0
46,30,0.023915529251098633,23.0
46,300,30,23.0
47,220,0.44008898735046387,139.0
47,300,30,139.0
48,70,0.1734919548034668,79.0
48,300,30,79.0
49,100,0.18443727493286133,64.0
49,300,30,64.0
50,170,0.353623628616333,52.0
50,260,0.5718448162078857,40.0
50,300,30,40.0
51,220,0.3681468963623047,96.0
51,300,30,96.0
52,300,30,inf
53,130,0.32389211654663086,82.0
53,300,30,82.0
54,200,0.2799539566040039,142.0
54,230,0.32496190071105957,127.0
54,260,0.3791680335998535,125.0
54,300,30,125.0
55,20,0.033030033111572266,46.0
55,300,0.5237445831298828,41.0
