trial,plan iters,plan time,best cost
0,40,0.3540027141571045,65.0
0,300,30,65.0
1,60,0.8887114524841309,115.0
1,180,2.133376121520996,99.0
1,240,2.678410530090332,92.0
1,300,30,92.0
2,130,1.488011360168457,57.0
2,140,1.7097692489624023,45.0
2,290,3.565696954727173,43.0
2,300,3.6940882205963135,40.0
2,300,30,40.0
3,40,0.4171569347381592,10.0
3,300,30,10.0
4,30,0.26375341415405273,21.0
4,300,30,21.0
5,60,0.649254560470581,58.0
5,190,2.171884775161743,30.0
5,300,30,30.0
6,270,3.0766842365264893,83.0
6,300,30,83.0
7,300,30,inf
8,110,1.1812431812286377,90.0
8,300,30,90.0
9,270,2.6930196285247803,83.0
9,300,30,83.0
10,30,0.2581338882446289,24.0
10,300,30,24.0
11,110,1.0993988513946533,31.0
11,300,30,31.0
12,20,0.20285987854003906,48.0
12,30,0.24213051795959473,14.0
12,300,30,14.0
13,140,1.279055118560791,138.0
13,150,1.3692011833190918,77.0
13,300,30,77.0
14,140,1.487980842590332,45.0
14,300,30,45.0
15,30,0.3124508857727051,45.0
15,300,30,45.0
16,110,1.0563740730285645,84.0
16,210,1.936812162399292,74.0
16,220,2.0103163719177246,51.0
16,300,30,51.0
17,20,0.14261126518249512,47.0
17,150,1.472707748413086,45.0
17,300,30,45.0
18,300,30,inf
19,70,0.6149873733520508,37.0
19,100,0.8048202991485596,19.0
19,300,3.0051040649414062,15.0
19,300,30,15.0
20,120,1.2821760177612305,51.0
20,200,2.049952268600464,50.0
20,300,30,50.0
21,110,1.1253330707550049,62.0
21,200,2.0878889560699463,52.0
21,300,30,52.0
22,130,1.3497755527496338,78.0
22,300,30,78.0
23,100,1.0483317375183105,132.0
23,110,1.1648237705230713,95.0
23,300,30,95.0
24,20,0.21967244148254395,46.0
24,40,0.4043617248535156,16.0
24,80,0.7372205257415771,13.0
24,300,30,13.0
25,70,0.905195951461792,42.0
25,240,2.695500373840332,37.0
25,300,30,37.0
26,100,1.196596622467041,111.0
26,300,30,111.0
27,80,0.7381374835968018,42.0
27,130,1.182762861251831,38.0
27,300,30,38.0
28,220,2.3980541229248047,175.0
28,300,30,175.0
29,70,0.6265678405761719,50.0
29,300,30,50.0
30,80,0.9373610019683838,22.0
30,300,30,22.0
31,60,0.6042191982269287,38.0
31,300,30,38.0
32,30,0.2794780731201172,80.0
32,100,1.0383224487304688,77.0
32,300,30,77.0
33,40,0.48223018646240234,27.0
33,300,30,27.0
34,230,2.7675604820251465,163.0
34,250,2.9964423179626465,159.0
34,300,30,159.0
35,60,0.740851879119873,50.0
35,300,30,50.0
36,90,0.9238860607147217,72.0
36,300,30,72.0
37,210,2.47041654586792,111.0
37,300,30,111.0
38,220,2.3704652786254883,68.0
38,300,30,68.0
39,190,1.9939303398132324,58.0
39,300,30,58.0
40,70,0.7358534336090088,51.0
40,90,0.9969339370727539,34.0
40,300,30,34.0
41,90,0.917252779006958,80.0
41,150,1.5378286838531494,33.0
41,300,30,33.0
42,80,0.9714570045471191,57.0
42,170,1.872868299484253,32.0
42,300,30,32.0
43,300,2.9685418605804443,64.0
43,300,30,64.0
44,20,0.18651127815246582,69.0
44,300,30,69.0
45,110,1.3344295024871826,132.0
45,300,30,132.0
46,60,0.6379282474517822,121.0
46,90,0.9957327842712402,62.0
46,100,1.0329976081848145,35.0
46,110,1.0539348125457764,16.0
46,300,30,16.0
47,150,1.3901312351226807,70.0
47,300,30,70.0
48,40,0.47899699211120605,89.0
48,110,1.055809497833252,83.0
48,120,1.1557486057281494,81.0
48,170,1.6667706966400146,76.0
48,290,2.899143695831299,63.0
48,300,30,63.0
49,70,0.7307612895965576,39.0
49,300,30,39.0
50,100,1.0369398593902588,70.0
50,300,30,70.0
51,260,2.749319314956665,20.0
51,300,30,20.0
52,110,1.301215648651123,20.0
52,300,30,20.0
53,80,0.6842844486236572,45.0
53,230,2.4027297496795654,41.0
53,300,30,41.0
54,90,0.8720295429229736,66.0
54,300,2.9654831886291504,33.0
54,300,30,33.0
55,40,0.4690892696380615,31.0
55,300,30,31.0
56,40,0.5094099044799805,58.0
56,240,2.5913774967193604,40.0
56,300,30,40.0
57,80,0.891042947769165,104.0
57,120,1.2551896572113037,94.0
57,300,30,94.0
58,110,1.005479335784912,27.0
58,300,30,27.0
59,50,0.435075044631958,57.0
59,270,2.6195015907287598,56.0
59,300,30,56.0
60,10,0.11591053009033203,62.0
60,300,30,62.0
61,40,0.3190610408782959,65.0
61,70,0.6376433372497559,64.0
61,300,30,64.0
62,120,1.3620734214782715,58.0
62,200,2.2535808086395264,34.0
62,300,30,34.0
63,190,1.8157265186309814,105.0
63,200,1.8313076496124268,56.0
63,300,30,56.0
64,120,1.1017787456512451,23.0
64,300,30,23.0
65,40,0.4087963104248047,41.0
65,160,1.5131056308746338,32.0
65,300,30,32.0
66,300,3.296483039855957,94.0
66,300,30,94.0
67,180,1.8001861572265625,124.0
67,300,30,124.0
68,100,0.9835078716278076,61.0
68,160,1.7270581722259521,53.0
68,290,3.1953678131103516,51.0
68,300,30,51.0
69,170,1.6012074947357178,130.0
69,250,2.409961223602295,116.0
69,300,30,116.0
70,120,1.1451900005340576,95.0
70,300,30,95.0
71,250,2.5862104892730713,99.0
71,280,2.863527297973633,57.0
71,300,30,57.0
72,10,0.14499735832214355,60.0
72,40,0.48981642723083496,54.0
72,190,1.9711472988128662,47.0
72,300,30,47.0
73,90,0.9072418212890625,78.0
73,100,0.9264969825744629,75.0
73,300,30,75.0
74,180,2.0278306007385254,131.0
74,300,30,131.0
75,290,2.8791635036468506,97.0
75,300,30,97.0
76,90,0.8767287731170654,100.0
76,190,1.845357894897461,55.0
76,300,30,55.0
77,210,2.2892587184906006,45.0
77,300,30,45.0
78,110,1.3775677680969238,75.0
78,300,30,75.0
79,300,30,inf
80,250,2.484206438064575,147.0
80,300,30,147.0
81,60,0.5275988578796387,78.0
81,300,30,78.0
82,100,1.1331982612609863,89.0
82,300,30,89.0
83,170,1.9434618949890137,124.0
83,300,30,124.0
84,220,2.291699171066284,55.0
84,300,30,55.0
85,130,1.4041752815246582,33.0
85,300,30,33.0
86,300,30,inf
87,100,0.9961588382720947,63.0
87,300,30,63.0
88,30,0.3696596622467041,53.0
88,40,0.4306528568267822,46.0
88,300,30,46.0
89,300,30,inf
90,300,30,inf
91,180,2.008983850479126,53.0
91,300,30,53.0
92,80,0.7778656482696533,46.0
92,300,30,46.0
93,160,1.7084312438964844,208.0
93,200,2.1216626167297363,38.0
93,240,2.4413037300109863,27.0
93,300,30,27.0
94,70,0.6720890998840332,37.0
94,300,30,37.0
95,300,30,inf
96,190,2.0720760822296143,68.0
96,220,2.3985843658447266,39.0
96,300,30,39.0
97,50,0.5348615646362305,48.0
97,70,0.6772365570068359,45.0
97,300,30,45.0
98,260,3.0882787704467773,153.0
98,300,30,153.0
99,170,1.896397352218628,37.0
99,300,30,37.0
100,80,0.8931586742401123,18.0
100,300,30,18.0
101,10,0.004760265350341797,7.0
101,300,30,7.0
102,300,30,inf
103,90,0.828073263168335,33.0
103,300,30,33.0
104,220,2.2977113723754883,129.0
104,300,30,129.0
105,300,30,inf
106,250,2.822721242904663,152.0
106,300,30,152.0
107,60,0.47976231575012207,71.0
107,300,30,71.0
108,160,1.6129264831542969,126.0
108,280,3.0681169033050537,83.0
108,290,3.081282138824463,67.0
108,300,30,67.0
109,300,3.230895519256592,163.0
109,300,30,163.0
110,280,2.984657049179077,61.0
110,300,30,61.0
111,260,2.8051328659057617,34.0
111,300,30,34.0
112,160,1.4557831287384033,71.0
112,300,30,71.0
113,60,0.5629894733428955,54.0
113,160,1.603254795074463,50.0
113,300,30,50.0
114,110,1.1403896808624268,69.0
114,240,2.422273635864258,56.0
114,300,30,56.0
115,20,0.23486542701721191,36.0
115,300,30,36.0
116,100,0.9636998176574707,38.0
116,300,30,38.0
117,60,0.584620475769043,45.0
117,300,30,45.0
118,10,0.12682080268859863,5.0
118,300,30,5.0
119,300,30,inf
120,60,0.5211591720581055,45.0
120,300,30,45.0
121,230,2.451422691345215,61.0
121,300,30,61.0
122,70,0.7597756385803223,63.0
122,300,30,63.0
123,50,0.48189616203308105,96.0
123,80,0.7578160762786865,46.0
123,300,30,46.0
124,40,0.4313535690307617,82.0
124,300,30,82.0
125,280,3.1546950340270996,77.0
125,300,30,77.0
126,300,30,inf
127,30,0.2548654079437256,7.0
127,300,30,7.0
128,190,1.9799535274505615,58.0
128,300,30,58.0
129,230,2.22804594039917,71.0
129,280,2.815575361251831,65.0
129,300,30,65.0
130,160,2.0108582973480225,75.0
130,220,2.7579197883605957,31.0
130,300,30,31.0
131,170,1.5924289226531982,63.0
131,300,30,63.0
132,300,30,inf
133,40,0.3838648796081543,97.0
133,140,1.541670799255371,12.0
133,300,30,12.0
134,300,30,inf
135,30,0.31041979789733887,65.0
135,150,1.6202731132507324,50.0
135,300,30,50.0
136,100,1.0018689632415771,37.0
136,300,30,37.0
137,120,1.2590408325195312,66.0
137,300,30,66.0
138,100,1.0858933925628662,96.0
138,300,30,96.0
139,40,0.3337256908416748,10.0
139,300,30,10.0
140,300,30,inf
141,230,2.3326778411865234,52.0
141,300,30,52.0
142,220,2.178239583969116,63.0
142,300,30,63.0
143,170,1.5698800086975098,129.0
143,210,2.0592262744903564,120.0
143,230,2.2640786170959473,96.0
143,300,30,96.0
144,40,0.4427769184112549,21.0
144,130,1.4756903648376465,19.0
144,300,30,19.0
145,20,0.08295440673828125,52.0
145,30,0.12338137626647949,39.0
